# This file is called Cohabitation.dat
# X    Y
1780    215
1781    221
1782    227
1783    223
1784    232
1785    237
1786    239
1787    246
1788    245
1789    253
1790    254
1791    266
1792    262
1793    265
1794    276
1795    285
1796    291
1797    287
1798    294
1799    291
1800    277
1801    277
1802    287
1803    293
1804    291
1805    301
1806    295
1807    294
1808    293
1809    317
1810    317
1811    323
1812    309
1813    310
1814    311
1815    318
1816    327
1817    339
1818    331
1819    331
1820    331
1821    339
1822    343
1823    348
1824    347
1825    346
1826    349
1827    350
1828    334
1829    350
1830    352
1831    355
1832    354
1833    349
1834    345
1835    353
1836    354
1837    342
1838    361
1839    368
1840    373
1841    385
1842    387
1843    385
1844    383
1845    387
1846    381
1847    368
1848    372
1849    384
1850    387
1851    381
1852    378
1853    373
1854    365
1855    372
1856    366
1857    365
1858    375
1859    386
1860    381
1861    383
1862    380
1863    380
1864    379
1865    393
1866    401
1867    389
1868    397
1869    408
1870    428
1871    436
1872    442
1873    448
1874    458
1875    467
1876    463
1877    460
1878    463
1879    459
1880    460
1881    463
1882    461
1883    457
1884    468
1885    467
1886    466
1887    460
1888    458
1889    470
1890    465
1891    490
1892    507
1893    501
1894    507
1895    507
1896    527
1897    531
1898    530
1899    536
1900    546
1901    547
1902    553
1903    534
1904    538
1905    543
1906    539
1907    533
1908    520
1909    511
1910    509
1911    501
1912    511
1913    527
1914    545
1915    553
1916    550
1917    549
1918    557
1919    564
1920    571
1921    557
1922    571
1923    585
1924    593
1925    602
1926    590
1927    581
1928    602
1929    616
1930    623
1931    620
1932    619
1933    620
1934    634
1935    632
1936    632
1937    634
1938    648
1939    645
1940    664
1941    675
1942    690
1943    696
1944    703
1945    699
1946    682
1947    677
1948    685
1949    678
1950    690
1951    702
1952    695
1953    697
1954    690
1955    708
1956    708
1957    724
1958    716
1959    722
1960    718
1961    714
1962    738
1963    728
1964    726
1965    732
1966    748
1967    762
1968    743
1969    756
1970    767
1971    776
1972    756
1973    768
1974    770
1975    758
1976    775
1977    787
1978    780
1979    761
1980    750
1981    751
1982    746
1983    756
1984    757
1985    761
1986    748
1987    743
1988    723
1989    738
1990    731
1991    700
1992    695
1993    682
1994    667
1995    673
1996    656
1997    673
1998    660
1999    672
2000    671
2001    665
2002    657
2003    642
2004    638
2005    629
2006    637
2007    642
2008    641
2009    620
2010    622
2011    618
2012    612
