# This file is called Population.dat
# X    Y
1780    13681
1781    13884
1782    14099
1783    14311
1784    14490
1785    14698
1786    14866
1787    15050
1788    15261
1789    15475
1790    15657
1791    15815
1792    16027
1793    16205
1794    16409
1795    16605
1796    16798
1797    16993
1798    17222
1799    17419
1800    17603
1801    17808
1802    17989
1803    18138
1804    18327
1805    18511
1806    18702
1807    18883
1808    19080
1809    19264
1810    19437
1811    19604
1812    19777
1813    19911
1814    20104
1815    20282
1816    20421
1817    20601
1818    20766
1819    20926
1820    21090
1821    21275
1822    21456
1823    21597
1824    21807
1825    21995
1826    22180
1827    22310
1828    22492
1829    22663
1830    22838
1831    22979
1832    23074
1833    23230
1834    23374
1835    23472
1836    23638
1837    23760
1838    23929
1839    24107
1840    24260
1841    24408
1842    24546
1843    24687
1844    24855
1845    25011
1846    25153
1847    25276
1848    25388
1849    25552
1850    25718
1851    25865
1852    26010
1853    26128
1854    26302
1855    26434
1856    26580
1857    26745
1858    26855
1859    27009
1860    27127
1861    27297
1862    27474
1863    27614
1864    27844
1865    28055
1866    28216
1867    28340
1868    28486
1869    28619
1870    28779
1871    28945
1872    29105
1873    29283
1874    29453
1875    29641
1876    29851
1877    30007
1878    30209
1879    30403
1880    30604
1881    30754
1882    30968
1883    31176
1884    31322
1885    31448
1886    31676
1887    31918
1888    32071
1889    32270
1890    32457
1891    32646
1892    32901
1893    33132
1894    33353
1895    33567
1896    33784
1897    34026
1898    34281
1899    34491
1900    34664
1901    34896
1902    35134
1903    35277
1904    35509
1905    35746
1906    35984
1907    36166
1908    36429
1909    36629
1910    36817
1911    37001
1912    37205
1913    37350
1914    37628
1915    37872
1916    38088
1917    38280
1918    38467
1919    38674
1920    38903
1921    39204
1922    39412
1923    39688
1924    39913
1925    40085
1926    40343
1927    40605
1928    40855
1929    41155
1930    41401
1931    41654
1932    41866
1933    42099
1934    42293
1935    42556
1936    42835
1937    43144
1938    43393
1939    43628
1940    43863
1941    44107
1942    44359
1943    44643
1944    44906
1945    45180
1946    45425
1947    45726
1948    45960
1949    46234
1950    46518
1951    46787
1952    47083
1953    47377
1954    47627
1955    47896
1956    48107
1957    48273
1958    48507
1959    48631
1960    48762
1961    48913
1962    49028
1963    49110
1964    49263
1965    49388
1966    49510
1967    49610
1968    49697
1969    49748
1970    49737
1971    49732
1972    49731
1973    49737
1974    49705
1975    49695
1976    49696
1977    49691
1978    49635
1979    49554
1980    49503
1981    49449
1982    49410
1983    49251
1984    49244
1985    49179
1986    49185
1987    49115
1988    49035
1989    48963
1990    48841
1991    48781
1992    48666
1993    48513
1994    48383
1995    48214
1996    48068
1997    47999
1998    47777
1999    47614
2000    47466
2001    47228
2002    47017
2003    46804
2004    46553
2005    46343
2006    46102
2007    45887
2008    45639
2009    45270
2010    44951
2011    44642
2012    44262
