# This file is called AgeAtDeath.dat
# Value    Actual    Distribution
0.00    266    191.03
5.00    299    191.03
10.00    262    191.03
15.00    376    286.55
20.00    889    668.61
25.00    513    382.06
30.00    350    286.55
35.00    614    477.58
40.00    2243    1910.30
45.00    2399    2005.82
50.00    3978    3343.03
55.00    6705    6017.45
60.00    11868    10984.24
65.00    13695    13276.61
70.00    13262    13658.67
75.00    12883    13658.67
80.00    12974    14231.76
85.00    7862    8978.42
90.00    1593    1910.30
95.00    1529    1910.30
