# This file is called Cohabitation.dat
# X    Y
1780    292
1781    312
1782    306
1783    315
1784    319
1785    319
1786    328
1787    332
1788    344
1789    353
1790    354
1791    359
1792    356
1793    366
1794    350
1795    360
1796    376
1797    379
1798    375
1799    383
1800    393
1801    400
1802    405
1803    410
1804    414
1805    414
1806    420
1807    415
1808    421
1809    429
1810    439
1811    444
1812    446
1813    444
1814    471
1815    476
1816    475
1817    475
1818    467
1819    464
1820    476
1821    477
1822    471
1823    459
1824    472
1825    488
1826    485
1827    502
1828    495
1829    513
1830    510
1831    536
1832    536
1833    530
1834    532
1835    535
1836    541
1837    541
1838    558
1839    551
1840    563
1841    573
1842    578
1843    568
1844    567
1845    574
1846    564
1847    550
1848    559
1849    572
1850    565
1851    568
1852    575
1853    584
1854    601
1855    612
1856    609
1857    616
1858    596
1859    596
1860    578
1861    579
1862    590
1863    599
1864    611
1865    611
1866    630
1867    645
1868    640
1869    657
1870    664
1871    681
1872    696
1873    704
1874    722
1875    732
1876    753
1877    784
1878    778
1879    786
1880    787
1881    782
1882    794
1883    815
1884    817
1885    829
1886    844
1887    868
1888    891
1889    894
1890    885
1891    875
1892    864
1893    875
1894    871
1895    881
1896    905
1897    900
1898    904
1899    914
1900    907
1901    935
1902    934
1903    923
1904    936
1905    965
1906    976
1907    978
1908    1002
1909    982
1910    977
1911    980
1912    982
1913    964
1914    980
1915    987
1916    1023
1917    1040
1918    1020
1919    1035
1920    1026
1921    1038
1922    1075
1923    1095
1924    1107
1925    1099
1926    1128
1927    1141
1928    1119
1929    1112
1930    1143
1931    1151
1932    1175
1933    1183
1934    1185
1935    1193
1936    1198
1937    1197
1938    1213
1939    1255
1940    1269
1941    1272
1942    1288
1943    1292
1944    1318
1945    1330
1946    1340
1947    1344
1948    1363
1949    1365
1950    1353
1951    1379
1952    1368
1953    1380
1954    1394
1955    1404
1956    1417
1957    1440
1958    1453
1959    1467
1960    1472
1961    1485
1962    1494
1963    1503
1964    1528
1965    1551
1966    1568
1967    1581
1968    1601
1969    1612
1970    1634
1971    1618
1972    1614
1973    1610
1974    1605
1975    1634
1976    1635
1977    1665
1978    1682
1979    1691
1980    1716
1981    1739
1982    1763
1983    1801
1984    1809
1985    1827
1986    1821
1987    1870
1988    1880
1989    1888
1990    1918
1991    1917
1992    1929
1993    1941
1994    1957
1995    1936
1996    1957
1997    1958
1998    1973
1999    1969
2000    1974
2001    1981
2002    2016
2003    2039
2004    2070
2005    2100
2006    2124
2007    2126
2008    2138
2009    2180
2010    2211
2011    2200
2012    2232
