# This file is called CohabitationLength.dat
# Value    Actual    Distribution
0.00    3    1.07
1.00    5    2.14
2.00    3    3.20
3.00    5    4.27
4.00    7    4.80
5.00    7    5.34
6.00    11    6.94
7.00    10    9.61
8.00    8    10.68
9.00    13    16.02
10.00    12    10.68
11.00    7    10.14
12.00    8    9.61
13.00    6    9.08
14.00    7    8.01
15.00    5    7.47
16.00    8    7.26
17.00    8    5.34
18.00    8    4.27
19.00    0    2.67
20.00    1    1.60
21.00    0    1.07
22.00    0    0.85
23.00    2    0.53
24.00    0    0.43
25.00    0    0.32
26.00    0    0.21
27.00    0    0.11
28.00    0    0.11
29.00    0    0.11
30.00    1    0.11
31.00    0    0.11
32.00    0    0.11
33.00    0    0.11
34.00    0    0.11
35.00    0    0.11
36.00    0    0.11
37.00    0    0.11
38.00    0    0.11
39.00    0    0.11
