yob	sex	age	died	source	freq
1990	m	0	no	in	18023
1990	m	0	yes	in	1975
1990	m	1	no	in	17855
1990	m	1	yes	in	170
1990	m	2	no	in	17680
1990	m	2	yes	in	175
1990	f	0	no	in	11000
1990	f	0	yes	in	9000
1990	f	1	no	in	10890
1990	f	1	yes	in	110
1990	f	2	no	in	10780
1990	f	2	yes	in	110
1990	m	0	no	sim	16000
1990	m	0	yes	sim	4000
1990	m	1	no	sim	18000
1990	m	1	yes	sim	12
1990	m	2	no	sim	22000
1990	m	2	yes	sim	500
1990	f	0	no	sim	10000
1990	f	0	yes	sim	12000
1990	f	1	no	sim	9000
1990	f	1	yes	sim	1000
1990	f	2	no	sim	9000
1990	f	2	yes	sim	1000
