Start Time,Reason,Code Version,Inputs Directory,Total Pop,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory
scot-a,dev,src/main/resources/scotland_test_population,20170803-003510:362,0,false,58804,1y,100y,331640,0,0,1/1/1855,1/1/2016,25.164599455,0.0,0.0,results/scot-a/20170803-003510:362
scot-a,dev,src/main/resources/scotland_test_population,20170803-003535:533,0,false,58804,1y,100y,182540,0,0,1/1/1855,1/1/2016,50.687916807,0.0,0.0,results/scot-a/20170803-003535:533
scot-a,dev,src/main/resources/scotland_test_population,20170803-003626:222,1213310,true,58804,1y,100y,182801,96028,182080,1/1/1855,1/1/2016,62.097361264,424.045029039,17.642156199,results/scot-a/20170803-003626:222
scot-a,dev,src/main/resources/scotland_test_population,20170803-004450:006,0,false,58804,1y,100y,328203,0,0,1/1/1855,1/1/2016,22.111842583,0.0,0.0,results/scot-a/20170803-004450:006
scot-a,dev,src/main/resources/scotland_test_population,20170803-004512:118,1212052,true,58804,1y,100y,182492,95850,181779,1/1/1855,1/1/2016,61.195789341,272.595153623,16.430424105,results/scot-a/20170803-004512:118
scot-a,dev,src/main/resources/scotland_test_population,20170803-005102:340,0,false,58804,1y,100y,192275,0,0,1/1/1855,1/1/2016,42.561871726,0.0,0.0,results/scot-a/20170803-005102:340
scot-a,dev,src/main/resources/scotland_test_population,20170803-005144:902,0,false,58804,1y,100y,336945,0,0,1/1/1855,1/1/2016,20.406788317,0.0,0.0,results/scot-a/20170803-005144:902
scot-a,dev,src/main/resources/scotland_test_population,20170803-005205:309,0,false,58804,1y,100y,270752,0,0,1/1/1855,1/1/2016,34.303161225,0.0,0.0,results/scot-a/20170803-005205:309
scot-a,dev,src/main/resources/scotland_test_population,20170803-005239:613,0,false,58804,1y,100y,184059,0,0,1/1/1855,1/1/2016,43.764631324,0.0,0.0,results/scot-a/20170803-005239:613
scot-a,dev,src/main/resources/scotland_test_population,20170803-005323:377,0,false,58804,1y,100y,342756,0,0,1/1/1855,1/1/2016,16.459059329,0.0,0.0,results/scot-a/20170803-005323:377
scot-a,dev,src/main/resources/scotland_test_population,20170803-005339:837,0,false,58804,1y,100y,312250,0,0,1/1/1855,1/1/2016,29.423786592,0.0,0.0,results/scot-a/20170803-005339:837
scot-a,dev,src/main/resources/scotland_test_population,20170803-005409:261,0,false,58804,1y,100y,339874,0,0,1/1/1855,1/1/2016,19.594677246,0.0,0.0,results/scot-a/20170803-005409:261
scot-a,dev,src/main/resources/scotland_test_population,20170803-005428:856,0,false,58804,1y,100y,268369,0,0,1/1/1855,1/1/2016,30.243100284,0.0,0.0,results/scot-a/20170803-005428:856
scot-a,dev,src/main/resources/scotland_test_population,20170803-005459:099,1213244,true,58804,1y,100y,182766,96052,182040,1/1/1855,1/1/2016,61.241960584,263.908464229,16.777961231,results/scot-a/20170803-005459:099
