Source,NCIP,Separated,Date,freq
SIM,3,NO,1975,2945
SIM,3,NO,1974,2993
SIM,3,NO,1973,2973
SIM,3,NO,1972,2905
SIM,3,NO,1979,3029
SIM,3,NO,1978,2950
SIM,3,NO,1977,2893
SIM,3,NO,1976,2983
SIM,3,NO,1971,2984
SIM,3,NO,1970,2918
SIM,3,NO,1969,3053
SIM,3,NO,1964,3009
SIM,3,NO,1963,3041
SIM,3,NO,1962,3007
SIM,3,NO,1961,3010
SIM,3,NO,1968,2998
SIM,3,NO,1967,2922
SIM,3,NO,1966,3010
SIM,3,NO,1965,2943
SIM,3,NO,1960,2983
SIM,3,NO,1959,2967
SIM,3,NO,1958,2962
SIM,3,NO,1953,2963
STAT,5+,NA,1893,18150.203815092817
SIM,3,NO,1952,2935
STAT,5+,NA,1894,18424.547325774074
SIM,3,NO,1951,3074
STAT,5+,NA,1891,17562.82866183966
SIM,3,NO,1950,2966
STAT,5+,NA,1892,17862.59088075424
SIM,3,NO,1957,2968
STAT,5+,NA,1897,19162.705389057784
SIM,3,NO,1956,2949
STAT,5+,NA,1898,19378.209623575596
SIM,3,NO,1955,2998
STAT,5+,NA,1895,18685.266673185513
SIM,3,NO,1954,3053
STAT,5+,NA,1896,18931.61556608756
STAT,5+,NA,1899,19577.378582477915
SIM,3,NO,1949,2942
SIM,3,NO,1948,2981
SIM,3,NO,1947,3019
SIM,3,NO,1942,2923
STAT,5+,NA,1882,14421.587516728358
SIM,3,NO,1941,2957
STAT,5+,NA,1883,14801.89442941277
SIM,3,NO,1940,3084
STAT,5+,NA,1880,13644.768366145072
STAT,5+,NA,1881,14035.657182509514
SIM,3,NO,1946,2992
STAT,5+,NA,1886,15902.094329342097
SIM,3,NO,1945,3040
STAT,5+,NA,1887,16253.851437104478
SIM,3,NO,1944,3024
STAT,5+,NA,1884,15175.400271957315
SIM,3,NO,1943,2943
STAT,5+,NA,1885,15542.365755633315
STAT,5+,NA,1888,16596.732374191186
STAT,5+,NA,1889,16929.062384564644
SIM,5+,YES,1982,1
SIM,3,NO,1939,2997
SIM,3,NO,1938,3038
SIM,3,NO,1937,2947
SIM,3,NO,1936,2931
STAT,5+,NA,1890,17251.52858408604
SIM,3,NO,1931,2996
STAT,5+,NA,1871,10027.244370470913
SIM,3,NO,1930,2992
STAT,5+,NA,1872,10426.859314941978
STAT,5+,NA,1870,9641.095874519026
SIM,3,NO,1935,3066
STAT,5+,NA,1875,11634.350530063102
SIM,3,NO,1934,3063
STAT,5+,NA,1876,12039.65223617724
SIM,3,NO,1933,3048
STAT,5+,NA,1873,10838.341650075303
SIM,3,NO,1932,2969
STAT,5+,NA,1874,11231.688245495938
STAT,5+,NA,1879,13249.583396060745
STAT,5+,NA,1877,12446.275315476938
STAT,5+,NA,1878,12852.83623195064
SIM,3,NO,1928,2949
SIM,3,NO,1927,3045
SIM,3,NO,1926,2984
SIM,3,NO,1925,2998
SIM,3,NO,1929,3064
SIM,3,NO,1920,2974
STAT,5+,NA,1860,5859.036769737465
STAT,5+,NA,1861,6295.362153893842
SIM,3,NO,1924,3094
STAT,5+,NA,1864,7453.899895399947
SIM,3,NO,1923,2967
STAT,5+,NA,1865,7812.368630852306
SIM,3,NO,1922,3015
STAT,5+,NA,1862,6704.014727118306
SIM,3,NO,1921,3044
STAT,5+,NA,1863,7092.751158974709
STAT,5+,NA,1868,8919.447876353557
STAT,5+,NA,1869,9269.207221989298
