Source,Age,NCIY,Date,freq
SIM,-1,0,1904,59
SIM,-1,0,1905,61
SIM,-1,0,1902,51
SIM,-1,0,1903,45
SIM,-1,0,1900,59
SIM,-1,0,1901,48
SIM,-1,0,1908,58
SIM,-1,0,1909,62
SIM,-1,0,1906,54
SIM,-1,0,1907,55
SIM,-1,0,1915,58
SIM,-1,0,1916,52
SIM,-1,0,1913,60
SIM,-1,0,1914,49
SIM,-1,0,1911,49
SIM,-1,0,1912,44
SIM,-1,0,1910,57
STAT,15to49,0,1757,328402.2514889686
STAT,15to49,0,1756,328587.6587812553
STAT,15to49,0,1759,327917.1399136857
STAT,15to49,0,1758,328161.98099060555
STAT,15to49,0,1755,328722.1203612165
STAT,0to14,0,1760,150738.56713076314
STAT,0to14,0,1763,150642.61313434478
STAT,0to14,0,1764,150618.70184461607
STAT,0to14,0,1761,150707.6012140262
STAT,0to14,0,1762,150683.34356422047
STAT,0to14,0,1756,150819.678491963
STAT,0to14,0,1757,150804.04280978002
STAT,0to14,0,1755,140660.0
STAT,0to14,0,1758,150784.46077357803
STAT,0to14,0,1759,150748.0825009621
STAT,0to14,0,1770,150414.81016727292
STAT,0to14,0,1771,150380.78347370887
STAT,0to14,0,1774,150283.98249665034
STAT,0to14,0,1775,150252.3398341669
STAT,0to14,0,1772,150346.9455660931
STAT,0to14,0,1773,150315.00114215678
STAT,0to14,0,1767,150518.28497450548
STAT,0to14,0,1768,150485.03377138244
STAT,0to14,0,1765,150579.54147994964
STAT,0to14,0,1766,150552.31780608272
STAT,0to14,0,1769,150469.65064309724
STAT,0to14,0,1781,150087.13836090072
STAT,0to14,0,1782,150061.10608554358
STAT,0to14,0,1780,150113.1882798691
STAT,0to14,0,1785,149983.70941325856
STAT,0to14,0,1786,149956.93953645605
STAT,0to14,0,1783,150035.0313374204
STAT,0to14,0,1784,150008.80600918792
STAT,0to14,0,1778,150166.9820094613
STAT,0to14,0,1779,150139.87435723803
STAT,0to14,0,1776,150223.42706229107
STAT,0to14,0,1777,150194.5794691975
STAT,0to14,0,1792,149785.92594493748
STAT,0to14,0,1793,149755.25349581375
STAT,0to14,0,1790,149845.64323983114
STAT,0to14,0,1791,149815.87805364048
STAT,0to14,0,1796,149663.31866139497
STAT,0to14,0,1797,149632.32789080855
STAT,0to14,0,1794,149724.65557301702
STAT,0to14,0,1795,149694.28573724214
STAT,0to14,0,1789,149873.26342063144
STAT,0to14,0,1787,149929.83556803316
STAT,0to14,0,1788,149901.86878598484
STAT,0to14,0,1798,149601.2978757833
STAT,0to14,0,1799,149570.6852471166
STAT,15to49,1,1885,19809.417636283833
STAT,15to49,1,1886,19805.591193161483
STAT,15to49,1,1883,19817.069417738985
STAT,15to49,1,1884,19813.243482025387
SIM,-1,0,1988,66
STAT,15to49,1,1889,19794.103676240124
SIM,-1,0,1989,59
SIM,-1,0,1986,54
STAT,15to49,1,1887,19801.763650526776
SIM,-1,0,1987,47
STAT,15to49,1,1888,19797.934573061033
SIM,-1,0,1984,47
SIM,-1,0,1985,64
SIM,50+,0,1854,259375
SIM,-1,0,1982,62
SIM,50+,0,1855,259319
SIM,-1,0,1983,50
SIM,50+,0,1856,259257
SIM,-1,0,1980,50
STAT,15to49,1,1881,19824.72504433996
SIM,50+,0,1857,259224
