Source,Age,NPA,Date,freq
STAT,25to29,25to29,1869,2037.0186016594964
STAT,25to29,25to29,1868,2037.41922142801
STAT,25to29,25to29,1867,2037.8190787575852
STAT,25to29,25to29,1866,2038.217846987447
STAT,25to29,25to29,1865,2038.6152091965316
STAT,25to29,25to29,1864,2039.0110942925796
STAT,25to29,25to29,1863,2039.405212316572
STAT,25to29,25to29,1862,2039.7974377880919
STAT,25to29,25to29,1872,2035.8157677132604
STAT,25to29,25to29,1871,2036.2164978712594
STAT,25to29,25to29,1870,2036.6175713383736
STAT,25to29,25to29,1858,2041.3499908272047
STAT,25to29,25to29,1857,2041.7355352826928
STAT,25to29,25to29,1856,2042.1208178342154
STAT,25to29,25to29,1855,2042.5062835698538
STAT,25to29,25to29,1854,2042.893430983644
STAT,25to29,25to29,1853,2043.2820479020547
STAT,25to29,25to29,1852,2043.6727657214153
STAT,25to29,25to29,1851,2044.0659447589367
STAT,25to29,25to29,1859,2040.9637099836011
STAT,25to29,25to29,1861,2040.1877864930605
STAT,25to29,25to29,1860,2040.5762949104017
STAT,25to29,25to29,1889,2029.1307809890247
STAT,25to29,25to29,1888,2029.5219827608273
STAT,25to29,25to29,1887,2029.9126480834275
STAT,25to29,25to29,1886,2030.3028786181153
STAT,25to29,25to29,1885,2030.6928084584958
STAT,25to29,25to29,1884,2031.0826215696452
STAT,20to24,20to24,2009,991.92178005192
STAT,20to24,20to24,2005,992.6911926821358
STAT,20to24,20to24,2006,992.4987781889607
STAT,20to24,20to24,2007,992.3064042803218
STAT,20to24,20to24,2008,992.1140714736136
STAT,20to24,20to24,2012,991.3451535221777
STAT,20to24,20to24,2013,991.1530260717875
STAT,20to24,20to24,2014,990.9609383385186
STAT,20to24,20to24,2015,990.7688895849838
STAT,20to24,20to24,2010,991.7295300651828
STAT,20to24,20to24,2011,991.5373213437192
STAT,25to29,25to29,1894,2027.165629935453
STAT,25to29,25to29,1893,2027.5597916464992
STAT,25to29,25to29,1892,2027.9534553228127
STAT,25to29,25to29,1891,2028.3465366105136
STAT,25to29,25to29,1890,2028.7389735378981
STAT,25to29,25to29,1879,2033.037234486659
STAT,25to29,25to29,1878,2033.430612939951
STAT,25to29,25to29,1877,2033.8251769229669
STAT,25to29,25to29,1876,2034.2210025519207
STAT,25to29,25to29,1875,2034.6181279026723
STAT,25to29,25to29,1874,2035.0163840126747
STAT,25to29,25to29,1873,2035.41565255438
SIM,35to39,35to39,1896,33
SIM,35to39,35to39,1897,33
SIM,35to39,35to39,1894,37
SIM,35to39,35to39,1895,31
SIM,35to39,35to39,1892,25
STAT,20to24,20to24,2016,990.5768790340925
SIM,35to39,35to39,1893,24
SIM,35to39,35to39,1890,27
SIM,35to39,35to39,1891,29
SIM,35to39,35to39,1898,23
SIM,35to39,35to39,1899,38
STAT,25to29,25to29,1883,2031.4725117004496
STAT,25to29,25to29,1882,2031.8627075398094
STAT,25to29,25to29,1881,2032.2534290666144
STAT,25to29,25to29,1880,2032.6448947134495
STAT,25to29,25to29,1825,2054.3090957299314
STAT,25to29,25to29,1824,2054.704514318875
STAT,25to29,25to29,1823,2055.098368475098
STAT,25to29,25to29,1822,2055.498107783624
STAT,25to29,25to29,1821,2055.906431723339
STAT,25to29,25to29,1820,2056.3201265920748
STAT,25to29,25to29,1829,2052.813489404778
STAT,25to29,25to29,1828,2053.1832969423876
STAT,25to29,25to29,1827,2053.554776588866
STAT,25to29,25to29,1826,2053.9297301980764
STAT,25to29,25to29,1814,2058.9668321871204
STAT,25to29,25to29,1813,2059.4046549170316
