Start Time,Reason,Code Version,Inputs Directory,Total Pop,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory
20170806-210242:515,scot-sun-a,dev,src/main/resources/scotland_test_population,420266,true,58804,1y,10y,71825,69386,71815,1/1/1855,1/1/2016,19.476037665,230.894048417,6.683725896,results/scot-sun-a/20170806-210242:515
20170806-210659:569,scot-sun-a,dev,src/main/resources/scotland_test_population,0,false,58804,1y,10y,52054,0,0,1/1/1855,1/1/2016,1.021073348,0.0,0.0,results/scot-sun-a/20170806-210659:569
20170806-210304:434,scot-sun-c,dev,src/main/resources/scotland_test_population,0,false,58804,1y,10y,718259,0,0,1/1/1855,1/1/2016,267.436002692,0.0,0.0,results/scot-sun-c/20170806-210304:434
20170806-210700:590,scot-sun-a,dev,src/main/resources/scotland_test_population,419237,true,58804,1y,10y,71824,69384,71805,1/1/1855,1/1/2016,19.282121775,146.311580595,6.839425206,results/scot-sun-a/20170806-210700:590
20170806-210253:562,scot-sun-b,dev,src/main/resources/scotland_test_population,2101285,true,58804,1y,10y,359134,346910,359057,1/1/1855,1/1/2016,91.662186188,346.181232387,33.132732039,results/scot-sun-b/20170806-210253:562
20170806-210953:024,scot-sun-a,dev,src/main/resources/scotland_test_population,419248,true,58804,1y,10y,71827,69384,71806,1/1/1855,1/1/2016,19.734967624,163.813604357,6.369399385,results/scot-sun-a/20170806-210953:024
20170806-211302:942,scot-sun-a,dev,src/main/resources/scotland_test_population,0,false,58804,1y,10y,71840,0,0,1/1/1855,1/1/2016,12.647039617,0.0,0.0,results/scot-sun-a/20170806-211302:942
20170806-211315:589,scot-sun-a,dev,src/main/resources/scotland_test_population,419312,true,58804,1y,10y,71839,69394,71816,1/1/1855,1/1/2016,18.484183722,147.473546358,5.805506682,results/scot-sun-a/20170806-211315:589
20170806-211044:539,scot-sun-b,dev,src/main/resources/scotland_test_population,2096284,true,58804,1y,10y,359137,346917,359057,1/1/1855,1/1/2016,88.809049364,248.537963796,27.412246569,results/scot-sun-b/20170806-211044:539
20170806-211649:298,scot-sun-b,dev,src/main/resources/scotland_test_population,0,false,58804,1y,10y,359146,0,0,1/1/1855,1/1/2016,88.108721499,0.0,0.0,results/scot-sun-b/20170806-211649:298
20170806-211817:407,scot-sun-b,dev,src/main/resources/scotland_test_population,0,false,58804,1y,10y,363158,0,0,1/1/1855,1/1/2016,40.178665923,0.0,0.0,results/scot-sun-b/20170806-211817:407
20170806-211607:353,scot-sun-a,dev,src/main/resources/scotland_test_population,419209,true,58804,1y,10y,71822,69381,71805,1/1/1855,1/1/2016,18.578695498,150.010206696,6.249736668,results/scot-sun-a/20170806-211607:353
20170806-210731:871,scot-sun-c,dev,src/main/resources/scotland_test_population,4192575,true,58804,1y,10y,718266,693846,718113,1/1/1855,1/1/2016,182.928284629,566.228745484,63.609693682,results/scot-sun-c/20170806-210731:871
20170806-211857:586,scot-sun-b,dev,src/main/resources/scotland_test_population,2096314,true,58804,1y,10y,359146,346923,359059,1/1/1855,1/1/2016,89.735599381,254.992011965,28.337925538,results/scot-sun-b/20170806-211857:586
20170806-212510:652,scot-sun-b,dev,src/main/resources/scotland_test_population,0,false,58804,1y,10y,369027,0,0,1/1/1855,1/1/2016,24.042878341,0.0,0.0,results/scot-sun-b/20170806-212510:652
20170806-212534:696,scot-sun-b,dev,src/main/resources/scotland_test_population,0,false,58804,1y,10y,370529,0,0,1/1/1855,1/1/2016,19.044444833,0.0,0.0,results/scot-sun-b/20170806-212534:696
20170806-212553:740,scot-sun-b,dev,src/main/resources/scotland_test_population,2096247,true,58804,1y,10y,359129,346918,359050,1/1/1855,1/1/2016,83.258318914,251.851441195,29.213743435,results/scot-sun-b/20170806-212553:740
20170806-212104:638,scot-sun-c,dev,src/main/resources/scotland_test_population,4192642,true,58804,1y,10y,718284,693857,718123,1/1/1855,1/1/2016,178.437737557,459.907297718,65.327007257,results/scot-sun-c/20170806-212104:638
20170806-213158:064,scot-sun-b,dev,src/main/resources/scotland_test_population,2096278,true,58804,1y,10y,359137,346911,359058,1/1/1855,1/1/2016,92.805246291,263.206043971,29.338216956,results/scot-sun-b/20170806-213158:064
20170806-210352:936,scot-sun-e,dev,src/main/resources/scotland_test_population,0,false,58804,1y,10y,2907065,0,0,1/1/1855,1/1/2016,2139.348704721,0.0,0.0,results/scot-sun-e/20170806-210352:936
20170806-210316:717,scot-sun-d,dev,src/main/resources/scotland_test_population,8405312,true,58804,1y,10y,1436571,1387692,1436252,1/1/1855,1/1/2016,536.018536143,1548.008171137,145.270710532,results/scot-sun-d/20170806-210316:717
20170806-213248:311,scot-sun-c,dev,src/main/resources/scotland_test_population,4192672,true,58804,1y,10y,718290,693863,718128,1/1/1855,1/1/2016,170.221318831,469.669855207,54.574117808,results/scot-sun-c/20170806-213248:311
20170806-214422:776,scot-sun-c,dev,src/main/resources/scotland_test_population,0,false,58804,1y,10y,724595,0,0,1/1/1855,1/1/2016,111.412394891,0.0,0.0,results/scot-sun-c/20170806-214422:776
20170806-214026:015,scot-sun-d,dev,src/main/resources/scotland_test_population,0,false,58804,1y,10y,1463177,0,0,1/1/1855,1/1/2016,707.922170356,0.0,0.0,results/scot-sun-d/20170806-214026:015
20170806-214614:190,scot-sun-c,dev,src/main/resources/scotland_test_population,4192549,true,58804,1y,10y,718260,693836,718102,1/1/1855,1/1/2016,174.205406588,451.434508159,53.898887099,results/scot-sun-c/20170806-214614:190
