Source,Age,NCIY,Date,freq
STAT,0to14,0,1972,7238.7812833438575
STAT,0to14,0,1973,7237.380241564492
STAT,0to14,0,1970,7241.583573171433
STAT,0to14,0,1971,7240.182367731695
STAT,15to49,0,1980,15353.915454620108
STAT,15to49,0,1982,15347.971596989992
STAT,15to49,0,1981,15350.943599357486
SIM,15to49,1,2011,960
STAT,0to14,0,1965,7248.594724209321
STAT,15to49,0,1988,15330.137056733278
SIM,15to49,1,2010,964
STAT,0to14,0,1966,7247.191186689693
STAT,15to49,0,1987,15333.109714502027
SIM,15to49,1,2013,959
STAT,0to14,0,1963,7251.404499002892
SIM,15to49,1,2012,970
STAT,0to14,0,1964,7249.999162503634
STAT,15to49,0,1989,15327.163880679678
SIM,15to49,1,2015,1
STAT,15to49,0,1984,15342.026934112286
STAT,0to14,0,1969,7242.984841170865
SIM,15to49,1,2014,968
STAT,15to49,0,1983,15344.999345957953
STAT,0to14,0,1967,7245.78846728417
STAT,15to49,0,1986,15336.082179595114
STAT,0to14,0,1968,7244.386361958686
STAT,15to49,0,1985,15339.054590762215
STAT,0to14,0,1980,7227.569059762523
STAT,0to14,0,1983,7223.363301391985
STAT,0to14,0,1984,7221.961814263169
STAT,0to14,0,1981,7226.167025380724
STAT,0to14,0,1982,7224.765070485684
STAT,15to49,0,1991,15321.218595718366
STAT,15to49,0,1990,15324.190904174464
STAT,15to49,0,1993,15315.275618757345
STAT,15to49,0,1992,15318.246883701144
STAT,15to49,0,1999,15297.464649120257
STAT,0to14,0,1976,7233.176467340388
STAT,15to49,0,1998,15300.43062774275
STAT,0to14,0,1977,7231.774744271175
STAT,0to14,0,1974,7235.979241410636
STAT,0to14,0,1975,7234.578014576357
STAT,15to49,0,1995,15309.334520756265
STAT,15to49,0,1994,15312.30466327083
STAT,15to49,0,1997,15303.397571782038
STAT,0to14,0,1978,7230.372907813858
STAT,15to49,0,1996,15306.365484654225
STAT,0to14,0,1979,7228.971030075883
STAT,0to14,0,1990,7213.561907916237
STAT,0to14,0,1991,7212.163790505483
STAT,0to14,0,1994,7207.972408389548
STAT,15to49,0,1969,15386.669088310351
STAT,0to14,0,1995,7206.57618501908
STAT,0to14,0,1992,7210.76619008887
STAT,0to14,0,1993,7209.369071438157
STAT,15to49,0,1960,15413.586921888536
STAT,15to49,0,1966,15395.63726790344
STAT,0to14,0,1987,7217.759650447649
STAT,15to49,0,1965,15398.629389705353
STAT,0to14,0,1988,7216.359852095692
STAT,15to49,0,1968,15389.655723959386
STAT,0to14,0,1985,7220.560679684757
STAT,15to49,0,1967,15392.64724281663
STAT,0to14,0,1986,7219.159941973394
STAT,15to49,0,1962,15407.602887839688
STAT,15to49,0,1961,15410.593411021468
STAT,15to49,0,1964,15401.620456984614
STAT,0to14,0,1989,7214.960588996475
STAT,15to49,0,1963,15404.611744973803
SIM,15to49,1,2008,969
SIM,15to49,1,2007,960
STAT,15to49,0,1971,15380.702165743372
SIM,15to49,1,2009,966
STAT,15to49,0,1970,15383.685936494123
SIM,15to49,1,2000,968
STAT,15to49,0,1977,15362.834063817045
STAT,0to14,0,1998,7202.389537633694
STAT,15to49,0,1976,15365.808806507268
STAT,0to14,0,1999,7200.994472938241
SIM,15to49,1,2002,968
STAT,15to49,0,1979,15356.886914922128
STAT,0to14,0,1996,7205.180344908996
SIM,15to49,1,2001,960
STAT,15to49,0,1978,15359.8595346918
STAT,0to14,0,1997,7203.784814925966
SIM,15to49,1,2004,970
STAT,15to49,0,1973,15374.736751983452
SIM,15to49,1,2003,965
STAT,15to49,0,1972,15377.719610486394
SIM,15to49,1,2006,961
STAT,15to49,0,1975,15368.78416374471
