Source,Age,NPCIAP,CIY,Date,freq
SIM,20to24,0+,NO,1961,10677
SIM,20to24,0+,NO,1960,10682
SIM,20to24,0+,NO,1963,10679
SIM,20to24,0+,NO,1962,10666
SIM,20to24,0+,NO,1969,10654
SIM,20to24,0+,NO,1968,10658
SIM,20to24,0+,NO,1965,10670
SIM,20to24,0+,NO,1964,10669
SIM,20to24,0+,NO,1967,10654
SIM,20to24,0+,NO,1966,10664
SIM,20to24,0+,NO,1972,10651
SIM,20to24,0+,NO,1971,10647
SIM,20to24,0+,NO,1974,10638
SIM,20to24,0+,NO,1973,10641
SIM,20to24,0+,NO,1970,10643
SIM,20to24,0+,NO,1979,10632
SIM,20to24,0+,NO,1976,10636
SIM,20to24,0+,NO,1975,10650
SIM,20to24,0+,NO,1978,10636
SIM,20to24,0+,NO,1977,10641
SIM,20to24,0+,NO,1983,10624
SIM,20to24,0+,NO,1982,10619
SIM,20to24,0+,NO,1985,10617
SIM,20to24,0+,NO,1984,10626
SIM,20to24,0+,NO,1981,10627
SIM,20to24,0+,NO,1980,10632
SIM,20to24,0+,NO,1987,10617
SIM,20to24,0+,NO,1986,10623
SIM,20to24,0+,NO,1989,10615
SIM,20to24,0+,NO,1988,10610
SIM,20to24,0+,NO,1994,10593
SIM,20to24,0+,NO,1993,10595
SIM,20to24,0+,NO,1996,10596
SIM,20to24,0+,NO,1995,10591
SIM,20to24,0+,NO,1990,10613
SIM,20to24,0+,NO,1992,10609
SIM,20to24,0+,NO,1991,10603
SIM,20to24,0+,NO,1998,10588
SIM,20to24,0+,NO,1997,10588
SIM,20to24,0+,NO,1999,10597
SIM,20to24,0+,NO,1925,10752
SIM,20to24,0+,NO,1924,10760
SIM,20to24,0+,NO,1927,10748
SIM,20to24,0+,NO,1926,10749
SIM,20to24,0+,NO,1921,10768
SIM,20to24,0+,NO,1920,10767
SIM,20to24,0+,NO,1923,10762
SIM,20to24,0+,NO,1922,10757
SIM,20to24,0+,NO,1918,10763
SIM,20to24,0+,NO,1917,10777
SIM,20to24,0+,NO,1919,10772
SIM,20to24,0+,NO,1930,10744
SIM,20to24,0+,NO,1936,10728
SIM,20to24,0+,NO,1935,10733
SIM,20to24,0+,NO,1938,10726
SIM,20to24,0+,NO,1937,10732
SIM,20to24,0+,NO,1932,10738
SIM,20to24,0+,NO,1931,10747
SIM,20to24,0+,NO,1934,10734
SIM,20to24,0+,NO,1933,10741
SIM,20to24,0+,NO,1929,10749
SIM,20to24,0+,NO,1928,10755
SIM,20to24,0+,NO,1941,10718
SIM,20to24,0+,NO,1940,10719
SIM,20to24,0+,NO,1947,10709
SIM,20to24,0+,NO,1946,10705
SIM,20to24,0+,NO,1949,10695
SIM,20to24,0+,NO,1948,10700
SIM,20to24,0+,NO,1943,10711
SIM,20to24,0+,NO,1942,10720
SIM,20to24,0+,NO,1945,10712
SIM,20to24,0+,NO,1944,10709
SIM,20to24,0+,NO,1939,10721
SIM,20to24,0+,NO,1950,10698
SIM,20to24,0+,NO,1952,10688
SIM,20to24,0+,NO,1951,10700
SIM,20to24,0+,NO,1958,10678
SIM,20to24,0+,NO,1957,10674
SIM,20to24,0+,NO,1959,10689
SIM,20to24,0+,NO,1954,10690
SIM,20to24,0+,NO,1953,10689
SIM,20to24,0+,NO,1956,10684
SIM,20to24,0+,NO,1955,10685
SIM,35to39,0+,NO,1934,11764
STAT,15to19,0+,YES,1995,728.1638298169728
SIM,35to39,0+,NO,1933,11761
STAT,15to19,0+,YES,1994,728.3054408315911
SIM,35to39,0+,NO,1932,11766
STAT,15to19,0+,YES,1993,728.4470687967607
