Source,Age,NCIY,Date,freq
STAT,0to14,0,1972,36189.80224088112
STAT,0to14,0,1973,36182.809956005825
STAT,0to14,0,1970,36203.789879862845
STAT,0to14,0,1971,36196.79503422632
STAT,15to49,0,1980,76760.86468157166
STAT,15to49,0,1982,76731.18766811538
STAT,15to49,0,1981,76746.02531710187
SIM,15to49,1,2011,4829
SIM,50+,1,1998,1
STAT,15to49,0,1988,76642.11849536689
STAT,0to14,0,1965,36238.83559954516
SIM,15to49,1,2010,4820
STAT,15to49,0,1987,76656.97273397606
STAT,0to14,0,1966,36231.8133763438
SIM,15to49,1,2013,4821
STAT,0to14,0,1963,36252.903966748396
SIM,15to49,1,2012,4817
STAT,15to49,0,1989,76627.26092517092
STAT,0to14,0,1964,36245.86567555902
SIM,15to49,1,2015,9
STAT,15to49,0,1984,76701.51130260025
STAT,0to14,0,1969,36210.78808229158
SIM,15to49,1,2014,4809
STAT,15to49,0,1983,76716.3502870975
STAT,15to49,0,1986,76671.82328243696
STAT,0to14,0,1967,36224.7988218723
STAT,0to14,0,1968,36217.790706525375
STAT,15to49,0,1985,76686.6692438153
STAT,0to14,0,1980,36133.81706216597
STAT,0to14,0,1983,36112.786432271
STAT,0to14,0,1984,36105.77467631454
STAT,0to14,0,1981,36126.80830322181
STAT,0to14,0,1982,36119.797875930686
STAT,15to49,0,1991,76597.53688122018
STAT,15to49,0,1990,76612.40035163243
STAT,15to49,0,1993,76567.80764594713
STAT,15to49,0,1992,76582.67207160358
STAT,15to49,0,1999,76478.69376668004
STAT,0to14,0,1976,36161.827225207584
STAT,15to49,0,1998,76493.53251007461
STAT,0to14,0,1977,36154.828903054964
STAT,0to14,0,1974,36175.81716932273
STAT,0to14,0,1975,36168.823097692184
STAT,15to49,0,1995,76538.08526282829
STAT,15to49,0,1994,76552.94499253744
STAT,15to49,0,1997,76508.3778254456
STAT,0to14,0,1978,36147.827730213234
STAT,15to49,0,1996,76523.22899627173
STAT,0to14,0,1979,36140.823697175656
STAT,0to14,0,1990,36063.73852604192
STAT,0to14,0,1991,36056.74337729005
STAT,0to14,0,1994,36035.781113684505
STAT,15to49,0,1969,76924.72200413674
STAT,0to14,0,1995,36028.800888463185
STAT,0to14,0,1992,36049.752124439925
STAT,0to14,0,1993,36042.764762965446
STAT,15to49,0,1960,77059.41939822503
STAT,15to49,0,1966,76969.64063028315
STAT,0to14,0,1987,36084.74521679246
STAT,15to49,0,1965,76984.62614319436
STAT,0to14,0,1988,36077.7397544037
STAT,15to49,0,1968,76939.68996898441
STAT,0to14,0,1985,36098.76337292987
STAT,15to49,0,1967,76954.66346063983
STAT,0to14,0,1986,36091.7533112142
STAT,15to49,0,1962,77029.53493288376
STAT,15to49,0,1961,77044.48283086972
STAT,15to49,0,1964,76999.60266060484
STAT,0to14,0,1989,36070.73740328772
STAT,15to49,0,1963,77014.57386076517
SIM,15to49,1,2008,4828
SIM,15to49,1,2007,4827
