Source,Age,NPA,Date,freq
STAT,50+,20to24,1977,0.0
STAT,25to29,25to29,1869,509.8098944200743
STAT,45to49,50to100,1888,6.420023705133639
STAT,50+,20to24,1978,0.0
STAT,45to49,50to100,1889,6.436672995842473
STAT,25to29,25to29,1868,507.3692650258693
STAT,50+,20to24,1979,0.0
STAT,45to49,50to100,1886,6.389999921960728
STAT,25to29,25to29,1867,505.4617198806718
STAT,25to29,25to29,1866,500.1123199743657
STAT,45to49,50to100,1887,6.416096635538029
STAT,25to29,25to29,1865,492.08777890136724
STAT,25to29,25to29,1864,479.8592373870427
STAT,25to29,25to29,1863,464.81776830448626
STAT,25to29,25to29,1862,443.8508152771143
STAT,25to29,50to100,1938,7.604959512837018
STAT,25to29,50to100,1939,7.6035298856291185
STAT,25to29,50to100,1934,7.610643140273666
STAT,25to29,50to100,1935,7.609223166514668
STAT,25to29,50to100,1936,7.607808287817675
STAT,25to29,50to100,1937,7.606385938665747
STAT,25to29,50to100,1930,7.616435177010137
STAT,45to49,50to100,1891,6.430899004211306
STAT,25to29,25to29,1872,509.3412512939634
STAT,50+,20to24,1970,0.0
STAT,25to29,50to100,1931,7.614972379372903
STAT,45to49,50to100,1892,6.430244280520302
STAT,25to29,25to29,1871,509.4040336762581
STAT,50+,20to24,1971,0.0
STAT,25to29,50to100,1932,7.613517618519169
STAT,25to29,25to29,1870,509.44638612205665
STAT,50+,20to24,1972,0.0
STAT,25to29,50to100,1933,7.612075026571551
STAT,45to49,50to100,1890,6.431121058398388
STAT,50+,20to24,1973,0.0
STAT,45to49,50to100,1895,6.424265298303678
STAT,50+,20to24,1974,0.0
STAT,45to49,50to100,1896,6.423349828510532
STAT,50+,20to24,1975,0.0
STAT,45to49,50to100,1893,6.435309470700089
STAT,50+,20to24,1976,0.0
STAT,45to49,50to100,1894,6.4231248498357365
STAT,50+,20to24,1988,0.0
STAT,25to29,25to29,1858,300.2228606540351
STAT,45to49,50to100,1877,5.311793693390209
STAT,50+,20to24,1989,0.0
STAT,45to49,50to100,1878,5.544713094877505
STAT,25to29,25to29,1857,242.3924865075375
STAT,45to49,50to100,1875,4.700195913024605
STAT,25to29,25to29,1856,173.73849372052152
STAT,45to49,50to100,1876,5.027069429236246
STAT,25to29,25to29,1855,92.77194976681155
STAT,45to49,50to100,1879,5.743871177586207
STAT,50+,50to100,1997,0.0
STAT,50+,50to100,1998,0.0
STAT,50+,50to100,1999,0.0
STAT,25to29,25to29,1859,346.6504353124928
STAT,50+,50to100,1993,0.0
STAT,25to29,50to100,1949,7.588803526365068
STAT,50+,50to100,1994,0.0
STAT,50+,50to100,1995,0.0
STAT,50+,50to100,1996,0.0
STAT,25to29,50to100,1945,7.594792662150689
STAT,50+,50to100,1990,0.0
STAT,25to29,50to100,1946,7.593301419602344
STAT,25to29,50to100,1947,7.591806624280995
STAT,50+,50to100,1991,0.0
STAT,50+,50to100,1992,0.0
STAT,25to29,50to100,1948,7.59030677458511
STAT,50+,20to24,1980,0.0
STAT,25to29,25to29,1861,418.80901923288945
STAT,45to49,50to100,1880,5.907087939378632
STAT,25to29,50to100,1941,7.600661116895243
STAT,50+,20to24,1981,0.0
STAT,45to49,50to100,1881,6.0473327911201
STAT,25to29,25to29,1860,386.4577295666925
STAT,25to29,50to100,1942,7.599208075230371
STAT,50+,20to24,1982,0.0
STAT,25to29,50to100,1943,7.597744342683288
STAT,50+,20to24,1983,0.0
STAT,25to29,50to100,1944,7.5962710873556345
STAT,50+,20to24,1984,0.0
STAT,45to49,50to100,1884,6.305708650726693
STAT,50+,20to24,1985,0.0
STAT,45to49,50to100,1885,6.356800794227599
STAT,50+,20to24,1986,0.0
STAT,45to49,50to100,1882,6.147608798395241
STAT,50+,20to24,1987,0.0
STAT,25to29,50to100,1940,7.602102655841069
STAT,45to49,50to100,1883,6.238284717331215
STAT,50+,20to24,1999,0.0
STAT,45to49,50to100,1866,1.1150218016368152
STAT,45to49,50to100,1867,1.4247998433686397
STAT,25to29,25to29,1889,507.7822752663146
STAT,45to49,50to100,1864,0.6448840196916612
STAT,45to49,50to100,1865,0.8534932468352477
STAT,25to29,25to29,1888,507.8723933319875
STAT,25to29,25to29,1887,507.9786836611348
STAT,25to29,25to29,1886,508.0813405403628
STAT,45to49,50to100,1868,1.7746613248149583
STAT,25to29,25to29,1885,508.1888033180829
STAT,45to49,50to100,1869,2.1640558019345884
STAT,25to29,25to29,1884,508.3202117019989
STAT,20to24,20to24,2009,248.18332427592392
STAT,50+,50to100,1986,0.0
STAT,20to24,20to24,2005,248.37585545259608
STAT,50+,50to100,1987,0.0
STAT,20to24,20to24,2006,248.32766617616105
STAT,50+,50to100,1988,0.0
STAT,20to24,20to24,2007,248.2795154086941
STAT,50+,50to100,1989,0.0
STAT,20to24,20to24,2008,248.23140223858118
STAT,50+,50to100,1982,0.0
STAT,20to24,20to24,2012,248.03926141747394
STAT,50+,50to100,1983,0.0
STAT,20to24,20to24,2013,247.9912810721466
STAT,50+,50to100,1984,0.0
STAT,20to24,20to24,2014,247.94331231666754
STAT,50+,50to100,1985,0.0
STAT,20to24,20to24,2015,247.89535013453633
STAT,25to29,50to100,1956,7.578333336029025
STAT,25to29,50to100,1957,7.576861171106966
STAT,50+,50to100,1980,0.0
STAT,20to24,20to24,2010,248.13527786452647
STAT,25to29,50to100,1958,7.575395193405716
STAT,50+,20to24,1990,0.0
STAT,50+,50to100,1981,0.0
STAT,20to24,20to24,2011,248.0872585114684
STAT,25to29,50to100,1959,7.573934408720568
STAT,50+,20to24,1991,0.0
STAT,25to29,25to29,1894,507.23678559712175
STAT,25to29,50to100,1952,7.584290129268458
STAT,50+,20to24,1992,0.0
STAT,45to49,50to100,1870,2.5823936502499802
STAT,25to29,25to29,1893,507.3446413051144
STAT,25to29,50to100,1953,7.582793610426437
STAT,50+,20to24,1993,0.0
STAT,25to29,25to29,1892,507.4476526242894
STAT,25to29,50to100,1954,7.581301611642383
STAT,50+,20to24,1994,0.0
STAT,25to29,25to29,1891,507.5659692244692
STAT,25to29,50to100,1955,7.579813729691752
STAT,50+,20to24,1995,0.0
STAT,45to49,50to100,1873,3.9288543339541526
STAT,25to29,25to29,1890,507.6722322056436
STAT,50+,20to24,1996,0.0
STAT,45to49,50to100,1874,4.31200745440262
STAT,50+,20to24,1997,0.0
STAT,45to49,50to100,1871,3.0206042540445246
STAT,25to29,50to100,1950,7.587296983505491
STAT,50+,20to24,1998,0.0
STAT,45to49,50to100,1872,3.4704055914689356
STAT,25to29,50to100,1951,7.5857905531154035
STAT,45to49,50to100,1855,0.017797646152411944
STAT,25to29,25to29,1879,508.5144911198557
STAT,45to49,50to100,1856,0.035396279103783346
STAT,25to29,25to29,1878,508.36173495323015
STAT,25to29,25to29,1877,508.6362498422568
STAT,45to49,50to100,1859,0.11770263754841084
STAT,25to29,25to29,1876,508.82393374008547
STAT,25to29,25to29,1875,508.94692753844623
STAT,45to49,50to100,1857,0.05291398907750311
STAT,25to29,25to29,1874,508.79289209688505
STAT,45to49,50to100,1858,0.07091680348281693
STAT,25to29,25to29,1873,509.77547703224
SIM,35to39,35to39,1896,13
STAT,50+,50to100,1979,0.0
SIM,35to39,35to39,1897,11
SIM,35to39,35to39,1894,15
SIM,35to39,35to39,1895,9
SIM,35to39,35to39,1892,9
STAT,50+,50to100,1975,0.0
STAT,20to24,20to24,2016,247.84738991056363
SIM,35to39,35to39,1893,13
STAT,50+,50to100,1976,0.0
SIM,35to39,35to39,1890,13
STAT,50+,50to100,1977,0.0
SIM,35to39,35to39,1891,6
STAT,50+,50to100,1978,0.0
STAT,50+,50to100,1971,0.0
STAT,50+,50to100,1972,0.0
STAT,50+,50to100,1973,0.0
STAT,50+,50to100,1974,0.0
STAT,25to29,50to100,1967,7.562340128844056
STAT,25to29,50to100,1968,7.560887287107163
SIM,35to39,35to39,1898,10
STAT,25to29,50to100,1969,7.559431337038153
SIM,35to39,35to39,1899,8
STAT,50+,50to100,1970,0.0
STAT,45to49,35to39,2002,3.5881903975564557
STAT,25to29,25to29,1883,508.2589340677108
STAT,25to29,50to100,1963,7.568130776197094
STAT,45to49,35to39,2001,3.588889266955122
STAT,25to29,25to29,1882,508.39167109777424
STAT,25to29,50to100,1964,7.566684782825417
STAT,45to49,35to39,2000,3.589589272166004
STAT,25to29,25to29,1881,508.44416823432863
STAT,25to29,50to100,1965,7.565238148450396
STAT,25to29,50to100,1966,7.56379035118546
STAT,25to29,25to29,1880,508.6536340050119
STAT,45to49,50to100,1862,0.3352650658597881
STAT,45to49,50to100,1863,0.46002237605542873
STAT,25to29,50to100,1960,7.572477576892314
STAT,45to49,50to100,1860,0.16346925040148602
STAT,25to29,50to100,1961,7.571025746521443
STAT,45to49,50to100,1861,0.23652544822129762
STAT,25to29,50to100,1962,7.569577276925949
