Source,NCIP,Separated,Date,freq
SIM,3,NO,1975,760
SIM,3,NO,1974,705
SIM,3,NO,1973,733
SIM,3,NO,1972,761
SIM,3,NO,1979,756
SIM,3,NO,1978,722
SIM,3,NO,1977,711
SIM,3,NO,1976,696
SIM,3,NO,1971,727
SIM,3,NO,1970,745
SIM,3,NO,1969,753
SIM,3,NO,1964,764
SIM,3,NO,1963,748
SIM,3,NO,1962,731
SIM,3,NO,1961,690
SIM,3,NO,1968,755
SIM,3,NO,1967,786
SIM,3,NO,1966,785
SIM,3,NO,1965,758
SIM,3,NO,1960,732
SIM,3,NO,1959,759
SIM,3,NO,1958,738
SIM,3,NO,1953,779
STAT,5+,NA,1893,4547.18925635608
SIM,3,NO,1952,734
STAT,5+,NA,1894,4615.332586920787
SIM,3,NO,1951,778
STAT,5+,NA,1891,4401.174753808754
SIM,3,NO,1950,780
STAT,5+,NA,1892,4475.704106258187
SIM,3,NO,1957,738
STAT,5+,NA,1897,4798.492350508201
SIM,3,NO,1956,818
STAT,5+,NA,1898,4851.85943283293
SIM,3,NO,1955,747
STAT,5+,NA,1895,4680.068250576837
SIM,3,NO,1954,775
STAT,5+,NA,1896,4741.196598164671
STAT,5+,NA,1899,4901.112651239126
SIM,3,NO,1949,710
SIM,3,NO,1948,757
SIM,3,NO,1947,712
SIM,3,NO,1942,772
STAT,5+,NA,1882,3618.762173888403
SIM,3,NO,1941,710
STAT,5+,NA,1883,3713.5764729946777
SIM,3,NO,1940,789
STAT,5+,NA,1880,3425.0050367507943
STAT,5+,NA,1881,3522.527352761387
SIM,3,NO,1946,784
STAT,5+,NA,1886,3987.7607580476842
SIM,3,NO,1945,756
STAT,5+,NA,1887,4075.382246316026
SIM,3,NO,1944,735
STAT,5+,NA,1884,3806.6662598788225
SIM,3,NO,1943,693
STAT,5+,NA,1885,3898.117370990345
STAT,5+,NA,1888,4160.773881962499
STAT,5+,NA,1889,4243.468171036571
SIM,3,NO,1939,745
SIM,3,NO,1938,739
SIM,3,NO,1937,755
SIM,3,NO,1936,751
STAT,5+,NA,1890,4323.716498266554
SIM,3,NO,1931,757
STAT,5+,NA,1871,2522.297086628081
SIM,3,NO,1930,767
STAT,5+,NA,1872,2621.901911352352
STAT,5+,NA,1870,2425.8514524808115
SIM,3,NO,1935,763
STAT,5+,NA,1875,2923.2888155706864
SIM,3,NO,1934,769
STAT,5+,NA,1876,3024.4887696014875
SIM,3,NO,1933,790
STAT,5+,NA,1873,2724.505727635918
SIM,3,NO,1932,730
STAT,5+,NA,1874,2822.743995028991
STAT,5+,NA,1879,3326.4524479284023
STAT,5+,NA,1877,3125.9599563195366
STAT,5+,NA,1878,3227.411843290054
SIM,3,NO,1928,754
SIM,3,NO,1927,717
SIM,3,NO,1926,765
SIM,3,NO,1925,744
SIM,3,NO,1929,756
SIM,3,NO,1920,716
STAT,5+,NA,1860,1486.0545681434842
STAT,5+,NA,1861,1594.0229664715657
SIM,3,NO,1924,773
STAT,5+,NA,1864,1881.1400620518325
SIM,3,NO,1923,744
STAT,5+,NA,1865,1970.2025066350704
SIM,3,NO,1922,757
STAT,5+,NA,1862,1694.3864874504236
SIM,3,NO,1921,746
STAT,5+,NA,1863,1791.086891179051
STAT,5+,NA,1868,2245.763012275398
STAT,5+,NA,1869,2333.151860797409
STAT,5+,NA,1866,2059.895024745585
STAT,5+,NA,1867,2151.0838716124463
SIM,3,NO,1917,751
SIM,3,NO,1916,758
SIM,3,NO,1915,762
SIM,3,NO,1914,761
SIM,3,NO,1919,751
SIM,3,NO,1918,772
SIM,3,NO,1913,758
SIM,3,NO,1912,763
SIM,3,NO,1911,755
SIM,3,NO,1910,741
STAT,5+,NA,1857,1114.5802189889062
STAT,5+,NA,1858,1241.9782372423883
STAT,5+,NA,1855,851.7971105458868
STAT,5+,NA,1856,984.4273948511849
STAT,5+,NA,1859,1369.024465466816
SIM,3,NO,1906,739
SIM,3,NO,1905,746
SIM,3,NO,1904,712
SIM,3,NO,1903,755
SIM,3,NO,1909,753
SIM,3,NO,1908,764
SIM,3,NO,1907,739
SIM,3,NO,1902,779
SIM,3,NO,1901,712
SIM,3,NO,1900,789
STAT,4,NA,1861,1537.6765782540347
STAT,4,NA,1860,1519.407605976074
STAT,4,NA,1865,1813.6234411144217
STAT,4,NA,1864,1710.6235704484336
STAT,4,NA,1863,1630.5524676120501
STAT,4,NA,1862,1573.670478479893
STAT,4,NA,1858,1512.2881833050722
STAT,4,NA,1857,1515.2425815330596
STAT,4,NA,1856,1508.604680460578
STAT,4,NA,1855,1490.0974505822167
STAT,4,NA,1859,1513.1123767604722
STAT,4,NA,1872,2988.0507493143523
STAT,4,NA,1871,2790.6463252332023
STAT,4,NA,1870,2599.4027781436503
STAT,4,NA,1876,3812.7425763481506
STAT,4,NA,1875,3604.267171476755
STAT,4,NA,1874,3396.451377527695
STAT,4,NA,1873,3190.5362095558994
STAT,4,NA,1869,2415.2440908281133
STAT,4,NA,1868,2241.9060769233656
