Source,Age,NPCIAP,CIY,Date,freq
SIM,20to24,0+,NO,1961,21344
SIM,20to24,0+,NO,1960,21344
SIM,20to24,0+,NO,1963,21338
SIM,20to24,0+,NO,1962,21348
SIM,20to24,0+,NO,1969,21309
SIM,20to24,0+,NO,1968,21318
SIM,20to24,0+,NO,1965,21323
SIM,20to24,0+,NO,1964,21335
SIM,20to24,0+,NO,1967,21315
SIM,20to24,0+,NO,1966,21322
SIM,20to24,0+,NO,1972,21293
SIM,20to24,0+,NO,1971,21299
SIM,20to24,0+,NO,1974,21280
SIM,20to24,0+,NO,1973,21296
SIM,20to24,0+,NO,1970,21310
SIM,20to24,0+,NO,1979,21274
SIM,20to24,0+,NO,1976,21284
SIM,20to24,0+,NO,1975,21271
SIM,20to24,0+,NO,1978,21265
SIM,20to24,0+,NO,1977,21271
SIM,20to24,0+,NO,1983,21232
SIM,20to24,0+,NO,1982,21256
SIM,20to24,0+,NO,1985,21240
SIM,20to24,0+,NO,1984,21241
SIM,20to24,0+,NO,1981,21260
SIM,20to24,0+,NO,1980,21256
SIM,20to24,0+,NO,1987,21228
SIM,20to24,0+,NO,1986,21227
SIM,20to24,0+,NO,1989,21223
SIM,20to24,0+,NO,1988,21232
SIM,20to24,0+,NO,1994,21190
SIM,20to24,0+,NO,1993,21206
SIM,20to24,0+,NO,1996,21185
SIM,20to24,0+,NO,1995,21196
SIM,20to24,0+,NO,1990,21211
SIM,20to24,0+,NO,1992,21200
SIM,20to24,0+,NO,1991,21215
SIM,20to24,0+,NO,1998,21177
SIM,20to24,0+,NO,1997,21185
SIM,20to24,0+,NO,1999,21173
SIM,20to24,0+,NO,1925,21518
SIM,20to24,0+,NO,1924,21507
SIM,20to24,0+,NO,1927,21501
SIM,20to24,0+,NO,1926,21509
SIM,20to24,0+,NO,1921,21527
SIM,20to24,0+,NO,1920,21549
SIM,20to24,0+,NO,1923,21507
SIM,20to24,0+,NO,1922,21525
SIM,20to24,0+,NO,1918,21540
SIM,20to24,0+,NO,1917,21557
SIM,20to24,0+,NO,1919,21537
SIM,20to24,0+,NO,1930,21486
SIM,20to24,0+,NO,1936,21468
SIM,20to24,0+,NO,1935,21471
SIM,20to24,0+,NO,1938,21450
SIM,20to24,0+,NO,1937,21457
SIM,20to24,0+,NO,1932,21473
SIM,20to24,0+,NO,1931,21500
SIM,20to24,0+,NO,1934,21462
SIM,20to24,0+,NO,1933,21482
SIM,20to24,0+,NO,1929,21497
SIM,20to24,0+,NO,1928,21497
SIM,20to24,0+,NO,1941,21433
SIM,20to24,0+,NO,1940,21442
SIM,20to24,0+,NO,1947,21416
SIM,20to24,0+,NO,1946,21428
SIM,20to24,0+,NO,1949,21412
SIM,20to24,0+,NO,1948,21401
SIM,20to24,0+,NO,1943,21424
SIM,20to24,0+,NO,1942,21423
SIM,20to24,0+,NO,1945,21423
