Source,NCIP,Separated,Date,freq
SIM,3,NO,1975,1478
SIM,3,NO,1974,1477
SIM,3,NO,1973,1483
SIM,3,NO,1972,1532
SIM,3,NO,1979,1538
SIM,3,NO,1978,1502
SIM,3,NO,1977,1475
SIM,3,NO,1976,1453
SIM,3,NO,1971,1530
SIM,3,NO,1970,1509
SIM,3,NO,1969,1455
SIM,3,NO,1964,1449
SIM,3,NO,1963,1481
SIM,3,NO,1962,1452
SIM,3,NO,1961,1545
SIM,3,NO,1968,1528
SIM,3,NO,1967,1546
SIM,3,NO,1966,1507
SIM,3,NO,1965,1473
SIM,3,NO,1960,1478
SIM,3,NO,1959,1452
SIM,3,NO,1958,1498
SIM,3,NO,1953,1555
STAT,5+,NA,1893,9082.169719725036
SIM,3,NO,1952,1474
STAT,5+,NA,1894,9218.893731203523
SIM,3,NO,1951,1488
STAT,5+,NA,1891,8789.380653607835
SIM,3,NO,1950,1502
STAT,5+,NA,1892,8938.820877873819
SIM,3,NO,1957,1492
STAT,5+,NA,1897,9586.755811623332
SIM,3,NO,1956,1495
STAT,5+,NA,1898,9694.128194479827
SIM,3,NO,1955,1547
STAT,5+,NA,1895,9348.813609727078
SIM,3,NO,1954,1481
STAT,5+,NA,1896,9471.568453276614
STAT,5+,NA,1899,9793.346621872566
SIM,3,NO,1949,1515
SIM,3,NO,1948,1521
SIM,3,NO,1947,1477
SIM,3,NO,1942,1536
STAT,5+,NA,1882,7222.621339273546
SIM,3,NO,1941,1482
STAT,5+,NA,1883,7412.3696899536035
SIM,3,NO,1940,1516
STAT,5+,NA,1880,6834.942536133375
STAT,5+,NA,1881,7030.053812332795
SIM,3,NO,1946,1514
STAT,5+,NA,1886,7961.283739638672
SIM,3,NO,1945,1465
STAT,5+,NA,1887,8136.7153531440235
SIM,3,NO,1944,1468
STAT,5+,NA,1884,7598.73508341527
SIM,3,NO,1943,1481
STAT,5+,NA,1885,7781.864810836201
STAT,5+,NA,1888,8307.716839437671
STAT,5+,NA,1889,8473.422877807523
SIM,3,NO,1939,1521
SIM,3,NO,1938,1489
SIM,3,NO,1937,1477
SIM,3,NO,1936,1540
STAT,5+,NA,1890,8634.186604204468
SIM,3,NO,1931,1496
STAT,5+,NA,1871,5028.106424903778
SIM,3,NO,1930,1573
STAT,5+,NA,1872,5227.97281347622
STAT,5+,NA,1870,4835.142399024039
SIM,3,NO,1935,1579
STAT,5+,NA,1875,5830.9011094026155
SIM,3,NO,1934,1508
STAT,5+,NA,1876,6033.283668056996
SIM,3,NO,1933,1514
STAT,5+,NA,1873,5433.343056054247
SIM,3,NO,1932,1500
STAT,5+,NA,1874,5629.702090564685
STAT,5+,NA,1879,6637.633362466596
STAT,5+,NA,1877,6236.413316724486
STAT,5+,NA,1878,6439.532682639777
SIM,3,NO,1928,1499
SIM,3,NO,1927,1510
SIM,3,NO,1926,1503
SIM,3,NO,1925,1462
SIM,3,NO,1929,1521
SIM,3,NO,1920,1552
STAT,5+,NA,1860,2932.758938912868
STAT,5+,NA,1861,3155.676522617587
SIM,3,NO,1924,1504
STAT,5+,NA,1864,3739.7527581440527
SIM,3,NO,1923,1518
STAT,5+,NA,1865,3919.787693746377
SIM,3,NO,1922,1485
STAT,5+,NA,1862,3362.051843282001
SIM,3,NO,1921,1478
STAT,5+,NA,1863,3557.0095977474803
STAT,5+,NA,1868,4474.4812801413855
STAT,5+,NA,1869,4649.398789509007
STAT,5+,NA,1866,4100.633080734439
STAT,5+,NA,1867,4284.923383404521
SIM,3,NO,1917,1591
SIM,3,NO,1916,1542
SIM,3,NO,1915,1524
SIM,3,NO,1914,1470
SIM,3,NO,1919,1499
SIM,3,NO,1918,1501
SIM,3,NO,1913,1495
SIM,3,NO,1912,1486
SIM,3,NO,1911,1516
SIM,3,NO,1910,1542
STAT,5+,NA,1857,2164.8895038941682
STAT,5+,NA,1858,2429.392048713832
STAT,5+,NA,1855,1613.557300352106
STAT,5+,NA,1856,1892.4257051664906
STAT,5+,NA,1859,2692.276081046247
SIM,3,NO,1906,1503
SIM,3,NO,1905,1557
SIM,3,NO,1904,1573
SIM,3,NO,1903,1516
SIM,3,NO,1909,1502
SIM,3,NO,1908,1594
SIM,3,NO,1907,1460
SIM,3,NO,1902,1515
SIM,3,NO,1901,1464
SIM,3,NO,1900,1522
STAT,4,NA,1861,3125.7493895642456
STAT,4,NA,1860,3096.469783752734
