Source,Age,NPA,Date,freq
STAT,50+,20to24,1977,0.0
STAT,25to29,25to29,1869,1019.2086048013552
STAT,45to49,50to100,1888,12.851080943492741
STAT,50+,20to24,1978,0.0
STAT,45to49,50to100,1889,12.866504235435045
STAT,25to29,25to29,1868,1015.4732822201568
STAT,50+,20to24,1979,0.0
STAT,25to29,25to29,1867,1010.1055004911866
STAT,45to49,50to100,1886,12.783581130064869
STAT,25to29,25to29,1866,1000.6281060384479
STAT,45to49,50to100,1887,12.823026379784844
STAT,25to29,25to29,1865,983.6421798622404
STAT,25to29,25to29,1864,959.4545411008029
STAT,25to29,25to29,1863,929.4144736960875
STAT,25to29,25to29,1862,888.4459334025591
STAT,25to29,50to100,1938,15.210736882016533
STAT,25to29,50to100,1939,15.207835291814082
STAT,25to29,50to100,1934,15.222260692137505
STAT,25to29,50to100,1935,15.219395480306217
STAT,25to29,50to100,1936,15.21650983011742
STAT,25to29,50to100,1937,15.213624169160846
STAT,25to29,50to100,1930,15.233776978377517
STAT,25to29,25to29,1872,1018.7011435975954
STAT,45to49,50to100,1891,12.867521744753192
STAT,50+,20to24,1970,0.0
STAT,25to29,50to100,1931,15.230877124983719
STAT,25to29,25to29,1871,1019.2794536587902
STAT,45to49,50to100,1892,12.85993039922546
STAT,50+,20to24,1971,0.0
STAT,25to29,50to100,1932,15.22799078802283
STAT,25to29,25to29,1870,1019.2435385569901
STAT,50+,20to24,1972,0.0
STAT,25to29,50to100,1933,15.225123811200085
STAT,45to49,50to100,1890,12.866942193700181
STAT,50+,20to24,1973,0.0
STAT,45to49,50to100,1895,12.853307580479619
STAT,50+,20to24,1974,0.0
STAT,45to49,50to100,1896,12.845701748196728
STAT,50+,20to24,1975,0.0
STAT,45to49,50to100,1893,12.851867674983682
STAT,50+,20to24,1976,0.0
STAT,45to49,50to100,1894,12.851935596395064
STAT,50+,20to24,1988,0.0
STAT,25to29,25to29,1858,600.5467712556863
STAT,45to49,50to100,1877,10.622085092439072
STAT,50+,20to24,1989,0.0
STAT,45to49,50to100,1878,11.093796060736018
STAT,25to29,25to29,1857,484.7133420785526
STAT,45to49,50to100,1875,9.402450689111909
STAT,25to29,25to29,1856,347.9548793307931
STAT,45to49,50to100,1876,10.063997872771814
STAT,25to29,25to29,1855,185.84793324585752
STAT,45to49,50to100,1879,11.48773272859079
STAT,50+,50to100,1997,0.0
STAT,50+,50to100,1998,0.0
STAT,50+,50to100,1999,0.0
STAT,25to29,25to29,1859,693.1033006606121
STAT,50+,50to100,1993,0.0
STAT,25to29,50to100,1949,15.178163044136046
STAT,50+,50to100,1994,0.0
STAT,50+,50to100,1995,0.0
STAT,50+,50to100,1996,0.0
STAT,25to29,50to100,1945,15.190127349912053
STAT,50+,50to100,1990,0.0
STAT,25to29,50to100,1946,15.187142099531268
STAT,25to29,50to100,1947,15.184150795019818
STAT,50+,50to100,1991,0.0
STAT,50+,50to100,1992,0.0
STAT,25to29,50to100,1948,15.181156948377655
STAT,50+,20to24,1980,0.0
STAT,45to49,50to100,1880,11.820081621099623
STAT,25to29,25to29,1861,836.6853977485724
STAT,25to29,50to100,1941,15.201984919314144
STAT,50+,20to24,1981,0.0
STAT,25to29,25to29,1860,773.1950813674353
STAT,45to49,50to100,1881,12.081191057912132
STAT,25to29,50to100,1942,15.199038000098021
STAT,50+,20to24,1982,0.0
STAT,25to29,50to100,1943,15.196079862894422
STAT,50+,20to24,1983,0.0
STAT,25to29,50to100,1944,15.193108340976394
STAT,50+,20to24,1984,0.0
STAT,45to49,50to100,1884,12.60709620196014
STAT,50+,20to24,1985,0.0
STAT,45to49,50to100,1885,12.706375872806115
STAT,50+,20to24,1986,0.0
STAT,45to49,50to100,1882,12.305605448783687
STAT,50+,20to24,1987,0.0
STAT,25to29,50to100,1940,15.20491993418558
STAT,45to49,50to100,1883,12.472210753858871
STAT,50+,20to24,1999,0.0
STAT,45to49,50to100,1866,2.23414860095698
STAT,45to49,50to100,1867,2.852203421414139
STAT,25to29,25to29,1889,1015.5513377207333
STAT,45to49,50to100,1864,1.2917770839258287
STAT,45to49,50to100,1865,1.710148040790182
STAT,25to29,25to29,1888,1015.7723415274598
STAT,25to29,25to29,1887,1015.9950582891357
STAT,25to29,25to29,1886,1016.2031053371343
STAT,45to49,50to100,1868,3.5551511712374375
STAT,25to29,25to29,1885,1016.4224603099178
STAT,45to49,50to100,1869,4.3310953676723685
STAT,25to29,25to29,1884,1016.5582490037161
STAT,20to24,20to24,2009,496.38998028629106
STAT,50+,50to100,1986,0.0
STAT,20to24,20to24,2005,496.7747438924245
STAT,50+,50to100,1987,0.0
STAT,20to24,20to24,2006,496.67847380009135
STAT,50+,50to100,1988,0.0
STAT,20to24,20to24,2007,496.5822603346672
STAT,50+,50to100,1989,0.0
STAT,20to24,20to24,2008,496.4860980532871
STAT,50+,50to100,1982,0.0
STAT,20to24,20to24,2012,496.10181865218516
STAT,50+,50to100,1983,0.0
STAT,20to24,20to24,2013,496.0058031453113
STAT,50+,50to100,1984,0.0
STAT,20to24,20to24,2014,495.9097951560467
STAT,50+,50to100,1985,0.0
STAT,20to24,20to24,2015,495.813788936823
STAT,25to29,50to100,1956,15.157421649343823
STAT,25to29,50to100,1957,15.154494864819986
STAT,50+,50to100,1980,0.0
STAT,20to24,20to24,2010,496.2938997324106
