Source,Age,NPCIAP,CIY,Date,freq
SIM,20to24,0+,NO,1961,42696
SIM,20to24,0+,NO,1960,42709
SIM,20to24,0+,NO,1963,42675
SIM,20to24,0+,NO,1962,42682
SIM,20to24,0+,NO,1969,42616
SIM,20to24,0+,NO,1968,42648
SIM,20to24,0+,NO,1965,42660
SIM,20to24,0+,NO,1964,42676
SIM,20to24,0+,NO,1967,42644
SIM,20to24,0+,NO,1966,42661
SIM,20to24,0+,NO,1972,42598
SIM,20to24,0+,NO,1971,42600
SIM,20to24,0+,NO,1974,42562
SIM,20to24,0+,NO,1973,42579
SIM,20to24,0+,NO,1970,42601
SIM,20to24,0+,NO,1979,42522
SIM,20to24,0+,NO,1976,42547
SIM,20to24,0+,NO,1975,42568
SIM,20to24,0+,NO,1978,42532
SIM,20to24,0+,NO,1977,42563
SIM,20to24,0+,NO,1983,42498
SIM,20to24,0+,NO,1982,42485
SIM,20to24,0+,NO,1985,42464
SIM,20to24,0+,NO,1984,42490
SIM,20to24,0+,NO,1981,42525
SIM,20to24,0+,NO,1980,42522
SIM,20to24,0+,NO,1987,42452
SIM,20to24,0+,NO,1986,42455
SIM,20to24,0+,NO,1989,42440
SIM,20to24,0+,NO,1988,42440
SIM,20to24,0+,NO,1994,42388
SIM,20to24,0+,NO,1993,42419
SIM,20to24,0+,NO,1996,42369
SIM,20to24,0+,NO,1995,42398
SIM,20to24,0+,NO,1990,42427
SIM,20to24,0+,NO,1992,42425
SIM,20to24,0+,NO,1991,42430
SIM,20to24,0+,NO,1998,42356
SIM,20to24,0+,NO,1997,42354
SIM,20to24,0+,NO,1999,42353
SIM,20to24,0+,NO,1925,43014
SIM,20to24,0+,NO,1924,43014
SIM,20to24,0+,NO,1927,43000
SIM,20to24,0+,NO,1926,43018
SIM,20to24,0+,NO,1921,43071
SIM,20to24,0+,NO,1920,43079
SIM,20to24,0+,NO,1923,43041
SIM,20to24,0+,NO,1922,43035
SIM,20to24,0+,NO,1918,43088
SIM,20to24,0+,NO,1917,43090
SIM,20to24,0+,NO,1919,43064
SIM,20to24,0+,NO,1930,42983
SIM,20to24,0+,NO,1936,42931
SIM,20to24,0+,NO,1935,42922
SIM,20to24,0+,NO,1938,42909
SIM,20to24,0+,NO,1937,42914
SIM,20to24,0+,NO,1932,42954
SIM,20to24,0+,NO,1931,42978
SIM,20to24,0+,NO,1934,42942
SIM,20to24,0+,NO,1933,42951
SIM,20to24,0+,NO,1929,42972
SIM,20to24,0+,NO,1928,43005
SIM,20to24,0+,NO,1941,42876
SIM,20to24,0+,NO,1940,42892
SIM,20to24,0+,NO,1947,42802
SIM,20to24,0+,NO,1946,42842
SIM,20to24,0+,NO,1949,42792
