Source,Age,NCIY,Date,freq
SIM,-1,0,1904,21
SIM,-1,0,1905,22
SIM,-1,0,1902,25
SIM,-1,0,1903,34
SIM,-1,0,1900,22
SIM,-1,0,1901,38
SIM,-1,0,1908,28
SIM,-1,0,1909,26
SIM,-1,0,1906,20
SIM,-1,0,1907,29
SIM,-1,0,1915,24
SIM,-1,0,1916,25
SIM,-1,0,1913,22
SIM,-1,0,1914,26
SIM,-1,0,1911,25
SIM,-1,0,1912,25
SIM,-1,0,1910,29
STAT,15to49,0,1757,164167.97894694004
STAT,15to49,0,1756,164254.80505297758
STAT,15to49,0,1759,163941.0781819878
STAT,15to49,0,1758,164060.17831155623
STAT,15to49,0,1755,164331.9094998382
STAT,0to14,0,1760,75369.3688540245
STAT,0to14,0,1763,75322.44951175226
STAT,0to14,0,1764,75310.57407010632
STAT,0to14,0,1761,75354.4294660487
STAT,0to14,0,1762,75336.4636642846
STAT,0to14,0,1756,75418.292647484
STAT,0to14,0,1757,75406.12564161792
STAT,0to14,0,1755,70333.0
STAT,0to14,0,1758,75392.78819070905
STAT,0to14,0,1759,75372.84133320974
STAT,0to14,0,1770,75202.8195045132
STAT,0to14,0,1771,75187.9464617748
STAT,0to14,0,1774,75142.60200136797
STAT,0to14,0,1775,75127.73457212817
STAT,0to14,0,1772,75172.76711051684
STAT,0to14,0,1773,75158.00412982414
STAT,0to14,0,1767,75266.16675991536
STAT,0to14,0,1768,75246.13698883512
STAT,0to14,0,1765,75291.0725105838
STAT,0to14,0,1766,75276.06205885428
STAT,0to14,0,1769,75231.32762472713
STAT,0to14,0,1781,75045.95154878047
STAT,0to14,0,1782,75032.89715985136
STAT,0to14,0,1780,75059.47197861683
STAT,0to14,0,1785,74994.05437753427
STAT,0to14,0,1786,74979.96685142416
STAT,0to14,0,1783,75019.9101154535
STAT,0to14,0,1784,75007.08580914534
STAT,0to14,0,1778,75086.44490000131
STAT,0to14,0,1779,75072.79616798159
STAT,0to14,0,1776,75114.02447792131
STAT,0to14,0,1777,75100.19049847464
STAT,0to14,0,1792,74893.33086034407
STAT,0to14,0,1793,74878.22312165286
STAT,0to14,0,1790,74923.75700025517
STAT,0to14,0,1791,74908.53395489817
STAT,0to14,0,1796,74832.37212946445
STAT,0to14,0,1797,74816.87987863466
STAT,0to14,0,1794,74863.07970169232
STAT,0to14,0,1795,74847.8659099477
STAT,0to14,0,1789,74937.86110965187
STAT,0to14,0,1787,74965.94735230769
STAT,0to14,0,1788,74951.90208760861
STAT,0to14,0,1798,74801.35970069014
STAT,0to14,0,1799,74786.05897764926
STAT,15to49,1,1885,9904.882977231806
STAT,15to49,1,1886,9902.968753528061
STAT,15to49,1,1883,9908.710411118576
STAT,15to49,1,1884,9906.796782084792
SIM,-1,0,1988,31
STAT,15to49,1,1889,9897.22179211519
SIM,-1,0,1989,39
SIM,-1,0,1986,30
STAT,15to49,1,1887,9901.053919946338
SIM,-1,0,1987,25
SIM,50+,1,1917,1
STAT,15to49,1,1888,9899.138301187477
SIM,-1,0,1984,27
SIM,-1,0,1985,23
SIM,50+,0,1854,129673
SIM,-1,0,1982,29
SIM,50+,0,1855,129646
SIM,-1,0,1983,26
SIM,50+,0,1856,129609
SIM,-1,0,1980,35
STAT,15to49,1,1881,9912.538592321613
SIM,50+,0,1857,129590
SIM,-1,0,1981,21
STAT,15to49,1,1882,9910.624206831224
SIM,50+,0,1858,129552
SIM,50+,0,1859,129543
STAT,15to49,1,1880,9914.454083186673
SIM,50+,0,1860,129516
SIM,50+,0,1861,129491
SIM,50+,0,1862,129460
STAT,15to49,1,1896,9883.786870465256
STAT,15to49,1,1897,9881.866999846196
STAT,15to49,1,1894,9887.627216077339
STAT,15to49,1,1895,9885.707016658705
SIM,-1,0,1999,20
SIM,-1,0,1997,24
STAT,15to49,1,1898,9879.947675214873
SIM,-1,0,1998,20
SIM,50+,1,1928,1
STAT,15to49,1,1899,9878.029106929964
SIM,50+,0,1863,129427
SIM,-1,0,1995,19
SIM,50+,0,1864,129404
SIM,-1,0,1996,30
SIM,50+,0,1865,129369
SIM,-1,0,1993,24
SIM,50+,0,1866,129339
SIM,-1,0,1994,31
SIM,50+,0,1867,129305
SIM,-1,0,1991,24
STAT,15to49,1,1892,9891.466913173253
SIM,50+,0,1868,129284
SIM,-1,0,1992,21
STAT,15to49,1,1893,9889.547245473575
SIM,50+,0,1869,129266
STAT,15to49,1,1890,9895.304344755454
SIM,-1,0,1990,29
STAT,15to49,1,1891,9893.386015064727
SIM,-1,0,1968,22
SIM,-1,0,1969,33
SIM,-1,0,1966,22
SIM,-1,0,1967,27
SIM,-1,0,1964,28
SIM,50+,1,1939,1
SIM,-1,0,1965,32
SIM,-1,0,1962,23
SIM,-1,0,1963,22
SIM,-1,0,1960,25
SIM,-1,0,1961,23
SIM,-1,0,1979,21
SIM,-1,0,1977,22
SIM,-1,0,1978,28
SIM,-1,0,1975,21
