Source,Age,NPCIAP,CIY,Date,freq
STAT,20to24,0+,YES,1760,2844.037046763315
STAT,20to24,0+,YES,1755,2844.2988000000014
STAT,20to24,0+,YES,1756,2846.176224317998
STAT,20to24,0+,YES,1757,2844.628180115237
STAT,20to24,0+,YES,1758,2844.4288397522387
STAT,20to24,0+,YES,1759,2842.0328695835524
STAT,20to24,0+,YES,1770,2837.514552518208
STAT,20to24,0+,YES,1771,2836.9820987290636
STAT,20to24,0+,YES,1765,2838.151665184762
STAT,20to24,0+,YES,1766,2838.3798122402127
STAT,20to24,0+,YES,1767,2838.422810861065
STAT,20to24,0+,YES,1768,2837.907181228993
STAT,20to24,0+,YES,1761,2840.918330618442
STAT,20to24,0+,YES,1762,2840.8588418521663
STAT,20to24,0+,YES,1763,2839.0505550222715
STAT,20to24,0+,YES,1764,2840.6669194460915
STAT,20to24,0+,YES,1769,2836.3363044118387
STAT,20to24,0+,YES,1798,2821.896512885179
STAT,20to24,0+,YES,1799,2821.43690061487
STAT,20to24,0+,YES,1794,2823.7947741912526
STAT,20to24,0+,YES,1795,2823.309997953928
STAT,20to24,0+,YES,1796,2822.835428882915
STAT,20to24,0+,YES,1797,2822.373578220727
STAT,20to24,0+,YES,1780,2831.7845769500964
STAT,20to24,0+,YES,1781,2831.1787080612544
STAT,20to24,0+,YES,1782,2830.5650834497396
STAT,20to24,0+,YES,1776,2835.1946962770517
STAT,20to24,0+,YES,1777,2835.2955763363548
STAT,20to24,0+,YES,1778,2834.212660786352
STAT,20to24,0+,YES,1779,2833.8109066494712
STAT,20to24,0+,YES,1772,2835.465560584998
STAT,20to24,0+,YES,1773,2835.5604547621247
STAT,20to24,0+,YES,1774,2835.2797515331454
STAT,20to24,0+,YES,1775,2835.7418240031534
STAT,20to24,0+,YES,1790,2825.7800140868126
STAT,20to24,0+,YES,1791,2825.248348296851
STAT,20to24,0+,YES,1792,2824.7517429514082
STAT,20to24,0+,YES,1793,2824.2638727343337
STAT,20to24,0+,YES,1787,2827.536729552036
STAT,20to24,0+,YES,1788,2826.950544164099
STAT,20to24,0+,YES,1789,2826.338940600298
STAT,20to24,0+,YES,1783,2829.9729532475626
STAT,20to24,0+,YES,1784,2829.315489536227
STAT,20to24,0+,YES,1785,2828.6811872391954
STAT,20to24,0+,YES,1786,2828.139507574153
SIM,-1,0+,NO,2013,26
SIM,-1,0+,NO,2012,24
SIM,-1,0+,NO,2014,22
SIM,-1,0+,NO,2011,20
SIM,-1,0+,NO,2010,39
SIM,-1,0+,NO,2002,25
SIM,-1,0+,NO,2001,26
SIM,-1,0+,NO,2004,32
SIM,-1,0+,NO,2003,23
SIM,-1,0+,NO,2006,33
SIM,-1,0+,NO,2005,28
SIM,-1,0+,NO,2008,26
SIM,-1,0+,NO,2007,24
SIM,-1,0+,NO,2000,22
SIM,-1,0+,NO,2009,25
SIM,30to34,0+,YES,1990,1710
SIM,30to34,0+,YES,1996,1711
SIM,30to34,0+,YES,1995,1704
SIM,30to34,0+,YES,1998,1713
SIM,30to34,0+,YES,1997,1703
SIM,30to34,0+,YES,1992,1713
SIM,30to34,0+,YES,1991,1712
SIM,30to34,0+,YES,1994,1710
SIM,30to34,0+,YES,1993,1711
SIM,30to34,0+,YES,1999,1709
SIM,30to34,0+,NO,1854,22990
SIM,30to34,0+,NO,1855,22982
SIM,30to34,0+,NO,1856,22980
SIM,30to34,0+,NO,1857,22966
SIM,30to34,0+,NO,1858,22952
SIM,30to34,0+,NO,1859,22970
SIM,30to34,0+,NO,1863,22954
SIM,30to34,0+,NO,1864,22947
SIM,30to34,0+,NO,1865,22944
SIM,30to34,0+,NO,1866,22942
SIM,30to34,0+,NO,1867,22925
SIM,30to34,0+,NO,1868,22923
SIM,30to34,0+,NO,1869,22913
