Start Time,Reason,Code Version,Inputs Directory,Total Pop,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor
20170809-113532:294,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4202604,true,58804,1y,10y,718269,693833,718119,1/1/1855,1/1/2016,207.173788824,727.103257237,80.335419819,results/bf-search-c/20170809-113532:294,5.0E-5
20170809-115226:899,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4192629,true,58804,1y,10y,718283,693855,718118,1/1/1855,1/1/2016,226.656520215,439.580052825,59.000734871,results/bf-search-c/20170809-115226:899,6.0E-5
20170809-120432:137,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4192546,true,58804,1y,10y,718263,693830,718106,1/1/1855,1/1/2016,184.391472376,443.252061646,63.532716226,results/bf-search-c/20170809-120432:137,7.000000000000001E-5
20170809-121603:313,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4192570,true,58804,1y,10y,718267,693836,718114,1/1/1855,1/1/2016,190.685507678,453.007161546,57.418692919,results/bf-search-c/20170809-121603:313,8.0E-5
20170809-122744:425,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4192582,true,58804,1y,10y,718272,693836,718117,1/1/1855,1/1/2016,184.737847981,443.234649276,58.283799601,results/bf-search-c/20170809-122744:425,9.0E-5
20170809-123910:682,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4193131,true,58804,1y,10y,718397,693955,718237,1/1/1855,1/1/2016,189.312840468,447.52558407,57.028311087,results/bf-search-c/20170809-123910:682,1.0E-4
20170809-125044:560,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4200680,true,58804,1y,10y,719854,696323,719715,1/1/1855,1/1/2016,183.456491306,423.194500837,59.633210455,results/bf-search-c/20170809-125044:560,1.1E-4
20170809-130150:845,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4207542,true,58804,1y,10y,721050,698660,720909,1/1/1855,1/1/2016,184.980618492,863.51820346,59.027713957,results/bf-search-c/20170809-130150:845,1.2E-4
20170809-132018:390,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4213565,true,58804,1y,10y,722167,700621,722031,1/1/1855,1/1/2016,179.664254221,410.709607405,56.216296512,results/bf-search-c/20170809-132018:390,1.3000000000000002E-4
20170809-133104:981,bf-search-c,dev-bf,src/main/resources/scotland_test_population,4219773,true,58804,1y,10y,723291,702693,723154,1/1/1855,1/1/2016,185.317700611,424.477418556,58.867599117,results/bf-search-c/20170809-133104:981,1.4000000000000001E-4
