Table BT.10: Fertility rates1 by council area 1991 to 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Age-specific fertility rates: live births to mothers in each age-group per 1,000 women of that age-group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother's age and Registration Year,Scotland,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,City of Edinburgh1,Clackmannanshire,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,Na h-Eileanan Siar1,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian,Mother's age and Registration Year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 to 192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 to 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,33.3,27.9,21.9,34,33,27.6,40,30.8,39.2,48.9,13.7,30,9.7,34.8,37.1,46.1,30.3,40.5,23.4,35.9,23.9,36.9,35.8,26.2,25.9,27.8,28.4,30.6,37,32.4,27.4,38,34.2,1991
1992,33.1,29.3,21.6,29.6,24.8,24.6,36.4,35.5,41,49,14.7,24.1,10.7,31.6,35.8,47.4,32.6,41.1,30.6,37.6,36.4,39.1,36.9,25.5,28,36.3,23.8,27.9,26.5,30.6,25.9,37.7,31.1,1992
1993,31.2,25.1,18.3,24.2,24.9,23.5,40.3,35,48.3,51.4,12.2,29.7,10.5,32.3,32,45.2,31.6,33.2,33.3,29.4,18,38.8,31.7,24.2,27.4,30.4,17.3,25.5,25.8,28.6,23.3,38.1,36.1,1993
1994,28.5,22.2,19.9,26.3,22.7,23.8,35.9,35.7,40.9,36.5,11.6,28.2,10.7,34.4,29.5,39.6,26.5,32.8,23.4,27,10.6,31.9,32.6,20,19,28.1,23.9,24.4,22,25.4,20.4,39.2,28,1994
1995,28.2,20.3,16.5,31.4,22.1,20.7,34.5,27.4,38.7,38.9,9.4,23.5,10.4,27,27.8,41.6,23.9,36.5,31,23.2,15.8,29.8,32.4,34.7,22.5,32.2,25.4,20.3,32.5,26.4,18.5,37.8,31.8,1995
1996,29.7,22.5,17.4,32,29.1,23.3,32.6,29,38,43.1,18,28.8,17.8,29,30.6,41.7,26.9,42.4,31.5,29.6,16,31.7,35.5,19.1,22.5,29.4,18.6,12.5,32.5,24.7,14.7,39.7,36,1996
1997,31,24.2,20,33.1,21.8,24.3,31.8,34.2,37.8,40.9,13.7,36.2,15.3,32.4,33.5,41.4,29.8,37.3,31.1,26.6,17.2,35.9,36.4,19.5,23.6,29.8,24.6,23.3,37,27.7,20.8,38.2,38.4,1997
