POPULATION	SCOTLAND
SOURCE	ONS
VAR	RATIO_BIRTH
FORM	RATIO
LABELS	YEAR	RATIO
# i.e. if 0.52 then in every 100 births, 52 will be male and 48 female
DATA
1855	0.512099755
1856	0.513047407
1857	0.514026012
1858	0.516199119
1859	0.512731949
1860	0.515095286
1861	0.510293527
1862	0.516087756
1863	0.514226137
1864	0.51074929
1865	0.514902273
1866	0.513429579
1867	0.513108975
1868	0.512682445
1869	0.514503238
1870	0.510954155
1871	0.516920984
1872	0.516086389
1873	0.513508772
1874	0.51411758
1875	0.513295247
1876	0.512265478
1877	0.513231143
1878	0.514305097
1879	0.511779209
1880	0.51204945
1881	0.512954641
1882	0.511303286
1883	0.513257484
1884	0.513940398
1885	0.51183981
1886	0.515364767
1887	0.513125111
1888	0.512123892
1889	0.515568116
1890	0.511717657
1891	0.514096804
1892	0.514670953
1893	0.511446778
1894	0.513456142
1895	0.512269357
1896	0.512603351
1897	0.510696245
1898	0.510572287
1899	0.510796815
1900	0.511008288
1901	0.512534798
1902	0.509892868
1903	0.509919491
1904	0.511255401
1905	0.507952211
1906	0.511048824
1907	0.511494877
1908	0.508716372
1909	0.510806799
1910	0.508983629
1911	0.511070989
1912	0.512509162
1913	0.51000697
1914	0.508125292
1915	0.511398569
1916	0.513643558
1917	0.513243912
1918	0.511120807
1919	0.515404449
1920	0.510589838
1921	0.511968247
1922	0.511152626
1923	0.512341156
1924	0.513741815
1925	0.513035713
1926	0.511103085
1927	0.510116683
1928	0.512115015
1929	0.514308786
1930	0.50840305
1931	0.509347213
1932	0.511857143
1933	0.517262496
1934	0.511211671
1935	0.511384314
1936	0.5096595
1937	0.512868694
1938	0.512789556
1939	0.514157836
1940	0.512015001
1941	0.513705041
1942	0.511614831
1943	0.512026112
1944	0.516253128
1945	0.515093645
1946	0.515807419
1947	0.512695874
1948	0.5168022
1949	0.514068608
1950	0.516826975
1951	0.515219718
1952	0.511689633
1953	0.515360839
1954	0.513611006
1955	0.513578059
1956	0.513581568
1957	0.513896118
1958	0.512841648
1959	0.515118236
1960	0.512755203
1961	0.5136356
1962	0.517022255
1963	0.512888179
1964	0.514551291
1965	0.516958077
1966	0.51557968
1967	0.515760593
1968	0.515730171
1969	0.516779267
1970	0.515692449
1971	0.512717923
1972	0.512794398
1973	0.518886439
1974	0.511092406
1975	0.515387899
1976	0.516233916
1977	0.513185333
1978	0.514176841
1979	0.517084516
1980	0.513775184
1981	0.510947954
1982	0.512281709
1983	0.517164019
1984	0.509077504
1985	0.511728358
1986	0.514708564
1987	0.512824384
1988	0.514408264
1989	0.512035287
1990	0.513816258
1991	0.513532466
1992	0.510875678
1993	0.511138829
1994	0.509261061
1995	0.510432799
1996	0.514756476
1997	0.513391655
1998	0.514593765
1999	0.51219468
2000	0.512397317
2001	0.509947265
2002	0.511371172
2003	0.513159902
2004	0.514650555
2005	0.516364506
2006	0.51127671
2007	0.513905955
2008	0.509152079
2009	0.510872879
2010	0.508104982
2011	0.513927291
2012	0.512054733
2013	0.51465705
2014	0.51222565
2015	0.514610331
2016	0.518205843
2017	0.514840809
2018	0.513214314
