RunFile,Death-P,,Death-Dev,Death-DF,OB-P,OB-Dev,OB-DF,MB-P,MB-Dev,MB-DF,Part-P,Part-Dev,Part-DF,Sep-P,Sep-Dev,Sep-DF,Passed,Time-Taken
20170907-160744:113,1,A,7054.643292,23648,1,697.6750338,-832,1,466.1849686,-206,1,26348.32836,-1628,0,2754.587744,1309,FALSE,3.242
20170907-161151:006,1,A,7077.080431,22837,1,705.0313135,-832,1,473.4972818,-206,1,26345.25191,-1631,0,2754.356353,1310,FALSE,2.935
20170907-161414:914,1,A,7727.829551,23244,1,702.9168963,-832,1,472.1258854,-206,1,26273.21216,-1636,0,2840.570743,1309,FALSE,3.359
20170907-161629:018,1,A,7096.54961,23649,1,703.3496943,-832,1,471.9765629,-206,1,26543.23324,-1651,0,2781.85493,1309,FALSE,3.024
20170907-161840:055,1,A,7093.639783,22427,1,707.3272738,-832,1,476.1856292,-206,1,26425.48371,-1612,0,2895.375588,1310,FALSE,3.242
20170907-162051:147,1,A,7769.650618,23245,1,706.7740381,-832,1,475.5984825,-206,1,26915.48677,-1616,0,2773.602866,1310,FALSE,3.02
20170907-162258:863,1,A,7055.696256,22836,1,704.3196498,-832,1,473.0956943,-206,1,26286.87522,-1626,0,2926.012262,1310,FALSE,3.168
20170907-162506:656,1,A,7738.622178,23654,1,702.973523,-832,1,471.6785067,-206,1,26669.79885,-1630,0,2902.870844,1309,FALSE,3.132
20170907-162715:778,1,A,7056.735392,23243,1,704.2417473,-832,1,473.4422448,-206,1,26514.34734,-1633,0,2841.468811,1310,FALSE,3.063
20170907-162922:172,1,A,7733.8978,22425,1,704.5608635,-832,1,472.5197681,-206,1,26494.6795,-1625,0,2872.870526,1310,FALSE,3.127
20170907-173332:213,1,B,7258.251955,22703,1,688.9405633,-832,1,457.5756923,-206,1,26381.21866,-1603,0,2847.887409,1310,FALSE,2.947
20170907-173750:068,1,B,7847.788841,21469,1,680.0501971,-832,1,449.2346224,-206,1,26735.79776,-1609,0,2863.536015,1310,FALSE,2.882
20170907-174003:203,1,B,7237.991694,20655,1,682.7836486,-832,1,451.5566132,-206,1,26319.07619,-1636,0,2730.06969,1309,FALSE,2.896
20170907-174255:986,1,B,7235.041648,21486,1,681.7438816,-832,1,451.0991421,-206,1,26764.42841,-1642,0,2668.995371,1310,FALSE,2.895
20170907-174526:751,1,B,7877.92488,22712,1,680.4637093,-832,1,449.0516961,-206,1,26538.68627,-1636,0,2729.19772,1310,FALSE,3.501
20170907-174808:666,1,B,6557.919598,20253,1,680.3706857,-832,1,449.2361318,-206,1,26363.77511,-1633,0,2918.063882,1309,FALSE,3.132
20170907-175352:712,1,B,7827.586585,21478,1,678.4095422,-832,1,448.045558,-206,1,26502.15125,-1648,0,2677.826581,1310,FALSE,2.926
20170907-182249:412,1,B,7877.501416,22693,1,682.9318358,-832,1,451.2291804,-206,1,26652.20643,-1626,0,2851.550313,1310,FALSE,2.997
20170907-182538:003,1,B,7210.797842,19065,1,677.2010276,-832,1,445.8541195,-206,1,26655.48829,-1638,0,2933.218275,1310,FALSE,3.179
20170907-182803:698,1,B,7851.355468,21896,1,684.1851499,-832,1,452.8509416,-206,1,26492.55748,-1628,0,2797.449448,1310,FALSE,3.104
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,7340.434491,,,,,,,,,,,,,
,,,,,7478.215993,,,,,,,,,,,,,
