Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180703-145327:197,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4219321,125000,TRUE,58439,1y,10y,882153,1770474,1770474,1/1/1855,01/01/2015,556.1947398,942.5020178,9.21E-06,src/main/resources/valipop/results/batch52-fs/20180703-145327:197,0,0,0.6,0.6,TRUE,147,23623.86218,NONE,0,627.2458918
20180703-145315:419,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4764143,125000,TRUE,58439,1y,10y,997585,2001740,2001740,1/1/1855,01/01/2015,627.2307019,1024.759181,1.65E-05,src/main/resources/valipop/results/batch52-fs/20180703-145315:419,0,0,0.6,0.6,TRUE,147,24703.04693,NONE,7,625.6927887
20180703-152912:428,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4769505,125000,TRUE,58439,1y,10y,997719,2002880,2002880,1/1/1855,01/01/2015,622.2961037,1078.422055,4.40E-06,src/main/resources/valipop/results/batch52-fs/20180703-152912:428,0,0,0.6,0.6,TRUE,147,23707.41186,NONE,4,627.5695234
20180703-153128:800,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4775122,125000,TRUE,58439,1y,10y,999685,2004158,2004158,1/1/1855,01/01/2015,616.9800028,1060.041536,3.58E-06,src/main/resources/valipop/results/batch52-fs/20180703-153128:800,0,0,0.6,0.6,TRUE,147,23621.79982,NONE,4,632.5146624
20180703-160817:264,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4764858,125000,TRUE,58439,1y,10y,996665,1999131,1999131,1/1/1855,01/01/2015,620.3512725,1072.777752,2.54E-06,src/main/resources/valipop/results/batch52-fs/20180703-160817:264,0,0,0.6,0.6,TRUE,147,24048.75005,NONE,4,628.337572
20180703-161013:476,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4755779,125000,TRUE,58439,1y,10y,995310,1996763,1996763,1/1/1855,01/01/2015,607.5141016,1058.619787,3.48E-06,src/main/resources/valipop/results/batch52-fs/20180703-161013:476,0,0,0.6,0.6,TRUE,147,23883.20105,NONE,16,636.0532844
20180703-164850:165,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4738421,125000,TRUE,58439,1y,10y,991985,1988647,1988647,1/1/1855,01/01/2015,601.2724856,1056.619316,4.05E-06,src/main/resources/valipop/results/batch52-fs/20180703-164850:165,0,0,0.6,0.3,TRUE,147,24420.26048,NONE,0,618.4937042
20180703-164714:174,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,5303443,125000,TRUE,58439,1y,10y,1110089,2225803,2225803,1/1/1855,01/01/2015,700.0699092,1174.524469,4.11E-06,src/main/resources/valipop/results/batch52-fs/20180703-164714:174,0,0,0.6,0.3,TRUE,147,26894.59134,NONE,13,642.7519644
20180703-172928:878,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4745120,125000,TRUE,58439,1y,10y,991973,1993253,1993253,1/1/1855,01/01/2015,612.3775341,1059.879305,3.99E-06,src/main/resources/valipop/results/batch52-fs/20180703-172928:878,0,0,0.6,0.3,TRUE,147,24375.38706,NONE,2,615.8057468
20180703-172707:612,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,5311921,125000,TRUE,58439,1y,10y,1110607,2231379,2231379,1/1/1855,01/01/2015,686.0342295,1160.123966,3.22E-06,src/main/resources/valipop/results/batch52-fs/20180703-172707:612,0,0,0.6,0.3,TRUE,147,28381.81182,NONE,6,639.8987927
20180703-180751:752,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4759172,125000,TRUE,58439,1y,10y,995454,1999154,1999154,1/1/1855,01/01/2015,620.0338984,1082.742045,4.95E-06,src/main/resources/valipop/results/batch52-fs/20180703-180751:752,0,0,0.6,0.3,TRUE,147,28099.82496,NONE,39,629.9895405
20180703-180850:083,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4744920,125000,TRUE,58439,1y,10y,993114,1993030,1993030,1/1/1855,01/01/2015,603.9127816,1063.332027,3.79E-06,src/main/resources/valipop/results/batch52-fs/20180703-180850:083,0,0,0.6,0.3,TRUE,147,24717.48486,NONE,13,636.7598272
20180703-184700:699,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4763724,125000,TRUE,58439,1y,10y,996268,2002841,2002841,1/1/1855,01/01/2015,622.0084804,1080.313633,4.49E-06,src/main/resources/valipop/results/batch52-fs/20180703-184700:699,0,0,0.6,1,TRUE,147,34302.89845,NONE,27,617.3146864
20180703-184729:373,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4747275,125000,TRUE,58439,1y,10y,992491,1994662,1994662,1/1/1855,01/01/2015,607.8629766,1069.675081,1.54E-05,src/main/resources/valipop/results/batch52-fs/20180703-184729:373,0,0,0.6,1,TRUE,147,24523.58163,NONE,0,651.053565
20180703-192555:387,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4762556,125000,TRUE,58439,1y,10y,996607,1999683,1999683,1/1/1855,01/01/2015,619.5748828,1067.84607,2.56E-06,src/main/resources/valipop/results/batch52-fs/20180703-192555:387,0,0,0.6,1,TRUE,147,26976.51607,NONE,4,625.5556559
20180703-192633:727,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4754933,125000,TRUE,58439,1y,10y,995516,1995881,1995881,1/1/1855,01/01/2015,614.8707263,1045.257874,5.38E-06,src/main/resources/valipop/results/batch52-fs/20180703-192633:727,0,0,0.6,1,TRUE,147,31620.18665,NONE,32,628.986168
20180703-200458:042,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4741096,125000,TRUE,58439,1y,10y,991381,1990835,1990835,1/1/1855,01/01/2015,615.2401806,1015.529416,5.25E-06,src/main/resources/valipop/results/batch52-fs/20180703-200458:042,0,0,0.6,1,TRUE,147,35106.4911,NONE,2,629.8947646
20180703-200444:632,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,5049522,125000,TRUE,58439,1y,10y,1056685,2119588,2119588,1/1/1855,01/01/2015,666.590712,1114.727783,2.30E-06,src/main/resources/valipop/results/batch52-fs/20180703-200444:632,0,0,0.6,1,TRUE,147,34081.43972,NONE,34,639.6071787
20180703-204307:653,batch52-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,5304082,125000,TRUE,58439,1y,10y,1109701,2226211,2226211,1/1/1855,01/01/2015,688.0651013,2012.057909,5.92E-06,src/main/resources/valipop/results/batch52-fs/20180703-204307:653,0,0,0.6,0,TRUE,147,30488.14807,NONE,49,649.392047
