Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-165839:085,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1056237,31250,TRUE,58439,1y,10y,221365,443051,443051,1/1/1855,01/01/2015,66.35272998,461.7265389,5.34E-06,src/main/resources/valipop/results/batch53-fs/20180706-165839:085,0,0,0.1,0,TRUE,147,7150.063248,NONE,5,383.5183624,,
20180706-170217:845,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,948797,31250,TRUE,58439,1y,10y,205641,390058,390058,1/1/1855,01/01/2015,72.05130113,268.4080142,6.18E-06,src/main/resources/valipop/results/batch53-fs/20180706-170217:845,0,0,0,0.1,TRUE,147,6546.59364,NONE,93,410.3940729,,
20180706-165938:457,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1059481,31250,TRUE,58439,1y,10y,221698,445081,445081,1/1/1855,01/01/2015,70.17786983,488.5627781,6.45E-06,src/main/resources/valipop/results/batch53-fs/20180706-165938:457,0,0,0.1,0,TRUE,147,6724.895872,NONE,60,388.4003718,,
20180706-170245:776,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,972132,31250,TRUE,58439,1y,10y,209583,400944,400944,1/1/1855,01/01/2015,73.52460779,281.7887878,6.07E-06,src/main/resources/valipop/results/batch53-fs/20180706-170245:776,0,0,0,0.1,TRUE,147,6094.55392,NONE,100,412.550638,,
20180706-170008:336,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1061095,31250,TRUE,58439,1y,10y,222239,445365,445365,1/1/1855,01/01/2015,76.06048622,477.234008,6.96E-06,src/main/resources/valipop/results/batch53-fs/20180706-170008:336,0,0,0.1,0,TRUE,147,6994.191192,NONE,5,388.9129756,,
20180706-170351:028,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,952002,31250,TRUE,58439,1y,10y,205493,392826,392826,1/1/1855,01/01/2015,67.5427806,278.5103308,5.67E-06,src/main/resources/valipop/results/batch53-fs/20180706-170351:028,0,0,0,0.1,TRUE,147,6072.7738,NONE,105,404.2268073,,
20180706-170423:670,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,961184,31250,TRUE,58439,1y,10y,207708,396123,396123,1/1/1855,01/01/2015,69.50144515,263.2473852,6.69E-06,src/main/resources/valipop/results/batch53-fs/20180706-170423:670,0,0,0,0.2,TRUE,147,6451.6402,NONE,111,398.2934593,,
20180706-170448:678,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,953684,31250,TRUE,58439,1y,10y,206188,392366,392366,1/1/1855,01/01/2015,69.62613748,264.5344726,6.72E-06,src/main/resources/valipop/results/batch53-fs/20180706-170448:678,0,0,0,0.2,TRUE,147,6647.453728,NONE,63,404.6029774,,
20180706-170518:293,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,958262,31250,TRUE,58439,1y,10y,207517,393765,393765,1/1/1855,01/01/2015,69.62629358,259.9623238,5.82E-06,src/main/resources/valipop/results/batch53-fs/20180706-170518:293,0,0,0,0.2,TRUE,147,6433.565248,NONE,97,402.2187997,,
20180706-170544:589,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,953849,31250,TRUE,58439,1y,10y,206201,391550,391550,1/1/1855,01/01/2015,68.99417773,265.178598,5.18E-06,src/main/resources/valipop/results/batch53-fs/20180706-170544:589,0,0,0,0.2,TRUE,147,7279.574472,NONE,96,397.0675341,,
