Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-190033:564,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191519,31250,TRUE,58439,1y,10y,249241,499739,499739,1/1/1855,01/01/2015,66.82592087,245.680454,1.80E-06,src/main/resources/valipop/results/batch53-fs/20180706-190033:564,0,0,0.6,0.5,TRUE,147,8861.20308,NONE,14,338.9481411,,
20180706-190010:202,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1193087,31250,TRUE,58439,1y,10y,249709,501269,501269,1/1/1855,01/01/2015,79.68033754,278.7276494,1.85E-06,src/main/resources/valipop/results/batch53-fs/20180706-190010:202,0,0,0.3,0.2,TRUE,147,9115.177584,NONE,22,376.4427958,,
20180706-190002:060,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186668,31250,TRUE,58439,1y,10y,248243,498586,498586,1/1/1855,01/01/2015,78.17813852,286.3755718,2.05E-06,src/main/resources/valipop/results/batch53-fs/20180706-190002:060,0,0,0.3,0.1,TRUE,147,9200.592752,NONE,19,380.6995798,,
20180706-190321:403,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1193977,31250,TRUE,58439,1y,10y,249808,501488,501488,1/1/1855,01/01/2015,72.94278092,251.5939726,2.04E-06,src/main/resources/valipop/results/batch53-fs/20180706-190321:403,0,0,0.6,0.5,TRUE,147,8859.59692,NONE,19,341.0337937,,
20180706-190219:299,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186777,31250,TRUE,58439,1y,10y,248418,498368,498368,1/1/1855,01/01/2015,79.13662522,282.0883193,2.00E-06,src/main/resources/valipop/results/batch53-fs/20180706-190219:299,0,0,0.3,0.1,TRUE,147,9058.069992,NONE,19,382.7980064,,
20180706-190032:916,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1324586,31250,TRUE,58439,1y,10y,277060,556032,556032,1/1/1855,01/01/2015,76.52997248,454.091332,1.10E-05,src/main/resources/valipop/results/batch53-fs/20180706-190032:916,0,0,0.4,0,TRUE,147,8266.780624,NONE,2,370.0536199,,
20180706-190615:914,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187799,31250,TRUE,58439,1y,10y,248534,498797,498797,1/1/1855,01/01/2015,73.69365931,261.3800815,1.99E-06,src/main/resources/valipop/results/batch53-fs/20180706-190615:914,0,0,0.6,0.5,TRUE,147,8851.083264,NONE,22,342.6852415,,
20180706-190651:935,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1193948,31250,TRUE,58439,1y,10y,249789,501928,501928,1/1/1855,01/01/2015,75.54364681,252.6923592,1.11E-05,src/main/resources/valipop/results/batch53-fs/20180706-190651:935,0,0,0.6,0.5,TRUE,147,8971.935912,NONE,19,342.6713605,,
20180706-190915:044,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187594,31250,TRUE,58439,1y,10y,248427,498773,498773,1/1/1855,01/01/2015,77.36081457,270.017453,2.00E-06,src/main/resources/valipop/results/batch53-fs/20180706-190915:044,0,0,0.3,0.2,TRUE,147,8963.717672,NONE,20,376.9092506,,
20180706-190647:400,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186221,31250,TRUE,58439,1y,10y,248277,498085,498085,1/1/1855,01/01/2015,78.45513393,450.4430973,2.00E-06,src/main/resources/valipop/results/batch53-fs/20180706-190647:400,0,0,0.4,0,TRUE,147,9172.994232,NONE,0,369.2134923,,
