Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-205509:560,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185365,31250,TRUE,58439,1y,10y,247815,497697,497697,1/1/1855,01/01/2015,74.43958598,259.1235696,2.27E-06,src/main/resources/valipop/results/batch53-fs/20180706-205509:560,0,0,0.6,0.2,TRUE,147,9090.283392,NONE,52,349.1630142,,
20180706-205620:038,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1194723,31250,TRUE,58439,1y,10y,249817,502189,502189,1/1/1855,01/01/2015,71.57464773,264.8813805,1.12E-05,src/main/resources/valipop/results/batch53-fs/20180706-205620:038,0,0,0.6,0.2,TRUE,147,8914.313224,NONE,16,344.0928745,,
20180706-205455:940,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190065,31250,TRUE,58439,1y,10y,249124,500237,500237,1/1/1855,01/01/2015,64.92910321,422.9813993,2.11E-06,src/main/resources/valipop/results/batch53-fs/20180706-205455:940,0,0,0.8,0,TRUE,147,11156.26126,NONE,8,342.891906,,
20180706-205852:906,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189883,31250,TRUE,58439,1y,10y,248976,499395,499395,1/1/1855,01/01/2015,65.55368504,241.5676246,2.08E-06,src/main/resources/valipop/results/batch53-fs/20180706-205852:906,0,0,0.7,0.6,TRUE,147,8872.552512,NONE,21,326.17774,,
20180706-205833:302,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187527,31250,TRUE,58439,1y,10y,248556,498917,498917,1/1/1855,01/01/2015,73.49460709,245.6596991,1.86E-06,src/main/resources/valipop/results/batch53-fs/20180706-205833:302,0,0,0.7,0.5,TRUE,147,9101.403248,NONE,39,337.2230262,,
20180706-205911:259,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186313,31250,TRUE,58439,1y,10y,248094,498146,498146,1/1/1855,01/01/2015,72.48089791,251.6961671,1.75E-06,src/main/resources/valipop/results/batch53-fs/20180706-205911:259,0,0,0.7,0.5,TRUE,147,9168.753872,NONE,20,335.6742566,,
20180706-205822:293,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1307010,31250,TRUE,58439,1y,10y,273420,548855,548855,1/1/1855,01/01/2015,77.356647,283.3978392,2.16E-06,src/main/resources/valipop/results/batch53-fs/20180706-205822:293,0,0,0.6,0.1,TRUE,147,9227.796784,NONE,22,348.8883779,,
20180706-205903:127,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1321511,31250,TRUE,58439,1y,10y,276553,554642,554642,1/1/1855,01/01/2015,83.70269438,275.6463267,1.74E-06,src/main/resources/valipop/results/batch53-fs/20180706-205903:127,0,0,0.6,0.2,TRUE,147,9355.344216,NONE,21,355.3902027,,
20180706-210459:692,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191135,31250,TRUE,58439,1y,10y,249174,499831,499831,1/1/1855,01/01/2015,73.6093879,257.6232358,1.86E-06,src/main/resources/valipop/results/batch53-fs/20180706-210459:692,0,0,0.6,0.2,TRUE,147,10681.73063,NONE,18,337.9744106,,
20180706-210501:262,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1183116,31250,TRUE,58439,1y,10y,247566,496543,496543,1/1/1855,01/01/2015,74.91123449,279.7451931,1.97E-06,src/main/resources/valipop/results/batch53-fs/20180706-210501:262,0,0,0.6,0.1,TRUE,147,8918.930176,NONE,20,353.3887064,,
20180706-210257:241,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1291817,31250,TRUE,58439,1y,10y,270393,542017,542017,1/1/1855,01/01/2015,80.93357299,448.223801,1.91E-06,src/main/resources/valipop/results/batch53-fs/20180706-210257:241,0,0,0.8,0,TRUE,147,9820.952064,NONE,16,346.8062291,,
20180706-210634:619,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189574,31250,TRUE,58439,1y,10y,249090,499118,499118,1/1/1855,01/01/2015,74.41012494,255.026846,2.23E-06,src/main/resources/valipop/results/batch53-fs/20180706-210634:619,0,0,0.6,0.2,TRUE,147,9056.816384,NONE,22,343.5613333,,
20180706-210623:313,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1333348,31250,TRUE,58439,1y,10y,278810,560558,560558,1/1/1855,01/01/2015,80.32388588,265.8715505,1.87E-06,src/main/resources/valipop/results/batch53-fs/20180706-210623:313,0,0,0.7,0.6,TRUE,147,9164.213696,NONE,47,344.9632444,,
20180706-210616:097,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192839,31250,TRUE,58439,1y,10y,249522,500998,500998,1/1/1855,01/01/2015,77.49788483,279.0433181,2.44E-06,src/main/resources/valipop/results/batch53-fs/20180706-210616:097,0,0,0.6,0.1,TRUE,147,11971.56871,NONE,17,350.1257291,,
20180706-210410:897,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1197960,31250,TRUE,58439,1y,10y,250943,502894,502894,1/1/1855,01/01/2015,69.40976078,436.8063655,2.01E-06,src/main/resources/valipop/results/batch53-fs/20180706-210410:897,0,0,0.8,0,TRUE,147,9084.072712,NONE,4,344.6385317,,
20180706-210742:837,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1184301,31250,TRUE,58439,1y,10y,247798,497649,497649,1/1/1855,01/01/2015,71.06341382,252.1521519,2.02E-06,src/main/resources/valipop/results/batch53-fs/20180706-210742:837,0,0,0.6,0.2,TRUE,147,9178.803072,NONE,14,342.5290426,,
20180706-204349:223,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1193239,31250,TRUE,58439,1y,10y,249841,500764,500764,1/1/1855,01/01/2015,169.8904484,1084.505679,2.71E-06,src/main/resources/valipop/results/batch53-fs/20180706-204349:223,0,0,0.4,0,TRUE,147,7263.158632,NONE,34,885.6189563,,
20180706-210928:739,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1322716,31250,TRUE,58439,1y,10y,276780,555717,555717,1/1/1855,01/01/2015,71.88747514,257.1360802,2.26E-06,src/main/resources/valipop/results/batch53-fs/20180706-210928:739,0,0,0.7,0.6,TRUE,147,9043.369968,NONE,43,335.9295742,,
20180706-210932:196,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1327036,31250,TRUE,58439,1y,10y,277483,557480,557480,1/1/1855,01/01/2015,82.61065013,262.0162168,2.38E-06,src/main/resources/valipop/results/batch53-fs/20180706-210932:196,0,0,0.7,0.6,TRUE,147,9788.88352,NONE,83,351.4037275,,
20180706-211013:615,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187802,31250,TRUE,58439,1y,10y,248378,498882,498882,1/1/1855,01/01/2015,73.27385266,255.0835007,2.38E-06,src/main/resources/valipop/results/batch53-fs/20180706-211013:615,0,0,0.7,0.6,TRUE,147,9601.719056,NONE,17,337.7871718,,
20180706-211014:423,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1196373,31250,TRUE,58439,1y,10y,250578,502113,502113,1/1/1855,01/01/2015,70.77918635,265.7279419,1.96E-06,src/main/resources/valipop/results/batch53-fs/20180706-211014:423,0,0,0.6,0.1,TRUE,147,9245.273304,NONE,21,341.1300456,,
20180706-210849:216,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191198,31250,TRUE,58439,1y,10y,249005,500471,500471,1/1/1855,01/01/2015,65.35111406,418.9323721,1.78E-06,src/main/resources/valipop/results/batch53-fs/20180706-210849:216,0,0,0.8,0,TRUE,147,9708.605944,NONE,3,337.3889841,,
20180706-211100:369,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1323150,31250,TRUE,58439,1y,10y,276501,555013,555013,1/1/1855,01/01/2015,83.89715557,276.8100962,2.43E-06,src/main/resources/valipop/results/batch53-fs/20180706-211100:369,0,0,0.6,0.2,TRUE,147,9253.264592,NONE,19,355.978776,,
20180706-211611:414,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187208,31250,TRUE,58439,1y,10y,248405,498258,498258,1/1/1855,01/01/2015,72.28023353,242.7893915,2.47E-06,src/main/resources/valipop/results/batch53-fs/20180706-211611:414,0,0,0.7,0.2,TRUE,147,10071.8307,NONE,22,329.1476262,,
