Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-234354:251,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1198639,31250,TRUE,58439,1y,10y,250785,503020,503020,1/1/1855,01/01/2015,169.9629211,1081.260462,2.46E-06,src/main/resources/valipop/results/batch53-fs/20180706-234354:251,0,0,0.5,0,TRUE,147,8404.873872,NONE,1,860.7623554,,
20180706-235757:314,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189139,31250,TRUE,58439,1y,10y,248848,499171,499171,1/1/1855,01/01/2015,173.951658,593.3174781,2.54E-06,src/main/resources/valipop/results/batch53-fs/20180706-235757:314,0,0,0.4,0.1,TRUE,147,9018.281832,NONE,16,885.0824468,,
20180707-002533:829,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187585,31250,TRUE,58439,1y,10y,248524,498689,498689,1/1/1855,01/01/2015,171.4878768,590.1663325,2.62E-06,src/main/resources/valipop/results/batch53-fs/20180707-002533:829,0,0,0.5,0.1,TRUE,147,9174.441976,NONE,28,857.8663391,,
20180707-001910:306,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192351,31250,TRUE,58439,1y,10y,249467,500823,500823,1/1/1855,01/01/2015,164.7107179,1071.601125,2.55E-06,src/main/resources/valipop/results/batch53-fs/20180707-001910:306,0,0,0.7,0,TRUE,147,8178.830832,NONE,59,849.3321347,,
20180707-005237:522,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1184965,31250,TRUE,58439,1y,10y,247888,497840,497840,1/1/1855,01/01/2015,171.2627981,596.6899633,2.68E-06,src/main/resources/valipop/results/batch53-fs/20180707-005237:522,0,0,0.5,0.1,TRUE,147,8992.582256,NONE,21,865.8270076,,
20180707-005359:904,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1325739,31250,TRUE,58439,1y,10y,277618,556319,556319,1/1/1855,01/01/2015,182.1107325,1080.643611,2.86E-06,src/main/resources/valipop/results/batch53-fs/20180707-005359:904,0,0,0.7,0,TRUE,147,8737.547704,NONE,2,874.0254154,,
20180707-011955:447,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189044,31250,TRUE,58439,1y,10y,248930,498934,498934,1/1/1855,01/01/2015,171.7720583,610.9910943,2.85E-06,src/main/resources/valipop/results/batch53-fs/20180707-011955:447,0,0,0.5,0.1,TRUE,147,9332.875704,NONE,22,872.767659,,
20180707-012941:379,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1070152,31250,TRUE,58439,1y,10y,223856,449243,449243,1/1/1855,01/01/2015,148.7771582,1022.982892,2.44E-06,src/main/resources/valipop/results/batch53-fs/20180707-012941:379,0,0,0.7,0,TRUE,147,8720.970272,NONE,8,807.3720287,,
20180707-014735:123,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185837,31250,TRUE,58439,1y,10y,248236,498333,498333,1/1/1855,01/01/2015,168.6190024,603.0732788,2.40E-06,src/main/resources/valipop/results/batch53-fs/20180707-014735:123,0,0,0.6,0.1,TRUE,147,11082.29863,NONE,15,848.976687,,
20180707-020244:566,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188170,31250,TRUE,58439,1y,10y,248571,498875,498875,1/1/1855,01/01/2015,162.1539979,1046.529539,2.65E-06,src/main/resources/valipop/results/batch53-fs/20180707-020244:566,0,0,0.8,0,TRUE,147,8554.58776,NONE,8,823.4947845,,
