Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-202713:020,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192274,31250,TRUE,58439,1y,10y,249688,500851,500851,1/1/1855,01/01/2015,66.15674804,431.0798791,1.70E-06,src/main/resources/valipop/results/batch53-fs/20180706-202713:020,0,0,0.7,0,TRUE,147,9153.765784,NONE,17,352.541271,,
20180706-202914:009,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1325735,31250,TRUE,58439,1y,10y,277589,556965,556965,1/1/1855,01/01/2015,86.39075905,305.0753633,1.98E-06,src/main/resources/valipop/results/batch53-fs/20180706-202914:009,0,0,0.5,0.1,TRUE,147,10007.05862,NONE,17,382.4129952,,
20180706-203141:647,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1193079,31250,TRUE,58439,1y,10y,249504,500838,500838,1/1/1855,01/01/2015,74.6909627,254.5968994,2.01E-06,src/main/resources/valipop/results/batch53-fs/20180706-203141:647,0,0,0.5,0.2,TRUE,147,9130.079928,NONE,22,352.4823233,,
20180706-200652:788,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187308,31250,TRUE,58439,1y,10y,248682,498406,498406,1/1/1855,01/01/2015,175.8091599,1089.225966,2.41E-06,src/main/resources/valipop/results/batch53-fs/20180706-200652:788,0,0,0.2,0,TRUE,147,8804.070976,NONE,67,945.2837535,,
20180706-203236:879,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189707,31250,TRUE,58439,1y,10y,249008,499563,499563,1/1/1855,01/01/2015,75.54000246,251.9192856,2.27E-06,src/main/resources/valipop/results/batch53-fs/20180706-203236:879,0,0,0.5,0.2,TRUE,147,8977.28032,NONE,23,353.1696686,,
20180706-203337:012,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1195987,31250,TRUE,58439,1y,10y,250252,502165,502165,1/1/1855,01/01/2015,71.66890382,249.1684054,1.10E-05,src/main/resources/valipop/results/batch53-fs/20180706-203337:012,0,0,0.7,0.5,TRUE,147,8917.066968,NONE,17,337.06933,,
20180706-203347:995,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1191480,31250,TRUE,58439,1y,10y,249285,500729,500729,1/1/1855,01/01/2015,72.49574687,256.2008641,2.18E-06,src/main/resources/valipop/results/batch53-fs/20180706-203347:995,0,0,0.5,0.2,TRUE,147,8980.52312,NONE,23,351.4616891,,
20180706-203434:391,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1322880,31250,TRUE,58439,1y,10y,276733,555707,555707,1/1/1855,01/01/2015,80.42190793,285.8797997,2.09E-06,src/main/resources/valipop/results/batch53-fs/20180706-203434:391,0,0,0.5,0.1,TRUE,147,9225.051216,NONE,22,361.5513807,,
20180706-203602:322,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188442,31250,TRUE,58439,1y,10y,248794,498715,498715,1/1/1855,01/01/2015,73.52737407,243.5807972,2.33E-06,src/main/resources/valipop/results/batch53-fs/20180706-203602:322,0,0,0.7,0.5,TRUE,147,9098.349328,NONE,20,337.5922898,,
20180706-203552:641,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192441,31250,TRUE,58439,1y,10y,249652,500682,500682,1/1/1855,01/01/2015,77.0293781,260.4404902,2.19E-06,src/main/resources/valipop/results/batch53-fs/20180706-203552:641,0,0,0.5,0.2,TRUE,147,9081.888824,NONE,22,352.4087904,,
20180706-203632:128,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189331,31250,TRUE,58439,1y,10y,248960,499038,499038,1/1/1855,01/01/2015,72.91638113,253.3243671,1.91E-06,src/main/resources/valipop/results/batch53-fs/20180706-203632:128,0,0,0.7,0.5,TRUE,147,8963.795288,NONE,40,330.5057437,,
20180706-203736:775,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1204425,31250,TRUE,58439,1y,10y,252253,505750,505750,1/1/1855,01/01/2015,66.07989412,241.9415989,1.92E-06,src/main/resources/valipop/results/batch53-fs/20180706-203736:775,0,0,0.7,0.5,TRUE,147,8985.722264,NONE,22,332.7674061,,
20180706-203415:757,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189664,31250,TRUE,58439,1y,10y,248950,499157,499157,1/1/1855,01/01/2015,75.68182037,430.1081401,1.93E-06,src/main/resources/valipop/results/batch53-fs/20180706-203415:757,0,0,0.7,0,TRUE,147,9175.49424,NONE,25,351.438309,,
20180706-203442:618,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1332558,31250,TRUE,58439,1y,10y,278936,559867,559867,1/1/1855,01/01/2015,78.00256872,460.0948024,1.62E-06,src/main/resources/valipop/results/batch53-fs/20180706-203442:618,0,0,0.7,0,TRUE,147,9252.412904,NONE,0,361.3783316,,
20180706-204044:457,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1252562,31250,TRUE,58439,1y,10y,262206,525631,525631,1/1/1855,01/01/2015,80.5621554,289.5617911,1.79E-06,src/main/resources/valipop/results/batch53-fs/20180706-204044:457,0,0,0.5,0.1,TRUE,147,9371.151,NONE,18,367.1944949,,
20180706-204305:718,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1054428,31250,TRUE,58439,1y,10y,220626,443296,443296,1/1/1855,01/01/2015,66.19460652,239.1028912,2.32E-06,src/main/resources/valipop/results/batch53-fs/20180706-204305:718,0,0,0.6,0.2,TRUE,147,8801.97456,NONE,51,330.3645092,,
20180706-204210:455,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192223,31250,TRUE,58439,1y,10y,249408,500726,500726,1/1/1855,01/01/2015,77.76703346,280.8397843,2.55E-06,src/main/resources/valipop/results/batch53-fs/20180706-204210:455,0,0,0.5,0.1,TRUE,147,10229.21406,NONE,16,384.8416476,,
20180706-204125:194,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189344,31250,TRUE,58439,1y,10y,248871,499558,499558,1/1/1855,01/01/2015,64.48365996,411.0563852,1.96E-06,src/main/resources/valipop/results/batch53-fs/20180706-204125:194,0,0,0.8,0,TRUE,147,10130.49377,NONE,17,332.8933498,,
20180706-204359:842,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187631,31250,TRUE,58439,1y,10y,248481,498706,498706,1/1/1855,01/01/2015,74.08564249,250.7337941,2.20E-06,src/main/resources/valipop/results/batch53-fs/20180706-204359:842,0,0,0.6,0.2,TRUE,147,9087.852992,NONE,16,342.624959,,
20180706-204437:290,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1195979,31250,TRUE,58439,1y,10y,250274,502418,502418,1/1/1855,01/01/2015,71.3798451,251.8520137,2.10E-06,src/main/resources/valipop/results/batch53-fs/20180706-204437:290,0,0,0.7,0.5,TRUE,147,9116.54148,NONE,19,327.1620958,,
