Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180704-121725:197,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,254023,7812,TRUE,58439,1y,10y,55914,103888,103888,1/1/1855,01/01/2015,83.19364465,554.6187462,7.56E-06,src/main/resources/valipop/results/batch54-fs/20180704-121725:197,0,0,0,0.3,TRUE,147,4985.132088,NONE,6,721.5769394
20180704-121820:889,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,263742,7812,TRUE,58439,1y,10y,57447,108436,108436,1/1/1855,01/01/2015,67.75115591,501.9975425,1.27E-05,src/main/resources/valipop/results/batch54-fs/20180704-121820:889,0,0,0,0.3,TRUE,147,4792.16948,NONE,5,734.1482981
20180704-123436:312,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595144,15625,TRUE,58439,1y,10y,124636,249786,249786,1/1/1855,01/01/2015,36.90072316,179.9563314,2.28E-06,src/main/resources/valipop/results/batch54-fs/20180704-123436:312,0,0,0.8,0.2,TRUE,147,7743.581648,NONE,4,269.6553796
20180704-123442:472,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,591194,15625,TRUE,58439,1y,10y,123596,248164,248164,1/1/1855,01/01/2015,35.51863924,183.1111194,2.04E-06,src/main/resources/valipop/results/batch54-fs/20180704-123442:472,0,0,0.8,0.2,TRUE,147,7631.576584,NONE,13,269.1208155
20180704-123407:938,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,597035,15625,TRUE,58439,1y,10y,124917,250549,250549,1/1/1855,01/01/2015,38.59655099,190.5523051,1.93E-06,src/main/resources/valipop/results/batch54-fs/20180704-123407:938,0,0,0.2,0.2,TRUE,147,7961.924208,NONE,33,313.17345
20180704-123433:107,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,588341,15625,TRUE,58439,1y,10y,123224,246941,246941,1/1/1855,01/01/2015,41.21722558,187.9922734,2.27E-06,src/main/resources/valipop/results/batch54-fs/20180704-123433:107,0,0,0.2,0.2,TRUE,147,8179.053744,NONE,34,311.9810623
20180704-123541:927,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594075,15625,TRUE,58439,1y,10y,124299,249249,249249,1/1/1855,01/01/2015,37.42076183,176.9028486,2.02E-06,src/main/resources/valipop/results/batch54-fs/20180704-123541:927,0,0,0.8,0.2,TRUE,147,7669.291704,NONE,17,260.0758546
20180704-122610:875,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,273868,7812,TRUE,58439,1y,10y,60364,111819,111819,1/1/1855,01/01/2015,125.1699825,482.2148408,3.15E-06,src/main/resources/valipop/results/batch54-fs/20180704-122610:875,0,0,0,1,TRUE,147,4770.928328,NONE,10,445.9772632
20180704-122849:285,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,259131,7812,TRUE,58439,1y,10y,57165,105565,105565,1/1/1855,01/01/2015,82.17831803,327.4250739,2.05E-06,src/main/resources/valipop/results/batch54-fs/20180704-122849:285,0,0,0,1,TRUE,147,4785.960456,NONE,12,416.3854311
20180704-123530:196,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,645268,15625,TRUE,58439,1y,10y,135087,270730,270730,1/1/1855,01/01/2015,39.18785527,190.2485269,1.97E-06,src/main/resources/valipop/results/batch54-fs/20180704-123530:196,0,0,0.8,0.2,TRUE,147,7658.336736,NONE,14,276.7822242
