Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180704-161519:518,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,296227,7812,TRUE,58439,1y,10y,61895,124425,124425,1/1/1855,01/01/2015,149.1859861,197.9431627,2.08E-06,src/main/resources/valipop/results/batch54-fs/20180704-161519:518,0,0,1,0.3,TRUE,147,5030.160592,NONE,14,253.2455365
20180704-160044:125,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,310593,7812,TRUE,58439,1y,10y,65002,130428,130428,1/1/1855,01/01/2015,269.0732593,672.25941,3.17E-06,src/main/resources/valipop/results/batch54-fs/20180704-160044:125,0,0,0.6,0.6,TRUE,147,5152.687016,NONE,6,659.5398124
20180704-162119:615,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,297891,7812,TRUE,58439,1y,10y,62354,125004,125004,1/1/1855,01/01/2015,29.92545946,252.4644494,2.05E-06,src/main/resources/valipop/results/batch54-fs/20180704-162119:615,0,0,1,0,TRUE,147,5063.87316,NONE,2,238.8653117
20180704-145156:591,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,326802,7812,TRUE,58439,1y,10y,68362,137166,137166,1/1/1855,01/01/2015,97.05289496,5574.159313,0.008995598,src/main/resources/valipop/results/batch54-fs/20180704-145156:591,0,0,0.6,0.6,TRUE,147,5130.951472,NONE,0,269.4630388
20180704-162525:154,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,344250,7812,TRUE,58439,1y,10y,72139,144388,144388,1/1/1855,01/01/2015,27.59710262,153.543974,2.77E-06,src/main/resources/valipop/results/batch54-fs/20180704-162525:154,0,0,1,0.6,TRUE,147,5056.62912,NONE,47,245.3147615
20180704-160245:277,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,297323,7812,TRUE,58439,1y,10y,62182,124990,124990,1/1/1855,01/01/2015,1024.628505,428.9641802,1.95E-06,src/main/resources/valipop/results/batch54-fs/20180704-160245:277,0,0,1,0,TRUE,147,5079.927328,NONE,88,232.1779898
20180704-163001:763,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,335944,7812,TRUE,58439,1y,10y,70279,141008,141008,1/1/1855,01/01/2015,26.03999027,161.4162384,2.53E-06,src/main/resources/valipop/results/batch54-fs/20180704-163001:763,0,0,1,0.3,TRUE,147,4731.912872,NONE,0,251.5562827
20180704-161616:506,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,317277,7812,TRUE,58439,1y,10y,66384,133152,133152,1/1/1855,01/01/2015,216.4088507,454.4709763,2.72E-06,src/main/resources/valipop/results/batch54-fs/20180704-161616:506,0,0,0.6,0.6,TRUE,147,5173.548632,NONE,0,638.8511448
20180704-163233:224,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,303495,7812,TRUE,58439,1y,10y,63506,127607,127607,1/1/1855,01/01/2015,24.14023726,149.6886501,2.47E-06,src/main/resources/valipop/results/batch54-fs/20180704-163233:224,0,0,1,1,TRUE,147,4784.240672,NONE,2,241.0789963
20180704-163240:914,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,330122,7812,TRUE,58439,1y,10y,69076,138611,138611,1/1/1855,01/01/2015,25.69317359,161.4730523,1.91E-06,src/main/resources/valipop/results/batch54-fs/20180704-163240:914,0,0,1,0.3,TRUE,147,5058.655664,NONE,15,237.2684955
