Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180705-153128:249,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595908,15625,TRUE,58439,1y,10y,124612,250168,250168,1/1/1855,01/01/2015,41.95756462,343.8736132,2.35E-06,src/main/resources/valipop/results/batch54-fs/20180705-153128:249,0,0,0.6,0,TRUE,147,6037.126232,NONE,26,318.6192757
20180705-153051:604,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,660862,15625,TRUE,58439,1y,10y,138205,277480,277480,1/1/1855,01/01/2015,45.29009938,353.0888076,2.27E-06,src/main/resources/valipop/results/batch54-fs/20180705-153051:604,0,0,0.6,0,TRUE,147,5836.077448,NONE,12,353.3909374
20180705-153105:927,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596385,15625,TRUE,58439,1y,10y,124696,250286,250286,1/1/1855,01/01/2015,44.03354543,345.2757583,2.19E-06,src/main/resources/valipop/results/batch54-fs/20180705-153105:927,0,0,0.6,0,TRUE,147,5899.2762,NONE,13,351.3514274
20180705-153155:075,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594531,15625,TRUE,58439,1y,10y,124448,249418,249418,1/1/1855,01/01/2015,39.67327782,331.8040052,2.83E-06,src/main/resources/valipop/results/batch54-fs/20180705-153155:075,0,0,0.6,0,TRUE,147,5954.019472,NONE,31,322.8537528
20180705-153201:075,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595403,15625,TRUE,58439,1y,10y,124588,250030,250030,1/1/1855,01/01/2015,43.43923012,335.1508837,2.10E-06,src/main/resources/valipop/results/batch54-fs/20180705-153201:075,0,0,0.6,0,TRUE,147,5948.552688,NONE,10,312.317154
20180705-153156:538,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,621670,15625,TRUE,58439,1y,10y,130101,260866,260866,1/1/1855,01/01/2015,44.17463507,327.7293544,2.26E-06,src/main/resources/valipop/results/batch54-fs/20180705-153156:538,0,0,0.6,0,TRUE,147,6047.64316,NONE,17,327.3281688
20180705-153143:621,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,662607,15625,TRUE,58439,1y,10y,138676,278130,278130,1/1/1855,01/01/2015,43.01493467,339.6306407,2.64E-06,src/main/resources/valipop/results/batch54-fs/20180705-153143:621,0,0,0.6,0,TRUE,147,6011.742296,NONE,21,332.9598737
20180705-152450:886,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594670,15625,TRUE,58439,1y,10y,124459,249633,249633,1/1/1855,01/01/2015,88.35486621,474.8681558,3.51E-06,src/main/resources/valipop/results/batch54-fs/20180705-152450:886,0,0,0.4,0.4,TRUE,147,5496.697032,NONE,48,757.2723285
20180705-152549:718,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593697,15625,TRUE,58439,1y,10y,124201,249369,249369,1/1/1855,01/01/2015,92.00038088,467.0716044,2.73E-06,src/main/resources/valipop/results/batch54-fs/20180705-152549:718,0,0,0.4,0.4,TRUE,147,5534.462744,NONE,25,768.5395193
20180705-153840:482,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,664105,15625,TRUE,58439,1y,10y,138854,278645,278645,1/1/1855,01/01/2015,39.01786028,209.0689094,2.10E-06,src/main/resources/valipop/results/batch54-fs/20180705-153840:482,0,0,0.6,0.1,TRUE,147,5818.841024,NONE,32,326.5500332
20180705-154038:428,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595153,15625,TRUE,58439,1y,10y,124672,250100,250100,1/1/1855,01/01/2015,40.74521261,205.5363124,2.09E-06,src/main/resources/valipop/results/batch54-fs/20180705-154038:428,0,0,0.6,0.1,TRUE,147,5819.070408,NONE,16,305.7378133
20180705-154128:426,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,646262,15625,TRUE,58439,1y,10y,135219,271133,271133,1/1/1855,01/01/2015,49.72916023,212.6892332,2.55E-06,src/main/resources/valipop/results/batch54-fs/20180705-154128:426,0,0,0.6,0.1,TRUE,147,5818.255624,NONE,97,331.7743795
20180705-154313:938,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596186,15625,TRUE,58439,1y,10y,124778,250441,250441,1/1/1855,01/01/2015,43.27499085,209.0086595,2.11E-06,src/main/resources/valipop/results/batch54-fs/20180705-154313:938,0,0,0.6,0.1,TRUE,147,5880.658144,NONE,94,310.6661988
20180705-154327:833,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594371,15625,TRUE,58439,1y,10y,124336,249555,249555,1/1/1855,01/01/2015,60.25465053,201.1215505,2.77E-06,src/main/resources/valipop/results/batch54-fs/20180705-154327:833,0,0,0.6,0.1,TRUE,147,5852.123544,NONE,27,322.2852876
20180705-154324:971,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595694,15625,TRUE,58439,1y,10y,124798,250299,250299,1/1/1855,01/01/2015,53.16104421,206.28936,2.55E-06,src/main/resources/valipop/results/batch54-fs/20180705-154324:971,0,0,0.6,0.1,TRUE,147,5971.459648,NONE,59,328.2510117
20180705-154330:813,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593485,15625,TRUE,58439,1y,10y,124173,249279,249279,1/1/1855,01/01/2015,45.01334779,217.3527802,2.56E-06,src/main/resources/valipop/results/batch54-fs/20180705-154330:813,0,0,0.6,0.1,TRUE,147,5910.757376,NONE,62,321.9420832
20180705-154340:714,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594168,15625,TRUE,58439,1y,10y,124373,249547,249547,1/1/1855,01/01/2015,51.39428032,193.2467189,2.93E-06,src/main/resources/valipop/results/batch54-fs/20180705-154340:714,0,0,0.6,0.1,TRUE,147,5986.263648,NONE,31,320.0520867
20180705-154337:149,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593584,15625,TRUE,58439,1y,10y,124247,249257,249257,1/1/1855,01/01/2015,62.77255671,204.4375444,2.23E-06,src/main/resources/valipop/results/batch54-fs/20180705-154337:149,0,0,0.6,0.1,TRUE,147,5959.469824,NONE,23,314.9694544
20180705-154333:213,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,597310,15625,TRUE,58439,1y,10y,124957,250608,250608,1/1/1855,01/01/2015,55.46660179,226.6231049,1.69E-06,src/main/resources/valipop/results/batch54-fs/20180705-154333:213,0,0,0.6,0.1,TRUE,147,5961.886592,NONE,96,310.2965526
20180705-154820:039,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596921,15625,TRUE,58439,1y,10y,124960,250291,250291,1/1/1855,01/01/2015,44.32146136,193.1369086,2.31E-06,src/main/resources/valipop/results/batch54-fs/20180705-154820:039,0,0,0.6,0.2,TRUE,147,6037.454184,NONE,20,340.7819504
20180705-154951:645,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595205,15625,TRUE,58439,1y,10y,124597,249881,249881,1/1/1855,01/01/2015,51.30098387,220.3567138,2.33E-06,src/main/resources/valipop/results/batch54-fs/20180705-154951:645,0,0,0.6,0.2,TRUE,147,5964.90388,NONE,12,309.2706538
20180705-155124:324,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594909,15625,TRUE,58439,1y,10y,124594,249412,249412,1/1/1855,01/01/2015,44.43049972,211.2221658,1.88E-06,src/main/resources/valipop/results/batch54-fs/20180705-155124:324,0,0,0.6,0.2,TRUE,147,5933.863296,NONE,30,320.388474
20180705-155238:226,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,652652,15625,TRUE,58439,1y,10y,136518,273984,273984,1/1/1855,01/01/2015,49.37614826,209.7369796,5.03E-06,src/main/resources/valipop/results/batch54-fs/20180705-155238:226,0,0,0.6,0.2,TRUE,147,6066.334648,NONE,25,324.2621478
20180705-155321:219,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594602,15625,TRUE,58439,1y,10y,124508,249561,249561,1/1/1855,01/01/2015,43.54226609,196.5151575,2.31E-06,src/main/resources/valipop/results/batch54-fs/20180705-155321:219,0,0,0.6,0.2,TRUE,147,5996.013,NONE,14,320.8332761
20180705-155317:571,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,591893,15625,TRUE,58439,1y,10y,123806,248625,248625,1/1/1855,01/01/2015,41.29495599,192.2732716,1.22E-05,src/main/resources/valipop/results/batch54-fs/20180705-155317:571,0,0,0.6,0.2,TRUE,147,5938.281136,NONE,52,331.1589009
20180705-155316:757,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,631128,15625,TRUE,58439,1y,10y,132092,265270,265270,1/1/1855,01/01/2015,43.03083942,205.5271399,2.57E-06,src/main/resources/valipop/results/batch54-fs/20180705-155316:757,0,0,0.6,0.2,TRUE,147,6056.674144,NONE,26,326.4840795
20180705-155326:955,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593900,15625,TRUE,58439,1y,10y,124214,249400,249400,1/1/1855,01/01/2015,47.10370619,210.8363645,2.10E-06,src/main/resources/valipop/results/batch54-fs/20180705-155326:955,0,0,0.6,0.2,TRUE,147,5751.443576,NONE,7,314.1925175
20180705-155314:416,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595549,15625,TRUE,58439,1y,10y,124699,250069,250069,1/1/1855,01/01/2015,58.91249565,224.1668704,1.64E-06,src/main/resources/valipop/results/batch54-fs/20180705-155314:416,0,0,0.6,0.2,TRUE,147,5965.569112,NONE,43,327.2338516
20180705-155313:224,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592183,15625,TRUE,58439,1y,10y,124060,248755,248755,1/1/1855,01/01/2015,55.97208135,226.2094912,2.75E-06,src/main/resources/valipop/results/batch54-fs/20180705-155313:224,0,0,0.6,0.2,TRUE,147,5971.152848,NONE,33,330.5396451
20180705-155759:864,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,614897,15625,TRUE,58439,1y,10y,128575,258337,258337,1/1/1855,01/01/2015,38.75532792,184.680205,2.13E-06,src/main/resources/valipop/results/batch54-fs/20180705-155759:864,0,0,0.6,0.3,TRUE,147,5902.721664,NONE,25,326.6576191
