Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180706-130023:379,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,661976,15625,TRUE,58439,1y,10y,138525,278062,278062,1/1/1855,01/01/2015,52.39776953,243.5058825,2.36E-06,src/main/resources/valipop/results/batch54-fs/20180706-130023:379,0,0,0.45,0.15,TRUE,147,5573.071008,NONE,51,339.9706689
20180706-130107:340,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,647457,15625,TRUE,58439,1y,10y,135475,272130,272130,1/1/1855,01/01/2015,71.25561344,229.9497576,2.44E-06,src/main/resources/valipop/results/batch54-fs/20180706-130107:340,0,0,0.45,0.15,TRUE,147,5663.63696,NONE,88,346.6874382
20180706-130041:358,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593525,15625,TRUE,58439,1y,10y,124147,249043,249043,1/1/1855,01/01/2015,50.5766486,268.0288222,2.40E-06,src/main/resources/valipop/results/batch54-fs/20180706-130041:358,0,0,0.2,0.05,TRUE,147,5709.492032,NONE,96,366.6836611
20180706-130038:456,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596780,15625,TRUE,58439,1y,10y,124915,250675,250675,1/1/1855,01/01/2015,50.64804792,273.5051219,2.40E-06,src/main/resources/valipop/results/batch54-fs/20180706-130038:456,0,0,0.2,0.05,TRUE,147,5497.1866,NONE,81,364.8956611
20180706-130222:105,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595163,15625,TRUE,58439,1y,10y,124586,249836,249836,1/1/1855,01/01/2015,46.41640416,220.2391584,1.64E-06,src/main/resources/valipop/results/batch54-fs/20180706-130222:105,0,0,0.3,0.2,TRUE,147,5681.458184,NONE,14,329.4043596
20180706-130554:473,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594866,15625,TRUE,58439,1y,10y,124429,249867,249867,1/1/1855,01/01/2015,46.11390644,219.4514737,2.36E-06,src/main/resources/valipop/results/batch54-fs/20180706-130554:473,0,0,0.3,0.2,TRUE,147,5581.40292,NONE,26,344.3131449
20180706-130616:322,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593165,15625,TRUE,58439,1y,10y,124115,249014,249014,1/1/1855,01/01/2015,43.54001356,221.8254717,2.77E-06,src/main/resources/valipop/results/batch54-fs/20180706-130616:322,0,0,0.3,0.2,TRUE,147,5628.965776,NONE,11,334.5221774
20180706-130649:663,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594584,15625,TRUE,58439,1y,10y,124485,249601,249601,1/1/1855,01/01/2015,52.59852509,215.586596,2.28E-06,src/main/resources/valipop/results/batch54-fs/20180706-130649:663,0,0,0.3,0.2,TRUE,147,5578.952928,NONE,10,340.7363881
20180706-130706:546,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,663450,15625,TRUE,58439,1y,10y,138710,278595,278595,1/1/1855,01/01/2015,52.76391791,226.7517328,1.79E-06,src/main/resources/valipop/results/batch54-fs/20180706-130706:546,0,0,0.3,0.2,TRUE,147,5619.358048,NONE,20,341.5336116
20180706-130902:621,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593630,15625,TRUE,58439,1y,10y,124298,249258,249258,1/1/1855,01/01/2015,42.8845899,226.1929514,2.47E-06,src/main/resources/valipop/results/batch54-fs/20180706-130902:621,0,0,0.4,0.25,TRUE,147,5517.005672,NONE,17,338.68439
