Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180706-163026:718,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593334,15625,TRUE,58439,1y,10y,124201,249323,249323,1/1/1855,01/01/2015,41.80079841,233.3337735,2.32E-06,src/main/resources/valipop/results/batch54-fs/20180706-163026:718,0,0,0.25,0.1,TRUE,147,5478.788152,NONE,39,348.1916922
20180706-163132:801,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594707,15625,TRUE,58439,1y,10y,124485,249707,249707,1/1/1855,01/01/2015,49.61244518,226.3143057,4.49E-06,src/main/resources/valipop/results/batch54-fs/20180706-163132:801,0,0,0.3,0.15,TRUE,147,5575.943544,NONE,2,344.7709609
20180706-163119:474,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592984,15625,TRUE,58439,1y,10y,124218,248862,248862,1/1/1855,01/01/2015,42.70620891,247.5802291,1.65E-06,src/main/resources/valipop/results/batch54-fs/20180706-163119:474,0,0,0.25,0.05,TRUE,147,5640.810496,NONE,59,347.3257884
20180706-163148:328,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596165,15625,TRUE,58439,1y,10y,124772,250171,250171,1/1/1855,01/01/2015,48.45714818,218.6123921,2.28E-06,src/main/resources/valipop/results/batch54-fs/20180706-163148:328,0,0,0.35,0.2,TRUE,147,5510.065656,NONE,47,342.8451363
20180706-163801:642,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595480,15625,TRUE,58439,1y,10y,124537,250130,250130,1/1/1855,01/01/2015,44.79372512,390.1257704,2.78E-06,src/main/resources/valipop/results/batch54-fs/20180706-163801:642,0,0,0.25,0,TRUE,147,5602.142032,NONE,8,351.542192
20180706-164051:439,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,598647,15625,TRUE,58439,1y,10y,125267,251414,251414,1/1/1855,01/01/2015,41.943506,234.9078462,2.57E-06,src/main/resources/valipop/results/batch54-fs/20180706-164051:439,0,0,0.25,0.1,TRUE,147,5496.868792,NONE,60,343.613708
20180706-164155:526,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595182,15625,TRUE,58439,1y,10y,124466,250012,250012,1/1/1855,01/01/2015,47.19681021,233.0162212,2.01E-06,src/main/resources/valipop/results/batch54-fs/20180706-164155:526,0,0,0.3,0.15,TRUE,147,5643.064328,NONE,18,340.5612784
20180706-164159:483,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594083,15625,TRUE,58439,1y,10y,124291,249531,249531,1/1/1855,01/01/2015,45.1822992,228.4154639,2.42E-06,src/main/resources/valipop/results/batch54-fs/20180706-164159:483,0,0,0.35,0.2,TRUE,147,5479.142016,NONE,18,343.127075
20180706-164158:469,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,600616,15625,TRUE,58439,1y,10y,125676,252142,252142,1/1/1855,01/01/2015,42.39408599,250.5275909,2.27E-06,src/main/resources/valipop/results/batch54-fs/20180706-164158:469,0,0,0.25,0.05,TRUE,147,5531.621872,NONE,34,341.5342884
20180706-163900:503,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,636707,15625,TRUE,58439,1y,10y,133375,267271,267271,1/1/1855,01/01/2015,49.99966341,404.7591695,2.28E-06,src/main/resources/valipop/results/batch54-fs/20180706-163900:503,0,0,0.05,0,TRUE,147,5688.079664,NONE,14,373.706908
20180706-165113:246,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593227,15625,TRUE,58439,1y,10y,124200,249047,249047,1/1/1855,01/01/2015,40.00343489,221.5073695,2.39E-06,src/main/resources/valipop/results/batch54-fs/20180706-165113:246,0,0,0.25,0.1,TRUE,147,5588.659208,NONE,8,339.0841062
20180706-165217:729,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594557,15625,TRUE,58439,1y,10y,124400,249605,249605,1/1/1855,01/01/2015,45.03092772,215.7726818,2.13E-06,src/main/resources/valipop/results/batch54-fs/20180706-165217:729,0,0,0.35,0.2,TRUE,147,5464.10896,NONE,31,337.6241111
20180706-165217:722,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595054,15625,TRUE,58439,1y,10y,124568,249882,249882,1/1/1855,01/01/2015,47.59323719,225.4473077,3.75E-06,src/main/resources/valipop/results/batch54-fs/20180706-165217:722,0,0,0.3,0.15,TRUE,147,5589.126104,NONE,95,338.3913662
20180706-165234:512,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594380,15625,TRUE,58439,1y,10y,124526,249550,249550,1/1/1855,01/01/2015,41.53108437,226.7644558,2.45E-06,src/main/resources/valipop/results/batch54-fs/20180706-165234:512,0,0,0.25,0.05,TRUE,147,5548.335408,NONE,31,333.3022311
20180706-165109:543,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,660826,15625,TRUE,58439,1y,10y,138323,277636,277636,1/1/1855,01/01/2015,46.35333002,382.5199421,2.14E-06,src/main/resources/valipop/results/batch54-fs/20180706-165109:543,0,0,0.25,0,TRUE,147,5864.141664,NONE,9,351.5781822
20180706-165250:496,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,602054,15625,TRUE,58439,1y,10y,126106,252600,252600,1/1/1855,01/01/2015,45.15534302,379.2437841,2.11E-06,src/main/resources/valipop/results/batch54-fs/20180706-165250:496,0,0,0.05,0,TRUE,147,5852.466128,NONE,10,360.7851604
20180706-170115:257,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,620743,15625,TRUE,58439,1y,10y,130000,260607,260607,1/1/1855,01/01/2015,41.68191618,230.4336598,2.60E-06,src/main/resources/valipop/results/batch54-fs/20180706-170115:257,0,0,0.25,0.1,TRUE,147,5701.30132,NONE,7,345.3693522
20180706-170230:693,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593646,15625,TRUE,58439,1y,10y,124246,249304,249304,1/1/1855,01/01/2015,46.99405141,219.0218922,2.74E-06,src/main/resources/valipop/results/batch54-fs/20180706-170230:693,0,0,0.3,0.15,TRUE,147,5643.12492,NONE,8,338.2470333
20180706-170218:021,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,654331,15625,TRUE,58439,1y,10y,136991,274548,274548,1/1/1855,01/01/2015,46.67439368,220.3443771,6.11E-06,src/main/resources/valipop/results/batch54-fs/20180706-170218:021,0,0,0.35,0.2,TRUE,147,5643.10252,NONE,65,355.8516064
