Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180709-114907:326,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,618587,15625,TRUE,58439,1y,10y,129418,259649,259649,1/1/1855,01/01/2015,46.36673658,237.2385569,1.49E-06,src/main/resources/valipop/results/batch54-fs/20180709-114907:326,0,0,0.25,0.15,TRUE,147,5543.476536,NONE,11,346.6038151
20180709-115143:025,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593214,15625,TRUE,58439,1y,10y,124133,248904,248904,1/1/1855,01/01/2015,40.10079333,231.7821508,2.62E-06,src/main/resources/valipop/results/batch54-fs/20180709-115143:025,0,0,0.8,0.6,TRUE,147,5390.59944,NONE,10,295.8445634
20180709-115150:834,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594874,15625,TRUE,58439,1y,10y,124572,249827,249827,1/1/1855,01/01/2015,42.07140125,223.2770691,1.81E-06,src/main/resources/valipop/results/batch54-fs/20180709-115150:834,0,0,0.8,0.6,TRUE,147,5355.776512,NONE,13,298.2652003
20180709-115210:544,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594715,15625,TRUE,58439,1y,10y,124540,249642,249642,1/1/1855,01/01/2015,43.21413888,198.6643658,2.47E-06,src/main/resources/valipop/results/batch54-fs/20180709-115210:544,0,0,0.8,0.6,TRUE,147,5535.76688,NONE,8,302.4742535
20180709-115257:147,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,656126,15625,TRUE,58439,1y,10y,137358,275439,275439,1/1/1855,01/01/2015,43.66034725,202.0990277,1.64E-06,src/main/resources/valipop/results/batch54-fs/20180709-115257:147,0,0,0.8,0.6,TRUE,147,5420.302576,NONE,13,309.3348868
20180709-115311:465,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,652420,15625,TRUE,58439,1y,10y,136547,273931,273931,1/1/1855,01/01/2015,46.12379841,210.8112312,1.78E-06,src/main/resources/valipop/results/batch54-fs/20180709-115311:465,0,0,0.8,0.6,TRUE,147,5433.06468,NONE,18,294.5852966
20180709-115243:252,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593819,15625,TRUE,58439,1y,10y,124326,249255,249255,1/1/1855,01/01/2015,42.16007983,203.6914946,2.46E-06,src/main/resources/valipop/results/batch54-fs/20180709-115243:252,0,0,0.2,0.8,TRUE,147,5630.128824,NONE,7,353.9363639
20180709-115317:726,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592682,15625,TRUE,58439,1y,10y,124032,248679,248679,1/1/1855,01/01/2015,46.84574981,229.4176724,2.37E-06,src/main/resources/valipop/results/batch54-fs/20180709-115317:726,0,0,0.2,0.8,TRUE,147,4707.390128,NONE,46,341.587641
20180709-115310:245,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,655288,15625,TRUE,58439,1y,10y,137289,275406,275406,1/1/1855,01/01/2015,50.95966721,243.6116921,2.47E-06,src/main/resources/valipop/results/batch54-fs/20180709-115310:245,0,0,0.2,0.8,TRUE,147,5613.917392,NONE,14,349.6561665
20180709-115356:523,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,612016,15625,TRUE,58439,1y,10y,128068,257280,257280,1/1/1855,01/01/2015,42.08122344,217.1680787,2.44E-06,src/main/resources/valipop/results/batch54-fs/20180709-115356:523,0,0,0.2,0.8,TRUE,147,4530.744248,NONE,14,357.8488029
20180709-115414:932,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594987,15625,TRUE,58439,1y,10y,124497,249846,249846,1/1/1855,01/01/2015,49.61781432,226.2624722,1.92E-06,src/main/resources/valipop/results/batch54-fs/20180709-115414:932,0,0,0.2,0.8,TRUE,147,5343.012776,NONE,8,355.5315736
20180709-115150:416,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,600051,15625,TRUE,58439,1y,10y,125654,251948,251948,1/1/1855,01/01/2015,44.79607716,369.6515614,2.31E-06,src/main/resources/valipop/results/batch54-fs/20180709-115150:416,0,0,0.05,0,TRUE,147,5701.491408,NONE,8,365.4907171
20180709-115537:581,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,591963,15625,TRUE,58439,1y,10y,124050,248595,248595,1/1/1855,01/01/2015,40.88920298,216.1941951,1.55E-06,src/main/resources/valipop/results/batch54-fs/20180709-115537:581,0,0,0.35,0.1,TRUE,147,5482.417728,NONE,89,324.3735313
20180709-115712:078,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592997,15625,TRUE,58439,1y,10y,124124,249001,249001,1/1/1855,01/01/2015,46.19885847,216.7412131,2.28E-06,src/main/resources/valipop/results/batch54-fs/20180709-115712:078,0,0,0.3,0.15,TRUE,147,5567.553032,NONE,48,345.0414511
20180709-115717:855,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594943,15625,TRUE,58439,1y,10y,124483,249784,249784,1/1/1855,01/01/2015,46.25578001,220.2766977,2.32E-06,src/main/resources/valipop/results/batch54-fs/20180709-115717:855,0,0,0.35,0.1,TRUE,147,4764.530624,NONE,48,336.3037524
20180709-115844:802,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,613866,15625,TRUE,58439,1y,10y,128367,257928,257928,1/1/1855,01/01/2015,46.05243167,224.6024372,2.77E-06,src/main/resources/valipop/results/batch54-fs/20180709-115844:802,0,0,0.25,0.15,TRUE,147,5780.271712,NONE,25,346.4913853
20180709-115938:871,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,610602,15625,TRUE,58439,1y,10y,127750,256457,256457,1/1/1855,01/01/2015,45.52455135,243.445544,1.34E-06,src/main/resources/valipop/results/batch54-fs/20180709-115938:871,0,0,0.25,0.15,TRUE,147,5775.147424,NONE,44,343.3729653
20180709-120116:496,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592895,15625,TRUE,58439,1y,10y,124095,248971,248971,1/1/1855,01/01/2015,41.59969276,202.5896317,2.35E-06,src/main/resources/valipop/results/batch54-fs/20180709-120116:496,0,0,0.8,0.6,TRUE,147,5473.279176,NONE,9,300.1064207
20180709-120112:603,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595969,15625,TRUE,58439,1y,10y,124801,249966,249966,1/1/1855,01/01/2015,39.74226947,211.0415184,3.95E-06,src/main/resources/valipop/results/batch54-fs/20180709-120112:603,0,0,0.8,0.6,TRUE,147,5399.42336,NONE,8,301.5144322
20180709-120115:841,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,659698,15625,TRUE,58439,1y,10y,138076,276925,276925,1/1/1855,01/01/2015,44.08380244,214.550409,2.77E-06,src/main/resources/valipop/results/batch54-fs/20180709-120115:841,0,0,0.8,0.6,TRUE,147,5445.485504,NONE,21,303.7507444
20180709-114715:210,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594239,15625,TRUE,58439,1y,10y,124268,249676,249676,1/1/1855,01/01/2015,96.32919094,552.8638179,3.43E-06,src/main/resources/valipop/results/batch54-fs/20180709-114715:210,0,0,0.4,0.05,TRUE,147,4277.490256,NONE,14,786.9401447
20180709-120213:772,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,587116,15625,TRUE,58439,1y,10y,122837,246683,246683,1/1/1855,01/01/2015,40.787184,207.4492235,1.49E-06,src/main/resources/valipop/results/batch54-fs/20180709-120213:772,0,0,0.8,0.6,TRUE,147,5520.451936,NONE,8,293.021161
20180709-120224:280,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,631916,15625,TRUE,58439,1y,10y,132183,265032,265032,1/1/1855,01/01/2015,43.6938461,206.971606,2.19E-06,src/main/resources/valipop/results/batch54-fs/20180709-120224:280,0,0,0.8,0.6,TRUE,147,5365.662464,NONE,18,305.1050228
20180709-120244:696,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,645498,15625,TRUE,58439,1y,10y,135065,270975,270975,1/1/1855,01/01/2015,47.124279,217.1067977,1.92E-06,src/main/resources/valipop/results/batch54-fs/20180709-120244:696,0,0,0.2,0.8,TRUE,147,5564.316776,NONE,14,353.3663037
20180709-120337:503,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,647326,15625,TRUE,58439,1y,10y,135440,271837,271837,1/1/1855,01/01/2015,48.94933273,230.2128647,2.62E-06,src/main/resources/valipop/results/batch54-fs/20180709-120337:503,0,0,0.2,0.8,TRUE,147,5628.90996,NONE,13,356.5721116
20180709-120355:917,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,662104,15625,TRUE,58439,1y,10y,138615,277860,277860,1/1/1855,01/01/2015,52.51593658,230.4499121,1.68E-06,src/main/resources/valipop/results/batch54-fs/20180709-120355:917,0,0,0.2,0.8,TRUE,147,5746.049168,NONE,13,349.2270967
20180709-120415:714,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,638452,15625,TRUE,58439,1y,10y,133674,267716,267716,1/1/1855,01/01/2015,43.81594214,230.3285272,2.22E-06,src/main/resources/valipop/results/batch54-fs/20180709-120415:714,0,0,0.2,0.8,TRUE,147,5600.401616,NONE,16,355.8988925
20180709-120449:206,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,591980,15625,TRUE,58439,1y,10y,123779,248504,248504,1/1/1855,01/01/2015,46.84209538,237.649289,2.17E-06,src/main/resources/valipop/results/batch54-fs/20180709-120449:206,0,0,0.2,0.8,TRUE,147,5749.931592,NONE,48,335.2325405
20180709-120520:341,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593471,15625,TRUE,58439,1y,10y,124112,249364,249364,1/1/1855,01/01/2015,42.4408797,226.2516705,2.56E-06,src/main/resources/valipop/results/batch54-fs/20180709-120520:341,0,0,0.35,0.1,TRUE,147,5534.320824,NONE,6,330.8583783
20180709-120722:626,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594736,15625,TRUE,58439,1y,10y,124376,249720,249720,1/1/1855,01/01/2015,43.53378473,226.7503221,2.17E-06,src/main/resources/valipop/results/batch54-fs/20180709-120722:626,0,0,0.35,0.1,TRUE,147,5631.136488,NONE,69,336.3170384
20180709-120722:612,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594949,15625,TRUE,58439,1y,10y,124441,249990,249990,1/1/1855,01/01/2015,43.07912288,218.8110596,2.35E-06,src/main/resources/valipop/results/batch54-fs/20180709-120722:612,0,0,0.3,0.15,TRUE,147,5555.494248,NONE,48,355.7156759
