Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180709-135134:380,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594476,15625,TRUE,58439,1y,10y,124349,249576,249576,1/1/1855,01/01/2015,47.23216003,257.2496356,2.34E-06,src/main/resources/valipop/results/batch54-fs/20180709-135134:380,0,0,0.7,0.1,TRUE,147,4159.359272,NONE,48,293.5937204
20180709-135238:828,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592942,15625,TRUE,58439,1y,10y,124124,248806,248806,1/1/1855,01/01/2015,48.89502054,241.1395755,2.59E-06,src/main/resources/valipop/results/batch54-fs/20180709-135238:828,0,0,0.7,0.1,TRUE,147,4321.179496,NONE,65,305.9089291
20180709-135333:481,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,660367,15625,TRUE,58439,1y,10y,138185,277599,277599,1/1/1855,01/01/2015,44.65666751,227.1941983,1.97E-06,src/main/resources/valipop/results/batch54-fs/20180709-135333:481,0,0,0.7,0.1,TRUE,147,5608.789056,NONE,42,289.387116
20180709-135129:926,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592432,15625,TRUE,58439,1y,10y,124025,248574,248574,1/1/1855,01/01/2015,43.27441363,356.9261692,2.85E-06,src/main/resources/valipop/results/batch54-fs/20180709-135129:926,0,0,0.7,0,TRUE,147,5295.312464,NONE,50,306.3772975
20180709-135250:409,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,660794,15625,TRUE,58439,1y,10y,138192,277479,277479,1/1/1855,01/01/2015,55.65979293,257.536335,1.79E-06,src/main/resources/valipop/results/batch54-fs/20180709-135250:409,0,0,0.7,0.1,TRUE,147,5606.707168,NONE,23,315.371267
20180709-135155:547,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594656,15625,TRUE,58439,1y,10y,124457,249719,249719,1/1/1855,01/01/2015,40.97150582,353.1365185,1.97E-06,src/main/resources/valipop/results/batch54-fs/20180709-135155:547,0,0,0.7,0,TRUE,147,5267.302568,NONE,13,298.5157439
20180709-135336:592,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,597238,15625,TRUE,58439,1y,10y,124967,250871,250871,1/1/1855,01/01/2015,42.54272155,250.7127685,2.93E-06,src/main/resources/valipop/results/batch54-fs/20180709-135336:592,0,0,0.7,0.1,TRUE,147,5523.772464,NONE,2,306.6068247
20180709-135332:819,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,649847,15625,TRUE,58439,1y,10y,135958,272687,272687,1/1/1855,01/01/2015,46.42825242,255.4845942,3.02E-06,src/main/resources/valipop/results/batch54-fs/20180709-135332:819,0,0,0.7,0.1,TRUE,147,4051.53276,NONE,14,318.695409
20180709-135411:938,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595430,15625,TRUE,58439,1y,10y,124597,250062,250062,1/1/1855,01/01/2015,42.74575129,245.8969048,2.67E-06,src/main/resources/valipop/results/batch54-fs/20180709-135411:938,0,0,0.7,0.1,TRUE,147,5390.661688,NONE,11,316.8544911
20180709-135419:908,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,598251,15625,TRUE,58439,1y,10y,125203,251234,251234,1/1/1855,01/01/2015,45.62534925,233.311953,3.00E-06,src/main/resources/valipop/results/batch54-fs/20180709-135419:908,0,0,0.7,0.1,TRUE,147,5552.654584,NONE,12,322.59682
20180709-135223:462,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,619454,15625,TRUE,58439,1y,10y,129654,259873,259873,1/1/1855,01/01/2015,43.85051728,381.3162149,2.50E-06,src/main/resources/valipop/results/batch54-fs/20180709-135223:462,0,0,0.7,0,TRUE,147,5275.733352,NONE,78,312.3677683
20180709-135233:154,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,649194,15625,TRUE,58439,1y,10y,135755,272386,272386,1/1/1855,01/01/2015,46.77456577,383.6420282,1.94E-06,src/main/resources/valipop/results/batch54-fs/20180709-135233:154,0,0,0.7,0,TRUE,147,5362.722712,NONE,41,316.2473333
20180709-135307:195,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596250,15625,TRUE,58439,1y,10y,124857,250212,250212,1/1/1855,01/01/2015,42.32771614,366.0449549,2.76E-06,src/main/resources/valipop/results/batch54-fs/20180709-135307:195,0,0,0.7,0,TRUE,147,5506.197512,NONE,31,328.7094228
20180709-134700:538,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,657398,15625,TRUE,58439,1y,10y,137497,275876,275876,1/1/1855,01/01/2015,100.9437386,525.8563015,2.82E-06,src/main/resources/valipop/results/batch54-fs/20180709-134700:538,0,0,0.4,0.05,TRUE,147,5842.960592,NONE,27,794.1927383
20180709-140126:977,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594009,15625,TRUE,58439,1y,10y,124346,249299,249299,1/1/1855,01/01/2015,42.34124388,222.7396116,2.19E-06,src/main/resources/valipop/results/batch54-fs/20180709-140126:977,0,0,0.75,0.05,TRUE,147,5237.401128,NONE,9,293.8398422
20180709-140133:941,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,588653,15625,TRUE,58439,1y,10y,123189,247235,247235,1/1/1855,01/01/2015,43.20379757,237.4392836,1.61E-06,src/main/resources/valipop/results/batch54-fs/20180709-140133:941,0,0,0.75,0.05,TRUE,147,5275.932328,NONE,30,290.6476657
20180709-140120:978,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593562,15625,TRUE,58439,1y,10y,124297,249207,249207,1/1/1855,01/01/2015,45.27105761,237.0023809,2.47E-06,src/main/resources/valipop/results/batch54-fs/20180709-140120:978,0,0,0.75,0.05,TRUE,147,5576.45284,NONE,10,324.4791818
20180709-140256:703,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596149,15625,TRUE,58439,1y,10y,124772,250461,250461,1/1/1855,01/01/2015,40.27011111,218.9713854,2.04E-06,src/main/resources/valipop/results/batch54-fs/20180709-140256:703,0,0,0.75,0.05,TRUE,147,5583.297416,NONE,103,278.1185153
20180709-140236:876,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593507,15625,TRUE,58439,1y,10y,124376,249044,249044,1/1/1855,01/01/2015,40.11837416,235.3958571,2.29E-06,src/main/resources/valipop/results/batch54-fs/20180709-140236:876,0,0,0.75,0.05,TRUE,147,5552.310488,NONE,31,308.4119096
