Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180704-115919:242,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,252559,7812,TRUE,58439,1y,10y,55935,103092,103092,1/1/1855,01/01/2015,149.6907317,266.7535013,2.62E-06,src/main/resources/valipop/results/batch54-fs/20180704-115919:242,0,0,0,0.3,TRUE,147,4982.949536,NONE,8,380.4487916
20180704-120041:317,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,269121,7812,TRUE,58439,1y,10y,58832,109760,109760,1/1/1855,01/01/2015,120.6943509,316.3765337,2.35E-06,src/main/resources/valipop/results/batch54-fs/20180704-120041:317,0,0,0,0.3,TRUE,147,4898.429984,NONE,20,351.0527975
20180704-120214:086,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,262812,7812,TRUE,58439,1y,10y,57324,107755,107755,1/1/1855,01/01/2015,59.43532369,181.0960893,3.27E-06,src/main/resources/valipop/results/batch54-fs/20180704-120214:086,0,0,0,0.3,TRUE,147,5041.036328,NONE,10,436.5944175
20180704-120053:523,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,274565,7812,TRUE,58439,1y,10y,61130,111603,111603,1/1/1855,01/01/2015,116.4776174,327.3874969,2.25E-06,src/main/resources/valipop/results/batch54-fs/20180704-120053:523,0,0,0,0.3,TRUE,147,4300.329056,NONE,13,345.9747304
20180704-115902:367,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,277529,7812,TRUE,58439,1y,10y,61185,113463,113463,1/1/1855,01/01/2015,183.5830924,425.8261583,6.19E-06,src/main/resources/valipop/results/batch54-fs/20180704-115902:367,0,0,0,0.3,TRUE,147,4896.280312,NONE,10,354.8147682
20180704-115912:679,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,276742,7812,TRUE,58439,1y,10y,60573,113433,113433,1/1/1855,01/01/2015,71.55526684,409.0150732,5.07E-06,src/main/resources/valipop/results/batch54-fs/20180704-115912:679,0,0,0,0.3,TRUE,147,4687.754288,NONE,6,372.3339672
20180704-120627:133,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593906,15625,TRUE,58439,1y,10y,124365,249381,249381,1/1/1855,01/01/2015,42.47230788,195.7141513,1.69E-06,src/main/resources/valipop/results/batch54-fs/20180704-120627:133,0,0,0.2,0.1,TRUE,147,7734.496112,NONE,34,315.3438026
20180704-120638:412,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595281,15625,TRUE,58439,1y,10y,124547,249961,249961,1/1/1855,01/01/2015,38.68642376,192.235288,1.77E-06,src/main/resources/valipop/results/batch54-fs/20180704-120638:412,0,0,0.2,0.1,TRUE,147,7684.462232,NONE,15,316.9739313
20180704-114827:221,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,231217,7812,TRUE,58439,1y,10y,50943,94382,94382,1/1/1855,01/01/2015,65.68282375,876.7210048,2.26E-05,src/main/resources/valipop/results/batch54-fs/20180704-114827:221,0,0,0,0,TRUE,147,3936.958,NONE,34,722.2476356
20180704-120733:250,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,663608,15625,TRUE,58439,1y,10y,138925,278609,278609,1/1/1855,01/01/2015,41.91731641,203.462004,2.10E-06,src/main/resources/valipop/results/batch54-fs/20180704-120733:250,0,0,0.2,0.1,TRUE,147,7441.305064,NONE,31,322.8164429
