Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180704-121245:317,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,271730,7812,TRUE,58439,1y,10y,60694,110542,110542,1/1/1855,01/01/2015,181.9980833,301.521891,1.81E-06,src/main/resources/valipop/results/batch54-fs/20180704-121245:317,0,0,0,0.6,TRUE,147,4820.215056,NONE,10,463.6270673
20180704-121711:064,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,279932,7812,TRUE,58439,1y,10y,61658,114178,114178,1/1/1855,01/01/2015,57.16800647,440.5477119,4.97E-06,src/main/resources/valipop/results/batch54-fs/20180704-121711:064,0,0,0,0.6,TRUE,147,4730.3746,NONE,8,396.7562637
20180704-122456:899,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,629702,15625,TRUE,58439,1y,10y,131757,264331,264331,1/1/1855,01/01/2015,40.4577938,189.475884,1.99E-06,src/main/resources/valipop/results/batch54-fs/20180704-122456:899,0,0,0.2,0.1,TRUE,147,7793.712672,NONE,27,319.8554992
20180704-122524:030,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595456,15625,TRUE,58439,1y,10y,124650,250007,250007,1/1/1855,01/01/2015,41.407528,194.0147032,2.23E-06,src/main/resources/valipop/results/batch54-fs/20180704-122524:030,0,0,0.2,0.1,TRUE,147,8166.754616,NONE,27,312.428539
20180704-122631:642,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592585,15625,TRUE,58439,1y,10y,123877,249111,249111,1/1/1855,01/01/2015,36.87429074,180.1510738,2.04E-06,src/main/resources/valipop/results/batch54-fs/20180704-122631:642,0,0,0.8,0.5,TRUE,147,7751.456232,NONE,13,266.4376591
20180704-122632:864,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592888,15625,TRUE,58439,1y,10y,124175,248802,248802,1/1/1855,01/01/2015,35.66606548,180.3120673,2.36E-06,src/main/resources/valipop/results/batch54-fs/20180704-122632:864,0,0,0.8,0.5,TRUE,147,8169.919848,NONE,13,272.4317006
20180704-122603:849,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593922,15625,TRUE,58439,1y,10y,124236,249481,249481,1/1/1855,01/01/2015,37.7095949,194.9228952,2.06E-06,src/main/resources/valipop/results/batch54-fs/20180704-122603:849,0,0,0.2,0.1,TRUE,147,7820.58024,NONE,96,311.369306
20180704-122719:578,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592926,15625,TRUE,58439,1y,10y,124081,249148,249148,1/1/1855,01/01/2015,36.99626761,178.3149054,2.30E-06,src/main/resources/valipop/results/batch54-fs/20180704-122719:578,0,0,0.8,0.5,TRUE,147,7774.752008,NONE,18,274.1201724
20180704-122739:232,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596043,15625,TRUE,58439,1y,10y,124698,250022,250022,1/1/1855,01/01/2015,37.19888752,177.0822221,1.92E-06,src/main/resources/valipop/results/batch54-fs/20180704-122739:232,0,0,0.8,0.5,TRUE,147,7391.640752,NONE,3,267.2406624
20180704-122740:171,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596331,15625,TRUE,58439,1y,10y,124788,250337,250337,1/1/1855,01/01/2015,39.57580795,190.1569307,1.90E-06,src/main/resources/valipop/results/batch54-fs/20180704-122740:171,0,0,0.2,0.1,TRUE,147,7582.734808,NONE,34,308.1249332
20180704-122833:776,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,679047,15625,TRUE,58439,1y,10y,141999,285179,285179,1/1/1855,01/01/2015,40.28611752,191.063858,2.01E-06,src/main/resources/valipop/results/batch54-fs/20180704-122833:776,0,0,0.8,0.5,TRUE,147,7790.966888,NONE,15,280.6658824
20180704-122551:360,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,247885,7812,TRUE,58439,1y,10y,54265,101395,101395,1/1/1855,01/01/2015,42.57755844,260.8687695,1.89E-06,src/main/resources/valipop/results/batch54-fs/20180704-122551:360,0,0,0,1,TRUE,147,4803.384112,NONE,13,396.9631322
20180704-122627:215,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,271493,7812,TRUE,58439,1y,10y,59822,110917,110917,1/1/1855,01/01/2015,92.61083401,206.2564627,5.64E-06,src/main/resources/valipop/results/batch54-fs/20180704-122627:215,0,0,0,1,TRUE,147,4685.95448,NONE,5,372.0535547
20180704-122737:628,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,261759,7812,TRUE,58439,1y,10y,57136,107409,107409,1/1/1855,01/01/2015,75.30105513,188.1255829,2.24E-06,src/main/resources/valipop/results/batch54-fs/20180704-122737:628,0,0,0,1,TRUE,147,4655.34852,NONE,2,398.1782158
20180704-122733:010,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,240903,7812,TRUE,58439,1y,10y,52887,98689,98689,1/1/1855,01/01/2015,98.41310599,243.8636592,2.99E-06,src/main/resources/valipop/results/batch54-fs/20180704-122733:010,0,0,0,1,TRUE,147,4407.616208,NONE,6,327.246522
