Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180706-023410:343,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2194042,62500,TRUE,58439,1y,10y,473145,904962,904962,1/1/1855,01/01/2015,235.4655272,554.2471505,5.19E-06,src/main/resources/valipop/results/batch55-fs/20180706-023410:343,0,0,0,1,TRUE,147,15260.79603,NONE,2,872.3796353
20180706-023322:385,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2436590,62500,TRUE,58439,1y,10y,525911,1001267,1001267,1/1/1855,01/01/2015,258.3867169,646.0781648,4.59E-06,src/main/resources/valipop/results/batch55-fs/20180706-023322:385,0,0,0,1,TRUE,147,14791.88272,NONE,8,883.96051
20180706-024300:347,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2158726,62500,TRUE,58439,1y,10y,466489,889157,889157,1/1/1855,01/01/2015,241.4953759,1078.16154,8.72E-06,src/main/resources/valipop/results/batch55-fs/20180706-024300:347,0,0,0,0,TRUE,147,17367.22434,NONE,108,776.5434142
20180706-025236:015,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2188512,62500,TRUE,58439,1y,10y,470627,903621,903621,1/1/1855,01/01/2015,238.4529389,562.9755413,4.01E-06,src/main/resources/valipop/results/batch55-fs/20180706-025236:015,0,0,0,1,TRUE,147,19065.18572,NONE,0,813.8471194
20180706-025716:124,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2420839,62500,TRUE,58439,1y,10y,521990,998753,998753,1/1/1855,01/01/2015,241.1289657,1150.096904,5.55E-06,src/main/resources/valipop/results/batch55-fs/20180706-025716:124,0,0,0,0,TRUE,147,19319.91817,NONE,73,798.7957812
20180706-030159:061,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2166060,62500,TRUE,58439,1y,10y,466872,893504,893504,1/1/1855,01/01/2015,233.5261628,1148.527602,5.62E-06,src/main/resources/valipop/results/batch55-fs/20180706-030159:061,0,0,0,0,TRUE,147,19406.70483,NONE,112,775.3842808
20180706-030318:106,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2184934,62500,TRUE,58439,1y,10y,470009,900661,900661,1/1/1855,01/01/2015,246.7151834,1162.212249,5.03E-06,src/main/resources/valipop/results/batch55-fs/20180706-030318:106,0,0,0,0,TRUE,147,14665.15339,NONE,103,818.8242363
20180706-031803:130,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2173927,62500,TRUE,58439,1y,10y,469598,897270,897270,1/1/1855,01/01/2015,235.3158825,1072.823607,5.69E-06,src/main/resources/valipop/results/batch55-fs/20180706-031803:130,0,0,0,0,TRUE,147,19418.58726,NONE,106,775.9905211
20180706-031937:578,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2159012,62500,TRUE,58439,1y,10y,464337,890724,890724,1/1/1855,01/01/2015,233.4998763,1063.327437,4.02E-06,src/main/resources/valipop/results/batch55-fs/20180706-031937:578,0,0,0,0,TRUE,147,14462.77991,NONE,112,767.8195628
20180706-033354:812,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2385726,62500,TRUE,58439,1y,10y,511570,986133,986133,1/1/1855,01/01/2015,239.1788897,1122.691255,5.25E-06,src/main/resources/valipop/results/batch55-fs/20180706-033354:812,0,0,0,0,TRUE,147,15813.06459,NONE,38,755.3628108
20180706-033802:885,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2180178,62500,TRUE,58439,1y,10y,467967,900542,900542,1/1/1855,01/01/2015,233.3814658,1118.717756,4.04E-06,src/main/resources/valipop/results/batch55-fs/20180706-033802:885,0,0,0,0,TRUE,147,14903.48628,NONE,107,739.5785892
20180706-034033:000,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2173077,62500,TRUE,58439,1y,10y,468111,895811,895811,1/1/1855,01/01/2015,239.3236142,1096.705817,4.46E-06,src/main/resources/valipop/results/batch55-fs/20180706-034033:000,0,0,0,0,TRUE,147,17447.26455,NONE,112,751.3875348
20180706-035408:368,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2163315,62500,TRUE,58439,1y,10y,466523,892911,892911,1/1/1855,01/01/2015,229.51217,1053.469836,4.82E-06,src/main/resources/valipop/results/batch55-fs/20180706-035408:368,0,0,0,0,TRUE,147,15300.84018,NONE,112,723.8573077
