Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180705-132247:278,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2108780,62500,true,58439,1y,10y,441477,885107,885107,1/1/1855,1/1/2015,217.596478475,578.894326324,1.6577E-5,src/main/resources/valipop/results/batch55-fs/20180705-132247:278,0.0,0.0,0.6,0.6,true,147,9836.924192,NONE,0.0,626.472026447
20180705-132319:449,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2121758,62500,true,58439,1y,10y,444014,890402,890402,1/1/1855,1/1/2015,219.977459878,594.540047653,1.0237E-5,src/main/resources/valipop/results/batch55-fs/20180705-132319:449,0.0,0.0,0.6,0.6,true,147,9697.493144,NONE,0.0,600.192812827
20180705-132323:336,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2111087,62500,true,58439,1y,10y,442485,886039,886039,1/1/1855,1/1/2015,197.796911221,598.372556167,9.737E-6,src/main/resources/valipop/results/batch55-fs/20180705-132323:336,0.0,0.0,0.6,0.6,true,147,9408.435112,NONE,12.0,622.260137167
20180705-132315:340,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2111943,62500,true,58439,1y,10y,442155,886508,886508,1/1/1855,1/1/2015,216.536824376,627.423397792,1.1382E-5,src/main/resources/valipop/results/batch55-fs/20180705-132315:340,0.0,0.0,0.6,0.6,true,147,9518.660792,NONE,0.0,604.383793735
20180705-132326:864,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2121750,62500,true,58439,1y,10y,443989,889984,889984,1/1/1855,1/1/2015,231.282657141,624.067409215,9.903E-6,src/main/resources/valipop/results/batch55-fs/20180705-132326:864,0.0,0.0,0.6,0.6,true,147,9581.798648,NONE,8.0,630.721153149
20180705-134638:071,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2384650,62500,true,58439,1y,10y,498690,1001108,1001108,1/1/1855,1/1/2015,245.961373149,660.219880236,4.53E-6,src/main/resources/valipop/results/batch55-fs/20180705-134638:071,0.0,0.0,0.6,0.6,true,147,13449.966928,NONE,0.0,613.195207424
20180705-134709:630,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2382374,62500,true,58439,1y,10y,498412,1000703,1000703,1/1/1855,1/1/2015,231.624349443,663.208794237,3.718E-6,src/main/resources/valipop/results/batch55-fs/20180705-134709:630,0.0,0.0,0.6,0.6,true,147,12601.979296,NONE,0.0,609.816002087
20180705-134704:292,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2367666,62500,true,58439,1y,10y,495276,994122,994122,1/1/1855,1/1/2015,246.004281505,658.521619239,4.155E-6,src/main/resources/valipop/results/batch55-fs/20180705-134704:292,0.0,0.0,0.6,0.6,true,147,12331.78816,NONE,0.0,617.860345257
20180705-134821:103,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2376704,62500,true,58439,1y,10y,497691,997805,997805,1/1/1855,1/1/2015,252.348236209,653.866915732,3.098E-6,src/main/resources/valipop/results/batch55-fs/20180705-134821:103,0.0,0.0,0.6,0.6,true,147,12369.340376,NONE,0.0,613.804579713
20180705-134731:973,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2374010,62500,true,58439,1y,10y,496912,996227,996227,1/1/1855,1/1/2015,248.19090375,667.662415972,3.941E-6,src/main/resources/valipop/results/batch55-fs/20180705-134731:973,0.0,0.0,0.6,0.6,true,147,11597.696448,NONE,2.0,661.978021132
20180705-141237:725,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2376882,62500,true,58439,1y,10y,497479,997790,997790,1/1/1855,1/1/2015,243.562709816,629.775400419,3.522E-6,src/main/resources/valipop/results/batch55-fs/20180705-141237:725,0.0,0.0,0.6,0.3,true,147,10103.813536,NONE,0.0,600.805660717
20180705-141205:016,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2418813,62500,true,58439,1y,10y,505886,1015731,1015731,1/1/1855,1/1/2015,247.909622088,664.704630281,4.353E-6,src/main/resources/valipop/results/batch55-fs/20180705-141205:016,0.0,0.0,0.6,0.3,true,147,14143.129496,NONE,0.0,614.736589565
20180705-141222:545,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2345607,62500,true,58439,1y,10y,490612,984442,984442,1/1/1855,1/1/2015,217.905558954,641.698051577,2.348E-6,src/main/resources/valipop/results/batch55-fs/20180705-141222:545,0.0,0.0,0.6,0.3,true,147,12875.389096,NONE,22.0,658.451941179
20180705-141351:674,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2372478,62500,true,58439,1y,10y,496672,997005,997005,1/1/1855,1/1/2015,249.840318768,606.803218718,3.675E-6,src/main/resources/valipop/results/batch55-fs/20180705-141351:674,0.0,0.0,0.6,0.3,true,147,10378.1998,NONE,0.0,616.595563086
20180705-141357:071,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2379478,62500,true,58439,1y,10y,497964,999496,999496,1/1/1855,1/1/2015,244.138613916,674.628211687,3.234E-6,src/main/resources/valipop/results/batch55-fs/20180705-141357:071,0.0,0.0,0.6,0.3,true,147,12317.351936,NONE,0.0,591.634971561
20180705-143718:925,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2393150,62500,true,58439,1y,10y,500955,1005074,1005074,1/1/1855,1/1/2015,241.717175911,618.992438555,2.246E-6,src/main/resources/valipop/results/batch55-fs/20180705-143718:925,0.0,0.0,0.6,0.3,true,147,13321.353456,NONE,0.0,616.491212996
20180705-143740:918,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2371530,62500,true,58439,1y,10y,496490,995883,995883,1/1/1855,1/1/2015,241.357720282,649.094121533,5.148E-6,src/main/resources/valipop/results/batch55-fs/20180705-143740:918,0.0,0.0,0.6,0.3,true,147,13209.954544,NONE,0.0,626.428623559
20180705-143748:394,batch55-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,2393232,62500,true,58439,1y,10y,500968,1004370,1004370,1/1/1855,1/1/2015,227.566292437,619.719622829,7.703E-6,src/main/resources/valipop/results/batch55-fs/20180705-143748:394,0.0,0.0,0.6,0.3,true,147,12610.61524,NONE,0.0,662.455505728
