Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180720-122252:033,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4221737,125000,true,58439,1y,10y,883595,1773084,1773084,1/1/1855,1/1/2015,589.869074134,967.914982198,8.754E-6,src/main/resources/valipop/results/batch64-fs/20180720-122252:033,0.0,0.0,0.1,0.7,true,147,18292.664352,NONE,0.0,2.076848995,3782910,1364088
20180720-122210:221,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4225753,125000,true,58439,1y,10y,884151,1773627,1773627,1/1/1855,1/1/2015,579.114780199,1090.918756328,1.2061E-5,src/main/resources/valipop/results/batch64-fs/20180720-122210:221,0.0,0.0,0.3,0.4,true,147,17303.483296,NONE,0.0,2.010985805,3883703,1463739
20180720-122303:471,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4207810,125000,true,58439,1y,10y,880958,1767450,1767450,1/1/1855,1/1/2015,627.448437625,1043.369028888,2.79E-5,src/main/resources/valipop/results/batch64-fs/20180720-122303:471,0.0,0.0,0.2,0.7,true,147,17857.019344,NONE,0.0,2.078754139,3786171,1374700
20180720-124904:223,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4745213,125000,true,58439,1y,10y,993186,1991589,1991589,1/1/1855,1/1/2015,669.116966143,1061.972631338,3.489E-6,src/main/resources/valipop/results/batch64-fs/20180720-124904:223,0.0,0.0,0.1,0.7,true,147,18509.043944,NONE,0.0,1.970483685,4228161,1555311
20180720-125016:481,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,5290769,125000,true,58439,1y,10y,1107118,2222742,2222742,1/1/1855,1/1/2015,742.646068964,1310.408289843,3.065E-6,src/main/resources/valipop/results/batch64-fs/20180720-125016:481,0.0,0.0,0.3,0.4,true,147,20964.596472,NONE,0.0,2.257984046,4868651,1917713
20180720-125110:119,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,5235081,125000,true,58439,1y,10y,1095465,2196418,2196418,1/1/1855,1/1/2015,790.354430429,1232.704586063,1.2893E-5,src/main/resources/valipop/results/batch64-fs/20180720-125110:119,0.0,0.0,0.2,0.7,true,147,19737.866208,NONE,0.0,2.065690818,4827313,1905580
20180720-131810:615,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4756675,125000,true,58439,1y,10y,995684,1997330,1997330,1/1/1855,1/1/2015,652.053092272,1064.297137262,3.57E-6,src/main/resources/valipop/results/batch64-fs/20180720-131810:615,0.0,0.0,0.1,0.7,true,147,18868.43312,NONE,0.0,2.384528861,4353654,1674296
20180720-132447:451,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4743968,125000,true,58439,1y,10y,992594,1993203,1993203,1/1/1855,1/1/2015,637.095733508,1098.387819793,3.204E-6,src/main/resources/valipop/results/batch64-fs/20180720-132447:451,0.0,0.0,0.3,0.4,true,147,18907.776,NONE,0.0,1.891671307,4243161,1570158
20180720-132513:216,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4761712,125000,true,58439,1y,10y,997082,1999531,1999531,1/1/1855,1/1/2015,690.997641922,1151.832760651,7.859E-6,src/main/resources/valipop/results/batch64-fs/20180720-132513:216,0.0,0.0,0.2,0.7,true,147,18837.393288,NONE,0.0,2.074630628,4386309,1704951
20180720-134701:703,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4741399,125000,true,58439,1y,10y,992229,1992760,1992760,1/1/1855,1/1/2015,668.796534342,1039.905517062,3.624E-6,src/main/resources/valipop/results/batch64-fs/20180720-134701:703,0.0,0.0,0.1,0.7,true,147,29714.627472,NONE,0.0,2.112052631,4244142,1572808
20180720-135613:457,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,4516200,125000,true,58439,1y,10y,945496,1894898,1894898,1/1/1855,1/1/2015,671.863591437,1106.890864419,4.232E-6,src/main/resources/valipop/results/batch64-fs/20180720-135613:457,0.0,0.0,0.2,0.7,true,147,29438.394672,NONE,0.0,1.959863815,4113672,1558197
20180720-135358:081,batch64-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,5303826,125000,true,58439,1y,10y,1109911,2226491,2226491,1/1/1855,1/1/2015,750.65884499,1196.190182387,3.151E-6,src/main/resources/valipop/results/batch64-fs/20180720-135358:081,0.0,0.0,0.3,0.4,true,147,29304.930968,NONE,0.0,1.906906452,4850662,1892455
