Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180715-073851:638,batch63-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1290793,31250,TRUE,58439,1y,10y,270177,541817,541817,1/1/1855,01/01/2015,137.8349105,350.7577475,2.42E-06,/cs/tmp/tsd4/results/batch63-fs/20180715-073851:638,0,0,0.1,0.7,TRUE,147,11396.40227,NONE,0,402.075,1163916,442663
20180715-074517:840,batch63-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1193882,31250,TRUE,58439,1y,10y,249824,501623,501623,1/1/1855,01/01/2015,97.96379298,407.2580359,1.92E-06,/cs/tmp/tsd4/results/batch63-fs/20180715-074517:840,0,0,0.15,0.35,TRUE,147,13404.13344,NONE,0,387.665,1060614,388594
20180715-075347:190,batch63-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189729,31250,TRUE,58439,1y,10y,248896,499464,499464,1/1/1855,01/01/2015,100.2481287,411.1681697,2.35E-06,/cs/tmp/tsd4/results/batch63-fs/20180715-075347:190,0,0,0.15,0.35,TRUE,147,11926.04884,NONE,0,388.78,1059735,389939
20180715-080354:824,batch63-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1300380,31250,TRUE,58439,1y,10y,272186,546566,546566,1/1/1855,01/01/2015,119.784702,406.5373856,1.77E-06,/cs/tmp/tsd4/results/batch63-fs/20180715-080354:824,0,0,0.15,0.35,TRUE,147,13295.2515,NONE,0,399.916,1174785,448786
20180715-115157:531,batch63-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593362,15625,TRUE,58439,1y,10y,124189,249086,249086,1/1/1855,01/01/2015,76.49382248,618.0631922,1.70E-06,/cs/tmp/tsd4/results/batch63-fs/20180715-115157:531,0,0,0.1,0.1,TRUE,147,6015.580568,NONE,0,315.796,534390,200627
20180715-120442:406,batch63-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,601009,15625,TRUE,58439,1y,10y,125811,252380,252380,1/1/1855,01/01/2015,57.46888668,540.5867006,2.55E-04,/cs/tmp/tsd4/results/batch63-fs/20180715-120442:406,0,0,0.1,0.1,TRUE,147,5960.025512,NONE,0,318.074,544885,207058
20180715-122643:539,batch63-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596989,15625,TRUE,58439,1y,10y,124927,250693,250693,1/1/1855,01/01/2015,45.97721451,214.8621381,2.27E-06,/cs/tmp/tsd4/results/batch63-fs/20180715-122643:539,0,0,0.1,0.1,TRUE,147,5914.104208,NONE,0,313.906,523854,188050
20180715-123417:903,batch63-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596972,15625,TRUE,58439,1y,10y,124886,250472,250472,1/1/1855,01/01/2015,45.31340512,213.450216,2.07E-06,/cs/tmp/tsd4/results/batch63-fs/20180715-123417:903,0,0,0.1,0.1,TRUE,147,5768.294424,NONE,0,316.281,527613,192037
20180715-124053:645,batch63-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,623276,15625,TRUE,58439,1y,10y,130502,261586,261586,1/1/1855,01/01/2015,178.0108956,403.8044859,1.87E-06,/cs/tmp/tsd4/results/batch63-fs/20180715-124053:645,0,0,0.1,0.1,TRUE,147,6136.366784,NONE,0,322.679,558631,209468
20180715-125304:200,batch63-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,560869,15625,TRUE,58439,1y,10y,117385,235553,235553,1/1/1855,01/01/2015,46.62856687,236.8896449,2.00E-06,/cs/tmp/tsd4/results/batch63-fs/20180715-125304:200,0,0,0.15,0.1,TRUE,147,5693.886096,NONE,0,312.99,497448,180016
20180715-144945:918,batch63-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594465,15625,TRUE,58439,1y,10y,124373,249357,249357,1/1/1855,01/01/2015,59.37663649,644.8798789,2.07E-06,/cs/tmp/tsd4/results/batch63-fs/20180715-144945:918,0,0,0.15,0.1,TRUE,147,6057.806288,NONE,0,317.4,522583,188097
20180715-152004:990,batch63-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593758,15625,TRUE,58439,1y,10y,124287,249290,249290,1/1/1855,01/01/2015,46.50697563,212.9567474,2.00E-06,/cs/tmp/tsd4/results/batch63-fs/20180715-152004:990,0,0,0.15,0.1,TRUE,147,5719.970864,NONE,0,315.641,531732,197536
20180716-010220:148,batch63-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,665451,15625,TRUE,58439,1y,10y,139315,279596,279596,1/1/1855,01/01/2015,125.2858652,812.7792496,4.11E-06,/cs/tmp/tsd4/results/batch63-fs/20180716-010220:148,0,0,0.15,0.1,TRUE,147,5947.827544,NONE,0,328.372,591879,221222
20180716-011232:755,batch63-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595600,15625,TRUE,58439,1y,10y,124734,250024,250024,1/1/1855,01/01/2015,111.9468233,585.4911482,2.81E-06,/cs/tmp/tsd4/results/batch63-fs/20180716-011232:755,0,0,0.15,0.1,TRUE,147,6084.516496,NONE,0,312.95,529677,194635
