start.time,v.M
20180703-201453:930,31
20180703-201755:770,15
20180703-202301:348,19
20180703-202404:876,21
20180703-202536:532,66
20180703-202909:135,19
20180703-203348:218,42
20180703-203521:997,38
20180703-203704:596,55
20180703-204033:523,12
20180703-204434:820,9
20180703-204553:969,20
20180703-204756:140,17
20180703-205132:729,41
20180703-205544:696,18
20180703-205718:938,20
20180703-205859:492,8
20180703-210223:925,52
20180703-210622:949,26
20180703-210814:149,22
20180703-211010:659,27
20180703-211314:185,0
20180703-211652:938,11
20180703-211849:040,16
20180703-212059:155,15
20180703-212444:875,18
20180703-212659:902,22
20180703-213007:592,95
20180703-213156:446,37
20180703-213537:872,69
20180703-213730:696,16
20180703-214125:599,95
20180703-214244:017,16
20180703-214636:945,22
20180703-214828:395,1
20180703-215211:638,64
20180703-215332:495,7
20180703-215733:018,48
20180703-220228:429,28
20180703-220551:379,2
20180703-220753:138,43
20180703-221116:316,1
20180703-221613:211,0
20180703-221931:493,21
20180703-222223:300,67
20180703-222529:289,3
20180703-222953:135,22
20180703-223455:076,23
20180703-223641:018,23
20180703-224016:367,21
20180703-224204:791,23
20180703-224820:272,22
20180703-224905:016,24
20180703-225325:850,24
20180703-225429:519,22
20180703-230111:964,22
20180703-230213:554,22
20180703-230628:619,25
20180703-230718:228,22
20180703-231340:925,23
20180703-231559:916,24
20180703-232034:854,23
20180703-232019:294,18
20180703-232646:141,22
20180703-232915:012,23
20180703-233301:987,22
20180703-233322:320,23
20180703-233916:178,21
20180703-234248:867,22
20180703-234519:742,23
20180703-234625:412,25
20180703-235144:092,24
20180703-235534:325,25
20180703-235749:064,0
20180703-235923:953,23
20180704-000619:373,25
20180704-000858:895,26
20180704-001021:528,21
20180704-001237:224,21
20180704-002237:158,24
20180704-001950:830,23
20180704-002555:950,22
20180704-002314:392,61
20180704-003548:355,12
20180704-003558:000,0
20180704-003932:164,14
20180704-004020:936,42
20180704-005220:589,18
20180704-005306:643,3
20180704-005649:264,32
20180704-005621:499,20
20180704-010912:709,62
20180704-011106:877,75
20180704-011733:766,2
