start.time,v.M
20180703-150623:569,22
20180703-150739:388,15
20180703-150911:214,20
20180703-150833:253,21
20180703-151807:604,20
20180703-151904:637,41
20180703-152031:151,19
20180703-152047:625,21
20180703-152951:195,21
20180703-153056:433,19
20180703-153219:218,22
20180703-153256:068,18
20180703-154231:662,36
20180703-154235:987,74
20180703-154351:048,30
20180703-154446:576,21
20180703-155431:084,22
20180703-155452:088,21
20180703-155525:856,25
20180703-155716:467,42
20180703-160622:711,15
20180703-160642:677,23
20180703-160740:340,87
20180703-160904:353,65
20180703-161803:565,23
20180703-161822:632,19
20180703-161928:381,22
20180703-162119:275,19
20180703-163000:525,21
20180703-162937:833,19
20180703-163112:936,22
20180703-163306:281,22
20180703-164128:976,22
20180703-164146:561,18
20180703-164238:522,99
20180703-164454:055,22
20180703-165256:461,0
20180703-165326:331,7
20180703-165412:583,7
20180703-165651:945,0
20180703-170732:403,0
20180703-170817:398,8
20180703-170838:253,2
20180703-171130:119,8
20180703-172211:188,5
20180703-172242:244,0
20180703-172346:326,0
20180703-172621:188,0
20180703-173733:457,22
20180703-173759:836,20
20180703-173810:272,17
20180703-174105:353,44
20180703-174940:535,41
20180703-175002:542,16
20180703-175003:200,22
20180703-175315:044,73
20180703-180202:642,22
20180703-180144:288,22
20180703-180213:543,35
20180703-180529:035,20
20180703-181421:648,25
20180703-181357:144,17
20180703-181452:026,24
20180703-181745:185,17
20180703-182622:445,20
20180703-182650:718,20
20180703-182620:404,21
20180703-183036:309,22
20180703-183812:691,20
20180703-183859:425,22
20180703-183857:170,22
20180703-184254:375,22
20180703-185004:516,23
20180703-185056:399,22
20180703-185132:607,42
20180703-185459:247,21
20180703-190159:676,23
20180703-190250:668,16
20180703-190340:939,37
20180703-190713:413,17
20180703-191352:654,21
20180703-191442:596,18
20180703-191631:848,22
20180703-191927:589,25
20180703-192542:277,0
20180703-192707:939,44
20180703-192832:416,19
20180703-193147:235,75
20180703-194138:324,84
20180703-194225:564,65
20180703-194409:749,7
20180703-194714:972,40
20180703-195655:695,66
20180703-195744:498,61
20180703-195929:774,82
20180703-200240:935,55
20180703-201207:736,12
20180703-201311:993,44
