start.time,v.M
20180706-202713:020,17
20180706-202914:009,17
20180706-203141:647,22
20180706-200652:788,67
20180706-203236:879,23
20180706-203337:012,17
20180706-203347:995,23
20180706-203434:391,22
20180706-203602:322,20
20180706-203552:641,22
20180706-203632:128,40
20180706-203736:775,22
20180706-203415:757,25
20180706-203442:618,0
20180706-204044:457,18
20180706-204305:718,51
20180706-204210:455,16
20180706-204125:194,17
20180706-204359:842,16
20180706-204437:290,19
20180706-204510:446,53
20180706-204644:856,20
20180706-204659:626,21
20180706-204820:208,22
20180706-204724:819,38
20180706-204731:280,16
20180706-204835:512,2
20180706-203417:415,20
20180706-204944:697,1
20180706-205343:480,22
20180706-205304:328,23
20180706-205436:242,22
20180706-205530:040,63
