start.time,v.M
20180703-153348:245,18
20180703-153351:557,22
20180703-153433:111,9
20180703-153429:002,3
20180703-153528:638,9
20180703-153524:268,14
20180703-153629:232,9
20180703-153626:645,32
20180703-153237:701,7
20180703-153205:192,8
20180703-154346:406,16
20180703-154347:718,2
20180703-154417:818,46
20180703-154416:654,21
20180703-154726:713,13
20180703-154734:002,14
20180703-154643:744,73
20180703-154643:090,11
20180703-155412:559,11
20180703-155417:714,31
20180703-155421:483,14
20180703-155432:069,26
20180703-155832:927,14
20180703-155827:410,4
20180703-155909:328,21
20180703-155905:072,7
20180703-160409:020,5
20180703-160357:571,36
20180703-160449:603,10
20180703-155404:640,7
20180703-155403:247,36
20180703-160458:511,10
20180703-160915:140,22
20180703-160917:523,13
20180703-161605:583,8
20180703-161616:833,74
20180703-161642:765,23
20180703-161657:810,31
20180703-161215:800,9
20180703-161215:629,9
20180703-162255:660,15
20180703-162255:682,70
20180703-162625:253,17
20180703-162637:386,17
20180703-162655:440,43
20180703-162718:978,22
20180703-162732:384,21
20180703-161653:258,15
20180703-161653:279,13
20180703-162838:615,26
20180703-163406:292,11
20180703-163430:874,18
20180703-163648:417,12
20180703-163648:679,13
20180703-163718:397,18
20180703-163747:284,10
20180703-163911:364,59
20180703-164041:971,14
20180703-164554:432,16
20180703-164601:377,12
20180703-164720:011,14
20180703-164652:088,16
20180703-164657:433,13
20180703-164751:542,10
20180703-163918:696,10
20180703-163948:198,32
20180703-165400:842,8
20180703-170000:326,10
20180703-165314:529,13
20180703-170005:505,8
20180703-170000:573,6
20180703-170019:952,20
20180703-165645:562,13
20180703-165713:320,39
20180703-170855:991,6
20180703-170912:878,16
20180703-170912:685,14
20180703-170909:516,3
20180703-171057:036,15
20180703-171105:077,8
20180703-171750:031,0
20180703-170858:728,8
20180703-171819:464,15
20180703-171801:078,20
20180703-170743:467,69
20180703-171848:713,6
20180703-172022:178,14
20180703-172013:335,11
20180703-170637:396,8
20180703-170718:019,31
20180703-172637:626,57
20180703-172701:225,6
20180703-172700:326,12
20180703-172736:151,6
20180703-172645:142,5
20180703-172734:091,4
20180703-173007:296,10
20180703-173000:537,12
20180703-173836:368,19
20180703-173841:149,20
20180703-173718:134,11
20180703-173737:376,13
20180703-173045:115,8
20180703-174059:589,14
20180703-173847:368,15
20180703-173235:718,22
20180703-174324:222,10
20180703-173843:291,22
20180703-174949:585,50
20180703-174956:354,115
20180703-175107:366,17
20180703-175123:902,15
20180703-175452:965,80
20180703-175606:326,19
20180703-175539:161,15
20180703-175821:627,13
20180703-180049:855,23
20180703-180100:941,50
20180703-175350:541,30
20180703-175558:531,17
20180703-180415:200,14
20180703-180431:069,20
20180703-180700:305,15
20180703-180744:342,108
20180703-181200:673,41
20180703-181915:487,49
20180703-181302:756,2
20180703-181958:424,19
20180703-181837:006,2
20180703-181914:102,1
20180703-181113:548,9
20180703-180843:216,78
20180703-181633:977,6
20180703-183041:024,6
20180703-181807:310,8
20180703-183248:032,3
20180703-183644:157,50
20180703-183838:586,81
20180703-184606:408,14
