start.time,v.M
20180703-184733:344,8
20180703-190019:945,85
20180703-190433:598,15
20180703-190631:562,0
20180703-190740:318,5
20180703-191525:168,16
20180703-191738:495,16
20180703-192807:404,15
20180703-192717:965,15
20180703-193318:609,6
20180703-193517:325,2
20180703-194827:361,17
20180703-194849:273,11
20180703-201534:291,83
20180703-201720:765,58
20180703-203937:093,18
20180703-204133:288,67
20180703-210459:730,9
20180703-210455:241,16
20180703-212841:470,3
20180703-212936:915,0
20180704-110920:767,49
20180704-111018:234,38
20180704-111043:301,11
20180704-111112:428,66
20180704-111257:187,17
20180704-111343:166,8
20180704-111428:278,2
20180704-111456:206,3
20180704-111532:983,2
20180704-111906:936,73
20180704-111929:812,3
20180704-112055:458,10
20180704-112004:834,10
20180704-112131:972,11
20180704-112037:376,14
20180704-112215:511,9
20180704-112303:312,20
20180704-112315:613,4
20180704-112907:653,10
20180704-112956:153,11
20180704-112841:637,54
20180704-112857:200,79
20180704-113021:694,16
20180704-112934:916,18
20180704-113109:729,9
20180704-113105:408,14
20180704-113019:612,40
20180704-113724:703,12
20180704-113755:453,3
20180704-113832:955,8
20180704-113906:843,15
20180704-113828:873,21
20180704-113929:286,26
20180704-113826:814,10
20180704-113857:957,8
20180704-113959:541,24
20180704-114535:325,13
20180704-114551:882,6
20180704-114627:855,9
20180704-114706:342,34
20180704-114739:708,9
20180704-114751:639,18
20180704-114732:700,30
20180704-114805:629,36
20180704-114932:330,18
20180704-114603:221,51
20180704-114551:709,18
20180704-114608:311,61
20180704-114646:612,64
20180704-114746:890,6
20180704-114746:773,69
20180704-114755:453,61
20180704-115339:276,3
20180704-115355:286,13
20180704-115458:654,14
20180704-115521:328,20
20180704-115544:943,22
20180704-115709:040,11
20180704-115728:551,7
20180704-115725:281,44
20180704-115845:647,39
20180704-120138:953,10
20180704-120153:334,14
20180704-120252:375,9
20180704-120324:381,13
20180704-120340:065,16
20180704-120052:048,10
