start.time,v.M
20180704-121725:197,6
20180704-121820:889,5
20180704-123436:312,4
20180704-123442:472,13
20180704-123407:938,33
20180704-123433:107,34
20180704-123541:927,17
20180704-122610:875,10
20180704-122849:285,12
20180704-123530:196,14
20180704-123509:075,17
20180704-123707:238,7
20180704-123639:221,13
20180704-123207:635,17
20180704-122853:473,13
20180704-124244:138,13
20180704-124251:414,2
20180704-123856:775,87
20180704-124337:571,15
20180704-124311:548,8
20180704-123842:407,94
20180704-123746:080,77
20180704-124357:655,20
20180704-124335:515,11
20180704-124400:512,14
20180704-124509:938,27
20180704-124556:844,6
20180704-124357:387,96
20180704-123739:832,90
20180704-124351:791,92
20180704-124708:534,85
20180704-125204:130,12
20180704-125243:807,15
20180704-125251:805,30
20180704-123941:539,9
20180704-124011:677,43
20180704-124011:937,6
20180704-125220:472,0
20180704-122837:613,8
20180704-125508:610,19
20180704-125140:294,2
20180704-125221:709,0
20180704-125026:919,81
20180704-125914:087,35
20180704-125647:956,0
20180704-130446:221,0
20180704-130305:440,0
20180704-125939:385,0
20180704-125912:513,4
20180704-131025:559,0
20180704-130344:006,86
20180704-130247:558,12
20180704-130224:784,68
20180704-130207:926,20
20180704-131251:451,14
20180704-130557:169,0
20180704-131253:937,16
20180704-132148:533,0
20180704-131938:061,0
20180704-131922:111,0
20180704-132140:393,0
20180704-131842:236,0
20180704-131938:957,0
20180704-132521:695,0
20180704-132856:392,10
20180704-132537:241,0
20180704-132511:518,94
20180704-132516:528,88
20180704-133527:066,68
20180704-132506:034,96
20180704-133311:129,0
20180704-133258:033,0
20180704-133655:008,94
20180704-133355:277,92
20180704-133515:906,0
20180704-134314:010,90
20180704-133554:267,0
20180704-135449:230,0
20180704-134240:327,28
20180704-135723:419,0
20180704-135348:874,12
20180704-135550:819,0
20180704-135154:566,0
20180704-135409:856,8
20180704-135307:225,0
20180704-141034:929,6
20180704-135433:775,50
20180704-141253:363,18
20180704-141212:615,2
20180704-140508:546,0
20180704-140114:129,44
20180704-140510:182,73
20180704-141002:097,78
20180704-141526:311,0
20180704-141654:932,0
20180704-141319:807,0
20180704-142030:915,0
20180704-142328:788,2
20180704-141444:165,0
20180704-142613:379,0
20180704-142127:955,0
20180704-143035:192,0
20180704-142721:433,46
20180704-144456:857,0
20180704-143925:698,0
20180704-144226:359,2
20180704-144534:376,86
20180704-143856:941,0
20180704-144651:504,22
20180704-143226:783,0
20180704-145602:761,0
20180704-145146:794,83
20180704-145834:584,36
20180704-145231:318,71
20180704-144244:248,0
20180704-150656:732,43
20180704-150229:973,68
20180704-152701:673,0
20180704-152848:365,25
20180704-151418:627,84
20180704-150944:920,86
20180704-150514:418,76
20180704-152118:061,0
20180704-152600:922,28
20180704-150734:236,45
20180704-151051:660,0
20180704-153241:055,0
20180704-154336:303,0
20180704-154905:425,0
20180704-154030:393,39
20180704-154033:652,0
20180704-154509:348,2
20180704-154304:069,0
20180704-160128:876,0
20180704-160557:563,29
20180704-153942:994,92
20180704-154045:228,0
20180704-160730:336,0
20180704-161404:097,0
20180704-155238:151,0
