start.time,v.M
20180704-161519:518,14
20180704-160044:125,6
20180704-162119:615,2
20180704-145156:591,0
20180704-162525:154,47
20180704-160245:277,88
20180704-163001:763,0
20180704-161616:506,0
20180704-163233:224,2
20180704-163240:914,15
20180704-163205:619,0
20180704-163721:585,14
20180704-162743:945,22
20180704-163946:182,22
20180704-164130:518,49
20180704-164414:404,0
20180704-164611:255,0
20180704-163821:509,0
20180704-165015:036,0
20180704-165645:598,0
20180704-164508:135,68
20180704-170310:287,29
20180704-165522:917,74
20180704-170514:698,0
20180704-171625:245,3
20180704-172124:181,2
20180704-173215:882,0
20180704-173714:859,1
20180704-174918:322,0
20180705-134526:644,11
20180705-134543:190,27
20180705-134703:233,46
20180705-134622:874,0
20180705-134703:198,44
20180705-134623:950,0
20180705-134643:075,54
20180705-134642:399,28
20180705-134801:927,0
20180705-134807:612,6
20180705-135901:809,6
20180705-135827:912,41
20180705-135845:136,2
20180705-135923:539,80
20180705-135922:779,38
20180705-135923:776,8
20180705-135947:601,4
20180705-135959:089,39
20180705-140039:248,2
20180705-140055:522,35
20180705-134724:602,0
20180705-134723:639,0
20180705-140906:667,5
20180705-140912:202,14
20180705-140934:057,15
20180705-140926:338,5
20180705-140956:974,10
20180705-141010:965,20
20180705-141005:629,20
20180705-141027:433,5
20180705-141054:537,8
20180705-141109:178,12
20180705-141847:753,23
20180705-141936:075,29
20180705-141929:173,11
20180705-141943:273,18
20180705-142013:903,17
20180705-142017:754,8
20180705-142027:147,10
20180705-142025:005,13
20180705-142110:254,26
20180705-142054:146,14
20180705-142827:270,9
20180705-142929:081,16
20180705-141615:322,96
20180705-142937:049,54
20180705-141625:584,67
20180705-143011:429,13
20180705-143026:823,15
20180705-143100:545,8
20180705-143033:906,12
20180705-143028:358,14
20180705-143058:770,14
20180705-143110:528,8
20180705-143812:327,10
20180705-143907:793,10
20180705-143938:003,14
20180705-144041:373,1
20180705-144004:940,42
20180705-144030:111,8
20180705-144047:003,51
20180705-144047:840,27
20180705-144101:317,10
20180705-144059:309,6
20180705-144957:479,76
20180705-145055:736,9
20180705-145146:058,49
20180705-145212:336,66
20180705-145219:112,90
20180705-145231:162,61
20180705-143956:047,44
20180705-145255:065,48
20180705-145250:881,35
20180705-145331:852,24
20180705-143924:883,24
20180705-145345:235,26
20180705-145929:430,5
20180705-150010:489,20
20180705-150144:632,11
20180705-150125:172,19
20180705-150152:779,23
20180705-150236:446,15
20180705-150247:208,17
20180705-150301:787,35
20180705-150232:415,36
20180705-150325:360,8
20180705-150908:108,3
20180705-151013:023,10
20180705-151111:480,32
20180705-151124:076,21
20180705-151135:460,20
20180705-151224:120,12
20180705-151222:045,13
20180705-151220:486,49
20180705-151244:430,6
20180705-151309:710,8
20180705-150236:335,14
20180705-150302:172,81
20180705-151805:069,10
20180705-151913:416,28
20180705-152026:446,62
20180705-152114:738,21
20180705-152130:941,56
20180705-152145:371,29
20180705-152153:720,7
20180705-152216:315,8
20180705-152200:086,12
20180705-152236:729,16
20180705-152717:610,7
20180705-152857:815,13
20180705-152943:705,9
