start.time,v.M
20180705-153128:249,26
20180705-153051:604,12
20180705-153105:927,13
20180705-153155:075,31
20180705-153201:075,10
20180705-153156:538,17
20180705-153143:621,21
20180705-152450:886,48
20180705-152549:718,25
20180705-153840:482,32
20180705-154038:428,16
20180705-154128:426,97
20180705-154313:938,94
20180705-154327:833,27
20180705-154324:971,59
20180705-154330:813,62
20180705-154340:714,31
20180705-154337:149,23
20180705-154333:213,96
20180705-154820:039,20
20180705-154951:645,12
20180705-155124:324,30
20180705-155238:226,25
20180705-155321:219,14
20180705-155317:571,52
20180705-155316:757,26
20180705-155326:955,7
20180705-155314:416,43
20180705-155313:224,33
20180705-155759:864,25
20180705-155933:928,11
20180705-160102:059,31
20180705-160222:981,20
20180705-160253:351,33
20180705-160243:705,11
20180705-160300:317,13
20180705-160243:666,21
20180705-160326:450,9
20180705-160327:598,24
20180705-154653:811,14
20180705-154759:476,24
20180705-160711:714,9
20180705-160906:106,15
20180705-161053:807,24
20180705-161202:499,50
20180705-161210:876,14
20180705-161226:952,16
20180705-161232:654,25
20180705-161227:761,8
20180705-161342:433,11
20180705-161347:246,8
20180705-161414:825,43
20180705-161536:669,8
20180705-163557:591,19
20180705-163714:110,81
20180705-165656:457,35
20180705-165921:018,12
20180705-171800:885,26
20180705-172131:713,29
20180705-173906:060,8
20180705-174322:655,34
20180705-180505:806,48
20180705-180926:707,11
20180705-182601:421,8
20180705-183050:251,12
20180705-184754:538,18
20180705-185203:481,10
20180705-191020:282,40
20180705-191342:923,24
20180706-123424:355,32
20180706-123419:959,0
20180706-123133:519,53
20180706-123133:520,9
20180706-123200:055,0
20180706-123158:211,3
20180706-123223:855,0
20180706-123507:004,59
20180706-123506:341,30
20180706-123224:192,2
20180706-123303:004,0
20180706-123303:005,17
20180706-123722:423,66
20180706-123720:224,89
20180706-123813:957,84
20180706-123639:730,4
20180706-123644:235,10
20180706-123815:962,6
20180706-123945:365,2
20180706-123936:129,73
20180706-124011:054,12
20180706-124016:289,62
20180706-124043:007,6
20180706-124128:084,17
20180706-124450:100,1
20180706-124448:736,51
20180706-124451:312,96
20180706-124504:581,10
20180706-124559:958,91
20180706-124554:884,72
20180706-124520:210,61
20180706-124610:540,39
20180706-124528:060,64
20180706-124553:711,9
20180706-124629:170,19
20180706-124602:352,81
20180706-124826:838,18
20180706-124842:739,13
20180706-124815:202,2
20180706-124808:389,103
20180706-125001:878,26
20180706-124952:201,37
20180706-124958:784,92
20180706-124956:856,9
20180706-124829:755,109
20180706-124838:718,79
20180706-125047:291,39
20180706-123846:866,12
20180706-125143:298,6
20180706-123846:865,59
20180706-123328:603,30
20180706-123329:364,4
20180706-125540:006,12
20180706-125536:346,26
20180706-125628:656,22
20180706-125638:689,4
20180706-125852:346,8
20180706-125905:130,76
20180706-125651:362,14
20180706-125619:535,6
20180706-125617:549,8
20180706-125704:809,13
20180706-125650:264,1
20180706-125703:966,11
20180706-125702:587,16
20180706-125708:532,12
20180706-130027:099,92
20180706-130037:145,46
20180706-125938:772,24
20180706-130036:496,16
20180706-125929:168,74
