start.time,v.M
20180706-163026:718,39
20180706-163132:801,2
20180706-163119:474,59
20180706-163148:328,47
20180706-163801:642,8
20180706-164051:439,60
20180706-164155:526,11
20180706-164159:483,18
20180706-164158:469,34
20180706-163900:503,14
20180706-165113:246,8
20180706-165217:729,31
20180706-165217:722,95
20180706-165234:512,31
20180706-165109:543,9
20180706-165250:496,10
20180706-170115:257,7
20180706-170230:693,8
20180706-170218:021,65
20180706-170237:712,30
20180706-170411:462,10
20180706-170556:957,10
20180706-171134:638,32
20180706-171236:425,10
20180706-171242:478,18
20180706-171301:553,84
20180706-171710:044,0
20180706-172154:006,96
20180706-171915:865,11
20180706-172253:842,111
20180706-172301:693,78
20180706-172320:840,54
20180706-173145:349,76
20180706-172942:794,9
20180706-173314:630,22
20180706-173300:041,24
20180706-173317:946,104
20180706-173229:801,17
20180706-174147:078,22
20180706-174251:403,16
20180706-174310:495,28
20180706-174352:898,53
20180706-174207:377,5
20180706-174546:517,10
20180706-175224:000,66
20180706-175248:850,27
20180706-175339:926,26
20180706-175236:243,8
20180706-175448:600,13
20180706-175858:836,16
20180706-180223:351,13
20180706-180327:440,16
20180706-180259:674,34
20180706-180329:629,17
20180706-180745:386,50
20180706-181229:554,39
20180706-181334:699,4
20180706-181351:760,5
20180706-181351:764,34
20180706-181211:468,9
20180706-181751:103,57
20180706-182210:723,45
20180706-182318:703,53
20180706-182346:309,31
20180706-182421:678,58
20180706-182500:839,4
20180706-182816:453,10
20180706-183155:861,35
20180706-183332:396,23
20180706-183350:107,9
20180706-183442:479,15
20180706-183807:905,11
20180706-183751:664,9
20180706-184119:540,22
20180706-184307:947,72
20180706-184354:349,77
20180706-184449:556,56
20180706-184809:649,50
20180706-185203:029,43
20180706-185109:359,8
20180706-185345:897,34
20180706-185429:900,26
20180706-185451:559,11
20180706-185854:264,19
20180706-190140:023,90
20180706-190411:047,79
20180706-190421:545,16
20180706-190437:281,11
20180706-190331:930,2
20180706-190854:976,31
20180706-191135:022,68
20180706-191416:921,7
20180706-191414:196,56
20180706-191552:135,15
20180706-191555:570,8
20180706-191925:431,79
20180706-192933:768,20
20180706-192846:707,4
20180706-193954:287,48
20180706-194216:230,5
20180706-195415:502,6
20180706-200609:941,11
20180709-112530:838,2
20180709-112618:836,17
20180709-112641:665,13
20180709-112726:623,55
20180709-112728:218,12
20180709-112459:116,0
20180709-112834:344,80
20180709-112836:484,0
20180709-112909:441,0
20180709-112947:321,12
20180709-113106:469,8
20180709-113030:980,0
20180709-113151:824,22
20180709-113156:398,10
20180709-113245:316,16
20180709-113244:407,11
20180709-113528:548,84
20180709-113657:550,29
20180709-113657:500,2
20180709-112349:507,30
20180709-113749:330,41
20180709-113825:920,88
20180709-114026:679,38
20180709-113832:650,2
20180709-114022:249,12
20180709-114029:311,8
20180709-114147:683,46
20180709-114122:205,8
20180709-114239:835,12
20180709-114157:718,9
20180709-114233:742,47
20180709-114309:750,50
20180709-114330:628,75
20180709-112416:215,0
20180709-114546:590,71
20180709-114705:402,20
20180709-114712:440,95
20180709-114815:995,68
