start.time,v.M
20180709-114907:326,11
20180709-115143:025,10
20180709-115150:834,13
20180709-115210:544,8
20180709-115257:147,13
20180709-115311:465,18
20180709-115243:252,7
20180709-115317:726,46
20180709-115310:245,14
20180709-115356:523,14
20180709-115414:932,8
20180709-115150:416,8
20180709-115537:581,89
20180709-115712:078,48
20180709-115717:855,75
20180709-115844:802,25
20180709-115938:871,44
20180709-120116:496,9
20180709-120112:603,8
20180709-120115:841,21
20180709-114715:210,14
20180709-120213:772,8
20180709-120224:280,18
20180709-120244:696,14
20180709-120337:503,13
20180709-120355:917,13
20180709-120415:714,16
20180709-120449:206,48
20180709-120520:341,6
20180709-120722:626,69
20180709-120722:612,48
20180709-120451:757,8
20180709-121022:128,27
20180709-121026:586,8
20180709-121039:727,26
20180709-120903:241,34
20180709-121116:196,34
20180709-121141:728,20
20180709-121012:507,9
20180709-121303:991,6
20180709-121414:866,14
20180709-121429:507,64
20180709-121447:253,21
20180709-121521:659,11
20180709-121510:194,23
20180709-115457:614,7
20180709-121730:888,7
20180709-121741:745,43
20180709-121933:776,8
20180709-121930:644,4
20180709-121937:624,5
20180709-122033:731,8
20180709-122018:608,12
20180709-121955:570,43
20180709-121755:882,8
20180709-122056:212,21
20180709-122240:054,41
20180709-122450:345,9
20180709-122410:062,27
20180709-122503:452,38
20180709-122458:886,20
20180709-122448:847,20
20180709-121114:138,12
20180709-122711:213,23
20180709-122739:492,18
20180709-122854:319,13
20180709-122854:510,29
20180709-122902:829,6
20180709-122955:307,18
20180709-122950:011,8
20180709-122956:721,15
20180709-123055:515,10
20180709-123243:808,11
20180709-123050:771,2
20180709-123431:093,19
20180709-123435:264,12
20180709-123424:520,20
20180709-123455:211,18
20180709-123500:034,14
20180709-123810:396,7
20180709-123815:154,9
20180709-123816:465,20
20180709-123736:235,4
20180709-123833:305,15
20180709-123745:483,18
20180709-123903:531,13
20180709-124001:844,23
20180709-124057:276,77
20180709-124255:551,9
20180709-124350:435,7
20180709-124355:950,23
20180709-124423:313,62
20180709-124403:148,15
20180709-124433:765,19
20180709-124325:202,12
20180709-124725:891,2
20180709-124746:202,15
20180709-123537:234,66
20180709-122645:166,3
20180709-125137:443,2
20180709-125023:397,41
20180709-125042:146,14
20180709-125306:066,11
20180709-125406:745,3
20180709-125358:368,8
20180709-125411:393,10
20180709-125404:007,12
20180709-125706:923,7
20180709-125727:085,24
20180709-125919:758,12
20180709-125603:474,38
20180709-130032:850,27
20180709-130047:114,62
20180709-130210:371,16
20180709-130258:491,28
20180709-130253:779,12
20180709-130314:124,20
20180709-130733:119,4
20180709-125910:031,55
20180709-131907:422,6
20180709-125910:032,10
20180709-132319:646,10
20180709-134107:352,4
20180709-133947:911,0
20180709-134143:739,5
20180709-134141:817,2
20180709-133951:577,6
20180709-134016:900,37
20180709-134012:510,24
20180709-134253:122,0
20180709-134257:252,56
20180709-134039:923,12
20180709-134324:053,1
20180709-134421:477,0
20180709-134329:337,12
20180709-134353:869,10
20180709-134356:943,28
20180709-133053:337,8
20180709-135057:522,15
20180709-135135:308,10
