start.time,v.M
20180709-135134:380,48
20180709-135238:828,65
20180709-135333:481,42
20180709-135129:926,50
20180709-135250:409,23
20180709-135155:547,13
20180709-135336:592,2
20180709-135332:819,14
20180709-135411:938,11
20180709-135419:908,12
20180709-135223:462,78
20180709-135233:154,41
20180709-135307:195,31
20180709-134700:538,27
20180709-140126:977,9
20180709-140133:941,30
20180709-140120:978,10
20180709-140256:703,103
20180709-140236:876,31
20180709-140320:444,0
20180709-140338:140,53
20180709-140355:317,18
20180709-140422:948,34
20180709-140418:953,22
20180709-140329:479,8
20180709-140318:472,21
20180709-140442:729,26
20180709-140501:326,6
20180709-140525:676,68
20180709-141047:500,12
20180709-141155:400,37
20180709-141106:584,10
20180709-141129:125,7
20180709-141222:207,26
20180709-141311:212,34
20180709-141326:621,2
20180709-141340:845,10
20180709-141428:686,3
20180709-141425:876,32
20180709-141518:325,12
20180709-141509:271,14
20180709-141619:918,4
20180709-141630:306,0
20180709-141730:252,49
20180709-142059:814,7
20180709-142051:554,14
20180709-140059:986,4
20180709-142126:243,81
20180709-142146:602,55
20180709-142124:966,34
20180709-142249:233,14
20180709-142256:444,27
20180709-142308:852,97
20180709-141043:807,25
20180709-142413:402,4
20180709-142424:486,15
20180709-142651:560,10
20180709-142644:841,12
20180709-142751:796,42
20180709-143005:073,12
20180709-142756:763,12
20180709-143023:247,19
20180709-143053:871,16
20180709-143112:731,16
20180709-143116:133,30
20180709-142933:227,17
20180709-143218:944,64
20180709-143301:482,16
20180709-143255:812,20
20180709-143402:528,97
20180709-143422:679,22
20180709-143922:963,12
20180709-143946:089,86
20180709-144051:873,37
20180709-143820:819,51
20180709-144026:063,25
20180709-144024:542,13
20180709-143909:366,28
20180709-143824:299,56
20180709-143939:025,11
20180709-144220:402,11
20180709-144234:367,43
20180709-144233:694,51
20180709-144052:554,20
20180709-144341:886,15
20180709-144354:778,18
20180709-144805:694,19
20180709-143320:448,52
20180709-144951:173,28
20180709-144858:714,16
20180709-145014:818,6
20180709-145009:738,6
20180709-143043:296,6
20180709-145149:730,0
20180709-145027:525,10
20180709-144954:819,13
20180709-145230:567,6
20180709-145111:342,1
20180709-145229:107,4
20180709-145310:962,33
20180709-145326:597,24
20180709-145044:965,32
20180709-145246:695,82
20180709-145634:106,34
20180709-145901:171,39
20180709-145855:432,28
20180709-145935:448,9
20180709-145935:775,30
20180709-150122:327,8
20180709-150152:986,3
20180709-150148:507,8
20180709-150234:520,27
20180709-150243:998,17
20180709-150140:474,18
20180709-150149:239,11
20180709-150140:203,27
20180709-150513:711,19
20180709-150249:704,12
20180709-150357:598,25
20180709-150812:488,42
20180709-150835:276,1
20180709-150845:933,12
20180709-150910:297,26
20180709-151101:492,0
20180709-145643:902,19
20180709-151116:436,7
20180709-151116:620,5
20180709-151234:404,55
20180709-151240:532,23
20180709-150045:900,7
20180709-153009:537,14
20180709-155932:879,13
