start.time,v.M
20180704-115919:242,8
20180704-120041:317,20
20180704-120214:086,10
20180704-120053:523,13
20180704-115902:367,10
20180704-115912:679,6
20180704-120627:133,34
20180704-120638:412,15
20180704-114827:221,34
20180704-120733:250,31
20180704-120214:224,14
20180704-120020:022,6
20180704-114827:808,68
20180704-120945:933,14
20180704-120831:397,14
20180704-114835:825,35
20180704-120959:237,22
20180704-121104:175,7
20180704-121133:979,19
20180704-121151:909,16
20180704-121547:599,9
20180704-121541:996,85
20180704-121358:031,21
20180704-121702:774,31
20180704-121511:303,2
20180704-121408:703,49
20180704-121756:827,25
20180704-121826:556,4
20180704-121917:439,16
20180704-121239:528,15
20180704-121357:351,45
20180704-121934:844,7
20180704-121816:260,49
20180704-122029:404,23
20180704-121511:649,37
20180704-121711:278,12
