start.time,v.M
20180705-132247:278,0
20180705-132319:449,0
20180705-132323:336,12
20180705-132315:340,0
20180705-132326:864,8
20180705-134638:071,0
20180705-134709:630,0
20180705-134704:292,0
20180705-134821:103,0
20180705-134731:973,2
20180705-141237:725,0
20180705-141205:016,0
20180705-141222:545,22
20180705-141351:674,0
20180705-141357:071,0
20180705-143718:925,0
20180705-143740:918,0
20180705-143748:394,0
20180705-143837:704,0
20180705-143915:142,0
20180705-150310:636,0
20180705-150202:869,0
20180705-150431:694,0
20180705-150354:252,4
20180705-150305:915,0
20180705-152743:593,0
20180705-152747:012,0
20180705-153022:760,0
20180705-152938:331,0
20180705-153006:629,0
20180705-155249:461,37
20180705-155332:980,0
20180705-155454:915,100
20180705-155446:543,39
20180705-155600:391,29
20180705-162551:949,67
20180705-162532:877,24
20180705-162824:112,43
20180705-163005:821,49
20180705-163007:282,63
20180705-165751:938,0
20180705-165847:935,0
20180705-170143:149,0
20180705-170332:821,0
20180705-170529:789,0
20180705-172328:214,0
20180705-172443:381,0
20180705-172800:821,0
20180705-172927:766,0
20180705-173218:764,0
20180705-174908:694,3
20180705-175140:035,0
20180705-175500:761,2
20180705-175436:603,0
20180705-180143:568,0
20180705-181621:882,2
20180705-181757:144,0
20180705-182044:273,0
20180705-182102:971,27
20180705-182814:761,0
20180705-184210:421,0
20180705-184409:539,4
20180705-184654:959,0
20180705-184909:800,60
20180705-185659:121,0
20180705-190753:846,0
20180705-191038:489,0
20180705-191317:840,0
20180705-191700:880,0
20180705-192517:799,0
20180705-193337:188,25
20180705-193638:297,24
20180705-193911:698,25
20180705-194334:367,30
20180705-195151:487,23
20180705-200723:052,24
20180705-201047:584,40
20180705-201433:085,26
20180705-201716:303,26
20180705-202653:290,24
20180705-204101:053,0
20180705-204616:835,0
20180705-204926:185,0
20180705-205124:936,0
20180705-210138:670,0
20180705-210354:847,0
20180705-211030:009,0
20180705-211258:163,0
20180705-211438:408,14
20180705-212651:802,0
20180705-212650:159,4
20180705-213344:124,1
20180705-213804:571,0
20180705-213648:798,0
20180705-215046:279,0
20180705-215147:860,50
20180705-215731:342,5
20180705-220216:376,0
20180705-220215:246,0
20180705-221504:851,0
20180705-221632:007,20
20180705-222120:588,8
20180705-222556:187,1
20180705-222616:607,0
20180705-223731:061,0
20180705-223932:962,42
20180705-224445:252,0
20180705-224928:602,0
20180705-224946:194,0
20180705-230322:077,1
20180705-225950:253,41
20180705-230930:869,68
20180705-231258:541,79
20180705-231249:131,38
20180705-232722:117,80
20180705-233108:012,94
20180705-234002:927,83
20180705-234349:500,6
20180705-234600:709,52
20180706-000103:285,0
20180706-000032:002,77
20180706-001155:996,0
20180706-001604:959,2
20180706-001823:493,2
20180706-002802:158,2
20180706-003216:184,4
20180706-003953:176,2
20180706-004334:781,0
20180706-004524:877,0
20180706-005448:412,10
20180706-010043:467,2
20180706-010727:134,2
20180706-011059:411,2
20180706-011222:991,0
20180706-012200:170,0
20180706-012814:878,5
20180706-013606:735,0
20180706-013838:037,13
20180706-013933:740,7
20180706-014844:104,6
20180706-015710:156,2
20180706-020300:283,2
20180706-020625:211,0
20180706-020649:335,8
20180706-021622:664,0
20180706-022511:746,0
20180706-023032:529,2
