start.time,action,v.M
20180712-171421:955,RETAIN,21
20180712-171419:444,RETAIN,13
20180712-171533:531,RETAIN,10
20180712-171529:049,RETAIN,29
20180712-171458:512,RETAIN,8
20180712-171456:781,RETAIN,16
20180712-171735:065,RETAIN,0
20180712-171732:596,RETAIN,0
20180712-171825:196,RETAIN,0
20180712-171823:112,RETAIN,38
20180712-171855:598,RETAIN,23
20180712-171906:350,RETAIN,17
20180712-172514:823,RETAIN,3
20180712-171659:273,RETAIN,95
20180712-172422:588,RETAIN,7
20180712-172518:254,RETAIN,9
20180712-172315:472,RETAIN,4
20180712-172425:337,RETAIN,37
20180712-171653:487,RETAIN,60
20180712-172239:587,RETAIN,4
20180712-172240:363,RETAIN,15
20180712-172312:950,RETAIN,2
20180712-172212:131,RETAIN,0
20180712-172252:631,RETAIN,19
20180712-172215:149,RETAIN,3
20180712-172345:353,RETAIN,95
20180712-172234:934,RETAIN,44
20180712-172343:269,RETAIN,96
20180712-172018:137,RETAIN,21
20180712-171922:343,RETAIN,16
20180712-172404:557,RETAIN,13
20180712-172000:786,RETAIN,24
20180712-171322:742,RETAIN,18
20180712-171940:523,RETAIN,18
20180712-171316:800,RETAIN,33
20180712-172251:760,RETAIN,58
20180712-172429:479,RETAIN,15
20180712-172250:577,RETAIN,0
20180712-172548:043,RETAIN,73
20180712-172549:755,RETAIN,20
20180712-172953:428,RETAIN,32
20180712-172947:705,RERUN,7
20180712-172523:696,RETAIN,39
20180712-172904:048,RETAIN,8
20180712-172957:427,RETAIN,79
20180712-173023:516,RETAIN,8
20180712-172926:338,RETAIN,103
20180712-172544:697,RETAIN,16
20180712-172924:670,RETAIN,34
20180712-172958:679,RETAIN,22
20180712-172952:832,RETAIN,95
20180712-172952:754,RETAIN,8
20180712-173011:633,RETAIN,8
20180712-173030:524,RETAIN,10
20180712-173137:955,RETAIN,76
20180712-173045:927,RETAIN,10
20180712-173035:011,RETAIN,11
20180712-172903:924,RETAIN,101
20180712-172849:117,RETAIN,62
20180712-173020:257,RETAIN,91
20180712-173539:518,RETAIN,11
20180712-173528:897,RETAIN,5
20180712-173203:208,RETAIN,28
20180712-173533:355,RETAIN,18
20180712-173257:403,RETAIN,12
20180712-173330:589,RETAIN,18
20180712-173212:944,RETAIN,21
20180712-173640:137,RETAIN,98
20180712-173607:631,RETAIN,21
20180712-173807:996,RETAIN,6
20180712-173605:924,RETAIN,7
20180712-173742:482,RETAIN,63
20180712-173931:377,RETAIN,5
20180712-173545:213,RETAIN,43
20180712-174140:149,RETAIN,26
20180712-172340:436,RETAIN,47
20180712-174135:988,RETAIN,24
20180712-173823:514,RETAIN,15
20180712-173957:256,RETAIN,6
20180712-173948:532,RETAIN,86
20180712-174019:977,RETAIN,76
20180712-172414:907,RETAIN,13
20180712-173915:793,RETAIN,11
20180712-174016:699,RETAIN,106
20180712-174021:315,RETAIN,4
20180712-174141:862,RETAIN,35
20180712-174200:457,RETAIN,19
20180712-173621:707,RETAIN,20
20180712-174213:648,RETAIN,41
20180712-174204:669,RETAIN,25
20180712-174005:785,RETAIN,6
20180712-174258:220,RETAIN,10
20180712-174439:399,RETAIN,40
20180712-174425:783,RETAIN,13
20180712-174337:853,RETAIN,15
20180712-174515:649,RETAIN,20
20180712-174249:954,RETAIN,37
20180712-174743:706,RETAIN,14
20180712-174754:025,RETAIN,14
20180712-174633:839,RETAIN,54
20180712-174630:312,RETAIN,5
20180712-174651:247,RETAIN,80
20180712-174622:055,RETAIN,80
20180712-174946:502,RETAIN,66
20180712-174730:779,RETAIN,24
20180712-174627:880,RETAIN,26
20180712-174746:277,RETAIN,20
20180712-174736:004,RETAIN,8
20180712-174756:553,RETAIN,18
20180712-174818:705,RETAIN,53
20180712-174902:666,RETAIN,12
20180712-174938:898,RETAIN,13
20180712-174800:013,RETAIN,75
20180712-174811:820,RETAIN,73
20180712-175029:424,RETAIN,57
20180712-174934:511,RETAIN,10
20180712-175343:214,RETAIN,20
20180712-175328:024,RETAIN,12
20180712-175024:841,RETAIN,48
20180712-175250:254,RETAIN,3
20180712-173512:959,RETAIN,49
20180712-175424:404,RETAIN,24
20180712-175037:120,RERUN,19
20180712-174951:770,RETAIN,22
20180712-175313:771,RETAIN,34
20180712-173613:626,RETAIN,46
20180712-175510:657,RETAIN,27
20180712-175636:757,RETAIN,25
20180712-175252:083,RETAIN,55
20180712-175336:578,RETAIN,37
20180712-175540:615,RETAIN,80
20180712-175722:657,RETAIN,13
20180712-175601:927,RETAIN,14
20180712-175952:040,RETAIN,9
20180712-175937:669,RETAIN,28
20180712-175852:578,RETAIN,26
20180712-175730:335,RETAIN,49
20180712-175834:528,RETAIN,96
20180712-175934:587,RETAIN,10
20180712-175638:008,RETAIN,28
20180712-180006:068,RETAIN,13
20180712-175754:602,RETAIN,11
20180712-175642:754,RETAIN,6
20180712-175908:578,RETAIN,8
20180712-175745:820,RETAIN,45
20180712-175941:240,RETAIN,2
20180712-180203:582,RETAIN,9
20180712-180000:499,RETAIN,19
20180712-180237:984,RETAIN,8
20180712-180534:624,RETAIN,13
20180712-180225:633,RETAIN,7
20180712-180309:338,RETAIN,30
20180712-180300:392,RETAIN,101
