start.time,v.M
20180720-122252:033,10
20180720-122210:221,70
20180720-122303:471,2
20180720-124904:223,2
20180720-125016:481,12
20180720-125110:119,7
20180720-131810:615,70
20180720-132447:451,28
20180720-132513:216,0
20180720-134701:703,5
20180720-135613:457,46
20180720-135358:081,9
20180720-141545:112,9
20180720-142609:097,2
20180720-142642:654,14
20180720-144439:619,29
20180720-145851:885,0
20180720-145652:459,9
20180720-151430:667,0
20180720-152819:537,4
20180720-152851:752,22
20180720-154255:037,11
20180720-155715:660,12
