Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180703-153348:245,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,528984,15625,TRUE,58439,1y,10y,110706,222267,222267,1/1/1855,01/01/2015,49.91378099,229.5416423,5.47E-06,src/main/resources/valipop/results/batch54-fs/20180703-153348:245,0,0,0.6,0.6,TRUE,147,4118.19816,NONE,18,316.1426209
20180703-153351:557,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592402,15625,TRUE,58439,1y,10y,123986,248755,248755,1/1/1855,01/01/2015,47.98585586,226.6020165,6.36E-06,src/main/resources/valipop/results/batch54-fs/20180703-153351:557,0,0,0.6,0.6,TRUE,147,4008.219152,NONE,22,318.6163404
20180703-153433:111,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,529288,15625,TRUE,58439,1y,10y,110775,222213,222213,1/1/1855,01/01/2015,42.44060233,228.1624567,7.54E-06,src/main/resources/valipop/results/batch54-fs/20180703-153433:111,0,0,0.6,0.6,TRUE,147,4448.378584,NONE,3,309.7466547
20180703-153429:002,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,527519,15625,TRUE,58439,1y,10y,110416,221676,221676,1/1/1855,01/01/2015,45.78894139,232.0628812,6.09E-06,src/main/resources/valipop/results/batch54-fs/20180703-153429:002,0,0,0.6,0.6,TRUE,147,4588.8614,NONE,3,307.9989834
20180703-153528:638,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,526451,15625,TRUE,58439,1y,10y,110210,220902,220902,1/1/1855,01/01/2015,45.21216613,285.8216859,6.06E-06,src/main/resources/valipop/results/batch54-fs/20180703-153528:638,0,0,0.6,0.6,TRUE,147,4656.027888,NONE,9,338.8597341
20180703-153524:268,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593265,15625,TRUE,58439,1y,10y,124123,249018,249018,1/1/1855,01/01/2015,52.99492031,288.3309564,8.41E-06,src/main/resources/valipop/results/batch54-fs/20180703-153524:268,0,0,0.6,0.6,TRUE,147,4651.570968,NONE,14,333.1910415
20180703-153629:232,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,530020,15625,TRUE,58439,1y,10y,110931,222576,222576,1/1/1855,01/01/2015,52.62341739,239.0753928,7.51E-06,src/main/resources/valipop/results/batch54-fs/20180703-153629:232,0,0,0.6,0.6,TRUE,147,4204.196032,NONE,9,362.0885586
20180703-153626:645,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,590055,15625,TRUE,58439,1y,10y,123471,247859,247859,1/1/1855,01/01/2015,49.71232506,249.7219392,6.48E-06,src/main/resources/valipop/results/batch54-fs/20180703-153626:645,0,0,0.6,0.6,TRUE,147,4428.581848,NONE,32,364.9394501
20180703-153237:701,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,529021,15625,TRUE,58439,1y,10y,110761,221897,221897,1/1/1855,01/01/2015,90.33442111,480.5874101,9.47E-06,src/main/resources/valipop/results/batch54-fs/20180703-153237:701,0,0,0.6,0.6,TRUE,147,4562.273496,NONE,7,710.5058702
20180703-153205:192,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,529356,15625,TRUE,58439,1y,10y,110948,221980,221980,1/1/1855,01/01/2015,102.2873224,504.7304595,8.54E-06,src/main/resources/valipop/results/batch54-fs/20180703-153205:192,0,0,0.6,0.6,TRUE,147,4654.207424,NONE,8,708.4907185
20180703-154346:406,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596306,15625,TRUE,58439,1y,10y,124818,250279,250279,1/1/1855,01/01/2015,50.65696937,243.4992872,2.77E-06,src/main/resources/valipop/results/batch54-fs/20180703-154346:406,0,0,0.6,0.3,TRUE,147,4707.24884,NONE,16,330.2960093
20180703-154347:718,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,623675,15625,TRUE,58439,1y,10y,130477,261951,261951,1/1/1855,01/01/2015,47.49438258,260.5374071,2.36E-06,src/main/resources/valipop/results/batch54-fs/20180703-154347:718,0,0,0.6,0.3,TRUE,147,4794.349712,NONE,2,320.5314151
20180703-154417:818,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593402,15625,TRUE,58439,1y,10y,124166,249476,249476,1/1/1855,01/01/2015,45.80865768,225.5361578,2.70E-06,src/main/resources/valipop/results/batch54-fs/20180703-154417:818,0,0,0.6,0.3,TRUE,147,4699.561856,NONE,46,326.6007241
20180703-154416:654,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,664701,15625,TRUE,58439,1y,10y,139132,279220,279220,1/1/1855,01/01/2015,46.2393583,243.09015,2.39E-06,src/main/resources/valipop/results/batch54-fs/20180703-154416:654,0,0,0.6,0.3,TRUE,147,4503.96616,NONE,21,323.8021332
