Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks,Seed,CT Tree Stepback,CT Tree Precision,Hostname,Oversized Geography Factor
2021-01-05T22:17:59.836513,dr-final,0b835baee8f90c6b98a6f8851a862b60f2111ac2,src/main/resources/valipop/inputs/synthetic-non-scot-population,4729454,6000,true,29220,P1Y,P10Y,253542,4159645,4159645,1940-01-01,2020-01-01,1122.360975928,2310.385690101,255.581677673,/Users/tdalton/tom/phd/dr-final/dr-final/2021-01-05T22:17:59.836513,0.0,0.0,0.7,0.0,true,P147D,9523.363624,TD,4.0,116.992850887,1290481,177,1568639344,0,1.0E-66,tdalton-macOS,1.0
2021-01-05T23:22:27.358628,dr-final,0b835baee8f90c6b98a6f8851a862b60f2111ac2,src/main/resources/valipop/inputs/synthetic-non-scot-population,4831452,6000,true,29220,P1Y,P10Y,258475,4248931,4248931,1940-01-01,2020-01-01,1177.915198549,2089.501243533,172.284636942,/Users/tdalton/tom/phd/dr-final/dr-final/2021-01-05T23:22:27.358628,0.0,0.0,0.7,0.0,true,P147D,9358.399168,TD,0.0,113.340799266,1323787,222,-1480150755,0,1.0E-66,tdalton-macOS,1.0
2021-01-06T00:23:09.940335,dr-final,0b835baee8f90c6b98a6f8851a862b60f2111ac2,src/main/resources/valipop/inputs/synthetic-non-scot-population,4824158,6000,true,29220,P1Y,P10Y,256961,4235231,4235231,1940-01-01,2020-01-01,1185.26822131,2120.098742581,229.129295701,/Users/tdalton/tom/phd/dr-final/dr-final/2021-01-06T00:23:09.940335,0.0,0.0,0.7,0.0,true,P147D,10839.612472,TD,2.0,110.218391153,1321460,217,-563070759,0,1.0E-66,tdalton-macOS,1.0
2021-01-06T01:25:24.637871,dr-final,0b835baee8f90c6b98a6f8851a862b60f2111ac2,src/main/resources/valipop/inputs/synthetic-non-scot-population,4784575,6000,true,29220,P1Y,P10Y,255659,4206245,4206245,1940-01-01,2020-01-01,1192.527163925,1948.947561824,167.41985781,/Users/tdalton/tom/phd/dr-final/dr-final/2021-01-06T01:25:24.637871,0.0,0.0,0.7,0.0,true,P147D,10573.128184,TD,6.0,117.172221265,1306780,223,1363128464,0,1.0E-66,tdalton-macOS,1.0
2021-01-06T02:23:36.629140,dr-final,0b835baee8f90c6b98a6f8851a862b60f2111ac2,src/main/resources/valipop/inputs/synthetic-non-scot-population,2418272,3000,true,29220,P1Y,P10Y,129235,2119984,2119984,1940-01-01,2020-01-01,449.200467224,522.755719519,35.900495097,/Users/tdalton/tom/phd/dr-final/dr-final/2021-01-06T02:23:36.629140,0.0,0.0,0.5,0.3,true,P147D,6825.083368,TD,51.0,102.850923048,660575,218,232677848,0,1.0E-66,tdalton-macOS,1.0
2021-01-06T02:42:37.318531,dr-final,0b835baee8f90c6b98a6f8851a862b60f2111ac2,src/main/resources/valipop/inputs/synthetic-non-scot-population,2415385,3000,true,29220,P1Y,P10Y,129501,2124977,2124977,1940-01-01,2020-01-01,429.155178348,547.943907748,36.692379208,/Users/tdalton/tom/phd/dr-final/dr-final/2021-01-06T02:42:37.318531,0.0,0.0,0.5,0.3,true,P147D,6504.15352,TD,37.0,103.584045101,662169,202,996580224,0,1.0E-66,tdalton-macOS,1.0
2021-01-06T03:01:43.769504,dr-final,0b835baee8f90c6b98a6f8851a862b60f2111ac2,src/main/resources/valipop/inputs/synthetic-non-scot-population,2427018,3000,true,29220,P1Y,P10Y,129338,2134561,2134561,1940-01-01,2020-01-01,432.347995201,541.073901458,35.370077162,/Users/tdalton/tom/phd/dr-final/dr-final/2021-01-06T03:01:43.769504,0.0,0.0,0.5,0.3,true,P147D,5923.039176,TD,50.0,102.329581831,663479,243,171052317,0,1.0E-66,tdalton-macOS,1.0
2021-01-06T03:20:44.251409,dr-final,0b835baee8f90c6b98a6f8851a862b60f2111ac2,src/main/resources/valipop/inputs/synthetic-non-scot-population,2385855,3000,true,29220,P1Y,P10Y,127467,2098842,2098842,1940-01-01,2020-01-01,406.622554753,566.382682527,34.22867239,/Users/tdalton/tom/phd/dr-final/dr-final/2021-01-06T03:20:44.251409,0.0,0.0,0.5,0.3,true,P147D,6534.577168,TD,31.0,100.790241044,652443,211,-1679478261,0,1.0E-66,tdalton-macOS,1.0
2021-01-06T03:39:39.971685,dr-final,0b835baee8f90c6b98a6f8851a862b60f2111ac2,src/main/resources/valipop/inputs/synthetic-non-scot-population,3046088,4000,true,29220,P1Y,P10Y,165085,2677876,2677876,1940-01-01,2020-01-01,582.713382142,729.842779837,57.630676256,/Users/tdalton/tom/phd/dr-final/dr-final/2021-01-06T03:39:39.971685,0.0,0.0,0.0,0.9,true,P147D,7542.846872,TD,37.0,122.556900787,1103532,272242,-1001456408,0,1.0E-66,tdalton-macOS,1.0
2021-01-06T04:05:10.084580,dr-final,0b835baee8f90c6b98a6f8851a862b60f2111ac2,src/main/resources/valipop/inputs/synthetic-non-scot-population,3048544,4000,true,29220,P1Y,P10Y,165121,2678358,2678358,1940-01-01,2020-01-01,589.798310691,689.345976011,61.359611771,/Users/tdalton/tom/phd/dr-final/dr-final/2021-01-06T04:05:10.084580,0.0,0.0,0.0,0.9,true,P147D,8204.755408,TD,35.0,125.701176907,1104130,271754,-962529692,0,1.0E-66,tdalton-macOS,1.0
