Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks,Seed,CT Tree Stepback,CT Tree Precision,Hostname,Oversized Geography Factor
2019-10-19T19:51:35.530,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,132807,10000,true,43099,P1Y,P10Y,23851,65439,65439,1855-01-01,1973-01-01,57.337787225,210.895039396,6.297270179,/home/tsd4/results/ss-scot-final/2019-10-19T19:51:35.530,0.0,0.0,0.9775,0.015,true,P147D,37847.824856,TD,0.0,171.769514367,116105,64236,-1791739617,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-19T19:59:29.662,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,531315,40000,true,43099,P1Y,P10Y,96028,262702,262702,1855-01-01,1973-01-01,288.667498021,592.527141575,17.907658409,/home/tsd4/results/ss-scot-final/2019-10-19T19:59:29.662,0.0,0.0,0.5,0.0,true,P147D,40121.80732,TD,0.0,277.131158,472055,265622,-253949472,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-19T20:19:34.748,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,12922,1000,true,43099,P1Y,P10Y,2393,6188,6188,1855-01-01,1973-01-01,5.615839515,96.059464,0.235956207,/home/tsd4/results/ss-scot-final/2019-10-19T20:19:34.748,0.0,0.0,1.0,0.5,true,P147D,36929.137968,TD,0.0,95.628786952,11201,6083,652037772,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-19T20:23:14.994,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,133335,10000,true,43099,P1Y,P10Y,24036,65940,65940,1855-01-01,1973-01-01,57.149208789,201.38776015,2.97037478,/home/tsd4/results/ss-scot-final/2019-10-19T20:23:14.994,0.0,0.0,0.9775,0.015,true,P147D,36332.145232,TD,0.0,171.826623715,117077,64903,1099569455,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-19T20:30:53.462,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,21309022,1600000,true,43099,P1Y,P10Y,3825032,10537447,10537447,1855-01-01,1973-01-01,29075.062730855,5882.823530671,1358.946913757,/home/tsd4/results/ss-scot-final/2019-10-19T20:30:53.462,0.0,0.0,0.5,0.0,true,P147D,92961.416336,TD,3.0,545.589474019,19236473,10912436,-718328706,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,3.0
2019-10-20T06:49:02.809,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,1224416,100000,true,43099,P1Y,P10Y,226834,600802,600802,1855-01-01,1973-01-01,803.880828511,921.179877512,48.20480185,/home/tsd4/results/ss-scot-final/2019-10-20T06:49:02.809,0.0,0.0,0.0,0.0,true,P147D,44609.030808,TD,0.0,361.660445548,1109091,624923,1165044493,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T07:25:14.051,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,1232114,100000,true,43099,P1Y,P10Y,227463,604762,604762,1855-01-01,1973-01-01,805.901784501,918.644769314,49.300164999,/home/tsd4/results/ss-scot-final/2019-10-20T07:25:14.051,0.0,0.0,0.0,0.0,true,P147D,42449.5542,TD,0.0,391.545751175,1117706,630967,-2074904196,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T08:01:57.087,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,5001045,400000,true,43099,P1Y,P10Y,920132,2452631,2452631,1855-01-01,1973-01-01,4457.200432945,1845.274344374,252.101439952,/home/tsd4/results/ss-scot-final/2019-10-20T08:01:57.087,0.0,0.0,0.0,0.0,true,P147D,52766.941256,TD,0.0,488.723613673,4547437,2570357,983331993,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T10:00:30.038,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,1225104,100000,true,43099,P1Y,P10Y,227502,599396,599396,1855-01-01,1973-01-01,806.140730297,921.923577958,47.73672159,/home/tsd4/results/ss-scot-final/2019-10-20T10:00:30.038,0.0,0.0,0.0,0.0,true,P147D,43508.940528,TD,0.0,397.393743628,1107001,623365,1927262638,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
2019-10-20T10:37:19.655,ss-scot-final,2865a91c147fbb18c79c480483420720d27ca3ed,src/main/resources/valipop/inputs/synthetic-scotland,13092,1000,true,43099,P1Y,P10Y,2404,6226,6226,1855-01-01,1973-01-01,6.1663244,96.008255772,0.280794999,/home/tsd4/results/ss-scot-final/2019-10-20T10:37:19.655,0.0,0.0,1.0,0.5,true,P147D,35851.876248,TD,0.0,90.180307501,11268,6121,858292038,1,1.0E-66,manifesto.cs.st-andrews.ac.uk,1.0
