Source,Age,NPCIAP,CIY,Date,freq
SIM,20to24,0+,NO,1961,42705
SIM,20to24,0+,NO,1960,42685
SIM,20to24,0+,NO,1963,42678
SIM,20to24,0+,NO,1962,42661
SIM,20to24,0+,NO,1969,42602
SIM,20to24,0+,NO,1968,42643
SIM,20to24,0+,NO,1965,42662
SIM,20to24,0+,NO,1964,42647
SIM,20to24,0+,NO,1967,42626
SIM,20to24,0+,NO,1966,42641
SIM,20to24,0+,NO,1972,42597
SIM,20to24,0+,NO,1971,42607
SIM,20to24,0+,NO,1974,42594
SIM,20to24,0+,NO,1973,42594
SIM,20to24,0+,NO,1970,42604
SIM,20to24,0+,NO,1979,42521
SIM,20to24,0+,NO,1976,42564
SIM,20to24,0+,NO,1975,42572
SIM,20to24,0+,NO,1978,42528
SIM,20to24,0+,NO,1977,42549
SIM,20to24,0+,NO,1983,42495
SIM,20to24,0+,NO,1982,42505
SIM,20to24,0+,NO,1985,42473
SIM,20to24,0+,NO,1984,42482
SIM,20to24,0+,NO,1981,42514
SIM,20to24,0+,NO,1980,42508
SIM,20to24,0+,NO,1987,42445
SIM,20to24,0+,NO,1986,42458
SIM,20to24,0+,NO,1989,42440
SIM,20to24,0+,NO,1988,42446
SIM,20to24,0+,NO,1994,42383
SIM,20to24,0+,NO,1993,42396
SIM,20to24,0+,NO,1996,42383
SIM,20to24,0+,NO,1995,42391
SIM,20to24,0+,NO,1990,42439
SIM,20to24,0+,NO,1992,42410
SIM,20to24,0+,NO,1991,42421
SIM,20to24,0+,NO,1998,42370
SIM,20to24,0+,NO,1997,42345
SIM,20to24,0+,NO,1999,42359
SIM,20to24,0+,NO,1925,43018
SIM,20to24,0+,NO,1924,43031
SIM,20to24,0+,NO,1927,43006
SIM,20to24,0+,NO,1926,43003
SIM,20to24,0+,NO,1921,43059
SIM,20to24,0+,NO,1920,43070
SIM,20to24,0+,NO,1923,43041
SIM,20to24,0+,NO,1922,43040
SIM,20to24,0+,NO,1918,43096
SIM,20to24,0+,NO,1917,43093
SIM,20to24,0+,NO,1919,43080
SIM,20to24,0+,NO,1930,42985
SIM,20to24,0+,NO,1936,42921
SIM,20to24,0+,NO,1935,42921
SIM,20to24,0+,NO,1938,42891
SIM,20to24,0+,NO,1937,42928
SIM,20to24,0+,NO,1932,42967
SIM,20to24,0+,NO,1931,42968
SIM,20to24,0+,NO,1934,42951
SIM,20to24,0+,NO,1933,42956
SIM,20to24,0+,NO,1929,42973
SIM,20to24,0+,NO,1928,42988
SIM,20to24,0+,NO,1941,42886
SIM,20to24,0+,NO,1940,42893
SIM,20to24,0+,NO,1947,42814
SIM,20to24,0+,NO,1946,42832
SIM,20to24,0+,NO,1949,42805
SIM,20to24,0+,NO,1948,42805
SIM,20to24,0+,NO,1943,42851
SIM,20to24,0+,NO,1942,42866
SIM,20to24,0+,NO,1945,42830
SIM,20to24,0+,NO,1944,42851
SIM,20to24,0+,NO,1939,42902
SIM,20to24,0+,NO,1950,42784
SIM,20to24,0+,NO,1952,42794
SIM,20to24,0+,NO,1951,42786
SIM,20to24,0+,NO,1958,42722
SIM,20to24,0+,NO,1957,42729
SIM,20to24,0+,NO,1959,42738
SIM,20to24,0+,NO,1954,42745
SIM,20to24,0+,NO,1953,42761
SIM,20to24,0+,NO,1956,42741
SIM,20to24,0+,NO,1955,42762
SIM,35to39,0+,NO,1934,47050
STAT,15to19,0+,YES,1995,2912.861590835279
SIM,35to39,0+,NO,1933,47080
STAT,15to19,0+,YES,1994,2913.4273133648703
SIM,35to39,0+,NO,1932,47062
STAT,15to19,0+,YES,1993,2913.993325630202
SIM,35to39,0+,NO,1931,47088
STAT,15to19,0+,YES,1992,2914.5595740689846
SIM,35to39,0+,NO,1938,47003
STAT,15to19,0+,YES,1991,2915.125992287524
SIM,35to39,0+,NO,1937,47025
STAT,15to19,0+,YES,1990,2915.692501630672
SIM,35to39,0+,NO,1936,47018
SIM,35to39,0+,NO,1935,47049
SIM,35to39,0+,NO,1939,47010
SIM,35to39,0+,NO,1930,47090
STAT,15to19,0+,YES,1999,2910.60222660034
STAT,15to19,0+,YES,1998,2911.1665125636464
STAT,15to19,0+,YES,1997,2911.7311695261315
STAT,15to19,0+,YES,1996,2912.2962001478613
SIM,35to39,0+,NO,1923,47146
SIM,35to39,0+,NO,1922,47171
SIM,35to39,0+,NO,1921,47181
SIM,35to39,0+,NO,1920,47183
SIM,35to39,0+,NO,1927,47132
SIM,35to39,0+,NO,1926,47128
SIM,35to39,0+,NO,1925,47143
SIM,35to39,0+,NO,1924,47163
SIM,35to39,0+,NO,1929,47095
SIM,35to39,0+,NO,1928,47109
SIM,35to39,0+,NO,1912,47270
SIM,35to39,0+,NO,1911,47280
SIM,35to39,0+,NO,1910,47304
SIM,35to39,0+,NO,1916,47227
SIM,35to39,0+,NO,1915,47253
SIM,35to39,0+,NO,1914,47229
SIM,35to39,0+,NO,1913,47276
SIM,20to24,0+,NO,1903,43226
SIM,35to39,0+,NO,1919,47210
SIM,20to24,0+,NO,1902,43248
SIM,20to24,0+,NO,1905,43195
SIM,35to39,0+,NO,1918,47213
SIM,20to24,0+,NO,1904,43236
SIM,35to39,0+,NO,1917,47227
SIM,20to24,0+,NO,1901,43233
SIM,20to24,0+,NO,1900,43268
SIM,35to39,0+,NO,1901,47388
SIM,35to39,0+,NO,1900,47387
SIM,35to39,0+,NO,1905,47334
SIM,35to39,0+,NO,1904,47365
SIM,35to39,0+,NO,1903,47358
SIM,35to39,0+,NO,1902,47369
SIM,35to39,0+,NO,1909,47311
SIM,20to24,0+,NO,1914,43112
SIM,35to39,0+,NO,1908,47313
SIM,20to24,0+,NO,1913,43144
SIM,35to39,0+,NO,1907,47323
SIM,20to24,0+,NO,1916,43125
SIM,35to39,0+,NO,1906,47329
SIM,20to24,0+,NO,1915,43109
SIM,20to24,0+,NO,1910,43167
SIM,20to24,0+,NO,1912,43147
SIM,20to24,0+,NO,1911,43142
SIM,20to24,0+,NO,1907,43182
SIM,20to24,0+,NO,1906,43198
SIM,20to24,0+,NO,1909,43172
SIM,20to24,0+,NO,1908,43175
SIM,35to39,0+,NO,1899,47411
SIM,35to39,0+,NO,1898,47419
STAT,15to19,0+,YES,1919,2956.0141956896346
